Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,94.5,94.63,93.25,94.56,1083200.0,0.0,1.0,29.8286682926,29.8697024395,29.4341091882,29.8476071296,2166400.0
2000-01-04,94.0,95.44,88.75,90.31,2138600.0,0.0,1.0,29.6638739033,30.1182992057,28.0071149885,28.4994090661,4277200.0
2000-01-05,90.31,90.88,86.13,87.69,1868800.0,0.0,1.0,28.5047011401,28.6846112237,27.185360527,27.677746019,3737600.0
2000-01-06,88.0,92.75,86.5,92.44,918200.0,0.45,1.0,28.4375881129,29.9725715622,27.9528564974,29.872393695,1836400.0
2000-01-07,92.38,95.75,91.38,95.38,797200.0,0.0,1.0,29.8530044304,30.9420347933,29.52985002,30.8224676615,1594400.0
2000-01-10,95.63,96.69,93.63,95.75,1335000.0,0.0,1.0,30.9032562641,31.2457999391,30.2569474433,30.9420347933,2670000.0
2000-01-11,95.25,96.94,95.19,96.63,826600.0,0.0,1.0,30.7804575881,31.3265885417,30.7610683235,31.2264106745,1653200.0
2000-01-12,97.0,97.38,94.5,95.81,1404500.0,0.0,1.0,31.3459778063,31.4687764822,30.5380917804,30.961424058,2809000.0
2000-01-13,96.0,97.88,95.75,97.5,1376000.0,0.0,1.0,31.0228233959,31.6303536874,30.9420347933,31.5075550115,2752000.0
2000-01-14,98.0,104.8,98.0,103.9,1391800.0,0.0,1.0,31.6691322167,33.8665822072,31.6691322167,33.5757432379,2783600.0
2000-01-18,103.6,103.6,100.4,102.1,814700.0,0.0,1.0,33.4787969148,33.4787969148,32.4447028016,32.9940652992,1629400.0
2000-01-19,101.8,104.4,101.8,102.9,1471700.0,0.0,1.0,32.8971189761,33.7373204431,32.8971189761,33.2525888275,2943400.0
2000-01-20,103.1,103.6,99.25,101.1,1249500.0,0.0,1.0,33.3172197096,33.4787969148,32.0730752296,32.6709108888,2499000.0
2000-01-21,103.0,103.0,100.1,101.5,1048300.0,0.0,1.0,33.2849042685,33.2849042685,32.3477564785,32.800172653,2096600.0
2000-01-24,102.3,103.2,101.8,102.3,754900.0,0.0,1.0,33.0586961813,33.3495351506,32.8971189761,33.0586961813,1509800.0
2000-01-25,102.1,102.3,100.1,100.9,900100.0,0.0,1.0,32.9940652992,33.0586961813,32.3477564785,32.6062800068,1800200.0
2000-01-26,101.0,102.0,99.63,100.8,820700.0,0.0,1.0,32.6385954478,32.9617498582,32.1958739056,32.5739645657,1641400.0
2000-01-27,101.5,101.9,97.19,100.8,1280800.0,0.0,1.0,32.800172653,32.9294344171,31.4073771443,32.5739645657,2561600.0
2000-01-28,96.0,97.13,94.63,96.0,1649200.0,0.0,1.0,31.0228233959,31.3879878796,30.5801018537,31.0228233959,3298400.0
2000-01-31,94.75,94.81,89.5,94.0,1401400.0,0.0,1.0,30.618880383,30.6382696476,28.9223197285,30.3765145752,2802800.0
2000-02-01,93.94,99.25,93.25,97.56,1081600.0,0.0,1.0,30.3571253106,32.0730752296,30.1341487674,31.5269442761,2163200.0
2000-02-02,97.56,98.69,93.75,94.69,1203600.0,0.0,1.0,31.5269442761,31.8921087598,30.2957259726,30.5994911183,2407200.0
2000-02-03,95.38,96.63,94.5,96.63,849100.0,0.0,1.0,30.8224676615,31.2264106745,30.5380917804,31.2264106745,1698200.0
2000-02-04,95.38,97.13,95.38,96.69,534500.0,0.0,1.0,30.8224676615,31.3879878796,30.8224676615,31.2457999391,1069000.0
2000-02-07,95.81,95.81,93.38,95.19,723200.0,0.0,1.0,30.961424058,30.961424058,30.1761588407,30.7610683235,1446400.0
