Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,17.0,17.06,16.5,16.75,816800.0,0.0,1.0,14.1903775981,14.2404612837,13.7730135511,13.9816955746,816800.0
2000-01-04,16.38,16.62,16.19,16.38,484600.0,0.0,1.0,13.6728461798,13.8731809223,13.5142478419,13.6728461798,484600.0
2000-01-05,16.38,17.19,16.31,17.0,703600.0,0.0,1.0,13.6728461798,14.3489759359,13.6144152132,14.1903775981,703600.0
2000-01-06,17.25,17.81,17.0,17.25,871300.0,0.0,1.0,14.3990596216,14.8665073542,14.1903775981,14.3990596216,871300.0
2000-01-07,17.5,17.94,17.38,17.5,890200.0,0.0,1.0,14.6077416451,14.9750220064,14.5075742738,14.6077416451,890200.0
2000-01-10,17.75,18.81,17.75,18.62,900900.0,0.0,1.0,14.8164236686,15.7012354482,14.8164236686,15.5426371104,900900.0
2000-01-11,18.5,18.75,18.19,18.19,367900.0,0.0,1.0,15.4424697391,15.6511517626,15.1837040299,15.1837040299,367900.0
2000-01-12,18.12,18.38,17.94,18.0,318600.0,0.0,1.0,15.1252730634,15.3423023678,14.9750220064,15.0251056921,318600.0
2000-01-13,19.38,19.38,18.5,18.75,1169700.0,0.0,1.0,16.1770304618,16.1770304618,15.4424697391,15.6511517626,1169700.0
2000-01-14,18.69,18.75,18.06,18.12,692900.0,0.0,1.0,15.6010680769,15.6511517626,15.0751893777,15.1252730634,692900.0
2000-01-18,18.12,18.69,18.12,18.38,578200.0,0.0,1.0,15.1252730634,15.6010680769,15.1252730634,15.3423023678,578200.0
2000-01-19,18.44,18.62,17.69,17.81,465300.0,0.0,1.0,15.3923860534,15.5426371104,14.7663399829,14.8665073542,465300.0
2000-01-20,17.88,17.94,17.25,17.25,314900.0,0.0,1.0,14.9249383208,14.9750220064,14.3990596216,14.3990596216,314900.0
2000-01-21,17.5,18.0,17.12,17.19,646700.0,0.0,1.0,14.6077416451,15.0251056921,14.2905449693,14.3489759359,646700.0
2000-01-24,17.5,17.88,16.94,17.31,500900.0,0.0,1.0,14.6077416451,14.9249383208,14.1402939124,14.4491433072,500900.0
2000-01-25,17.06,17.38,16.75,17.12,407800.0,0.0,1.0,14.2404612837,14.5075742738,13.9816955746,14.2905449693,407800.0
2000-01-26,17.25,17.25,16.88,16.94,374300.0,0.0,1.0,14.3990596216,14.3990596216,14.0902102268,14.1402939124,374300.0
2000-01-27,16.81,16.94,16.19,16.31,542600.0,0.0,1.0,14.0317792602,14.1402939124,13.5142478419,13.6144152132,542600.0
2000-01-28,16.5,16.94,16.31,16.88,335800.0,0.0,1.0,13.7730135511,14.1402939124,13.6144152132,14.0902102268,335800.0
2000-01-31,16.88,16.88,15.88,16.38,821100.0,0.0,1.0,14.0902102268,14.0902102268,13.2554821328,13.6728461798,821100.0
2000-02-01,17.25,17.44,17.0,17.25,622500.0,0.0,1.0,14.3990596216,14.5576579594,14.1903775981,14.3990596216,622500.0
2000-02-02,17.06,17.44,17.06,17.19,720000.0,0.0,1.0,14.2404612837,14.5576579594,14.2404612837,14.3489759359,720000.0
2000-02-03,17.12,17.31,16.44,16.69,542600.0,0.0,1.0,14.2905449693,14.4491433072,13.7229298654,13.9316118889,542600.0
2000-02-04,16.69,16.88,16.25,16.38,336700.0,0.0,1.0,13.9316118889,14.0902102268,13.5643315276,13.6728461798,336700.0
2000-02-07,16.75,16.88,16.44,16.56,377700.0,0.0,1.0,13.9816955746,14.0902102268,13.7229298654,13.8230972367,377700.0
2000-02-08,16.5,17.0,16.25,16.94,903300.0,0.0,1.0,13.7730135511,14.1903775981,13.5643315276,14.1402939124,903300.0
2000-02-09,16.88,16.94,15.88,15.94,505600.0,0.0,1.0,14.0902102268,14.1402939124,13.2554821328,13.3055658184,505600.0
2000-02-10,16.06,16.12,15.44,15.62,509500.0,0.0,1.0,13.4057331897,13.4558168753,12.8882017714,13.0384528283,509500.0
2000-02-11,15.62,15.88,15.0,15.0,676200.0,0.0,1.0,13.0384528283,13.2554821328,12.5209214101,12.5209214101,676200.0
2000-02-14,15.25,16.12,15.12,15.88,290400.0,0.0,1.0,12.7296034336,13.4558168753,12.6210887813,13.2554821328,290400.0
2000-02-15,15.94,16.44,15.94,16.0,475500.0,0.0,1.0,13.3055658184,13.7229298654,13.3055658184,13.3556495041,475500.0
2000-02-16,16.0,16.19,15.56,15.62,516900.0,0.0,1.0,13.3556495041,13.5142478419,12.9883691427,13.0384528283,516900.0
2000-02-17,15.88,16.19,15.5,15.5,487800.0,0.0,1.0,13.2554821328,13.5142478419,12.9382854571,12.9382854571,487800.0
2000-02-18,15.38,15.56,14.5,15.0,701600.0,0.0,1.0,12.8381180858,12.9883691427,12.1035573631,12.5209214101,701600.0
2000-02-22,14.94,15.38,14.69,15.38,464300.0,0.0,1.0,12.4708377244,12.8381180858,12.2621557009,12.8381180858,464300.0
2000-02-23,15.31,15.38,14.56,15.0,608300.0,0.0,1.0,12.7796871192,12.8381180858,12.1536410487,12.5209214101,608300.0
2000-02-24,15.0,15.12,14.69,14.75,295000.0,0.0,1.0,12.5209214101,12.6210887813,12.2621557009,12.3122393866,295000.0
2000-02-25,14.94,15.06,14.75,14.75,282800.0,0.0,1.0,12.4708377244,12.5710050957,12.3122393866,12.3122393866,282800.0
2000-02-28,14.12,15.0,14.12,14.56,451500.0,0.0,1.0,11.7863606873,12.5209214101,11.7863606873,12.1536410487,451500.0
2000-02-29,14.62,14.94,13.5,13.5,2301000.0,0.0,1.0,12.2037247343,12.4708377244,11.2688292691,11.2688292691,2301000.0
2000-03-01,13.62,13.88,13.5,13.75,343000.0,0.0,1.0,11.3689966403,11.5860259448,11.2688292691,11.4775112926,343000.0
2000-03-02,13.69,13.94,13.5,13.81,214100.0,0.0,1.0,11.4274276069,11.6361096304,11.2688292691,11.5275949782,214100.0
2000-03-03,13.81,14.25,13.75,13.88,222600.0,0.0,1.0,11.5275949782,11.8948753396,11.4775112926,11.5860259448,222600.0
2000-03-06,13.81,13.88,12.94,13.06,514900.0,0.0,1.0,11.5275949782,11.5860259448,10.8013815364,10.9015489077,514900.0
2000-03-07,13.0,13.25,12.69,12.94,699100.0,0.0,1.0,10.8514652221,11.0601472456,10.5926995129,10.8013815364,699100.0
2000-03-08,13.06,13.62,12.75,13.0,384400.0,0.0,1.0,10.9015489077,11.3689966403,10.6427831985,10.8514652221,384400.0
2000-03-09,13.12,13.62,12.69,12.88,1273500.0,0.0,1.0,10.9516325933,11.3689966403,10.5926995129,10.7512978508,1273500.0
2000-03-10,12.88,13.0,12.81,12.94,950200.0,0.0,1.0,10.7512978508,10.8514652221,10.6928668842,10.8013815364,950200.0
2000-03-13,12.81,12.81,12.62,12.62,337200.0,0.0,1.0,10.6928668842,10.6928668842,10.5342685463,10.5342685463,337200.0
2000-03-14,12.69,13.31,12.62,13.31,684400.0,0.0,1.0,10.5926995129,11.1102309312,10.5342685463,11.1102309312,684400.0
2000-03-15,13.25,15.88,13.25,15.0,2080600.0,0.0,1.0,11.0601472456,13.2554821328,11.0601472456,12.5209214101,2080600.0
2000-03-16,15.5,15.62,15.0,15.44,1329100.0,0.0,1.0,12.9382854571,13.0384528283,12.5209214101,12.8882017714,1329100.0
2000-03-17,15.44,15.5,14.81,14.94,320000.0,0.0,1.0,12.8882017714,12.9382854571,12.3623230722,12.4708377244,320000.0
2000-03-20,15.0,15.38,14.81,15.19,277300.0,0.0,1.0,12.5209214101,12.8381180858,12.3623230722,12.6795197479,277300.0
2000-03-21,15.06,15.38,15.0,15.25,188900.0,0.0,1.0,12.5710050957,12.8381180858,12.5209214101,12.7296034336,188900.0
2000-03-22,15.44,15.81,15.38,15.69,261000.0,0.0,1.0,12.8882017714,13.1970511662,12.8381180858,13.0968837949,261000.0
2000-03-23,15.56,15.56,15.12,15.44,232500.0,0.0,1.0,12.9883691427,12.9883691427,12.6210887813,12.8882017714,232500.0
2000-03-24,15.31,15.38,15.06,15.19,106700.0,0.0,1.0,12.7796871192,12.8381180858,12.5710050957,12.6795197479,106700.0
2000-03-27,15.12,15.38,14.81,15.06,209600.0,0.0,1.0,12.6210887813,12.8381180858,12.3623230722,12.5710050957,209600.0
2000-03-28,15.0,15.38,14.81,15.06,349900.0,0.0,1.0,12.5209214101,12.8381180858,12.3623230722,12.5710050957,349900.0
2000-03-29,15.06,15.25,14.25,14.44,620900.0,0.0,1.0,12.5710050957,12.7296034336,11.8948753396,12.0534736774,620900.0
2000-03-30,14.56,15.19,14.44,15.06,635800.0,0.0,1.0,12.1536410487,12.6795197479,12.0534736774,12.5710050957,635800.0
2000-03-31,15.19,15.69,14.5,14.69,778300.0,0.0,1.0,12.6795197479,13.0968837949,12.1035573631,12.2621557009,778300.0
2000-04-03,14.75,15.38,14.75,14.88,351100.0,0.0,1.0,12.3122393866,12.8381180858,12.3122393866,12.4207540388,351100.0
2000-04-04,15.12,15.25,14.25,14.81,509400.0,0.0,1.0,12.6210887813,12.7296034336,11.8948753396,12.3623230722,509400.0
2000-04-05,14.69,14.88,14.0,14.19,310700.0,0.0,1.0,12.2621557009,12.4207540388,11.6861933161,11.8447916539,310700.0
2000-04-06,14.06,14.62,14.0,14.0,591700.0,0.0,1.0,11.7362770017,12.2037247343,11.6861933161,11.6861933161,591700.0
2000-04-07,14.38,14.44,13.75,13.75,627300.0,0.0,1.0,12.0033899918,12.0534736774,11.4775112926,11.4775112926,627300.0
2000-04-10,14.12,14.31,13.75,13.94,321000.0,0.0,1.0,11.7863606873,11.9449590252,11.4775112926,11.6361096304,321000.0
2000-04-11,13.62,13.81,13.25,13.69,501300.0,0.0,1.0,11.3689966403,11.5275949782,11.0601472456,11.4274276069,501300.0
2000-04-12,14.0,14.56,13.69,14.5,682600.0,0.0,1.0,11.6861933161,12.1536410487,11.4274276069,12.1035573631,682600.0
2000-04-13,14.5,14.69,14.19,14.25,208300.0,0.0,1.0,12.1035573631,12.2621557009,11.8447916539,11.8948753396,208300.0
