Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,68.63,68.63,67.5,67.63,5978800.0,0.0,1.0,34.1856727266,34.1856727266,33.6228021134,33.6875571397,5978800.0
2000-01-04,67.0,67.81,64.75,65.25,7533100.0,0.0,1.0,33.3767705813,33.7802807928,32.2559088826,32.5049892601,7533100.0
2000-01-05,65.06,68.88,65.06,68.25,7598300.0,0.0,1.0,32.4114675226,34.3145078843,32.4114675226,34.0006556781,7598300.0
2000-01-06,67.81,69.19,67.69,68.38,4760500.0,0.0,1.0,33.7762054983,34.4635844039,33.7164334196,34.0601228724,4760500.0
2000-01-07,69.81,75.25,69.63,74.94,10373300.0,0.0,1.0,34.7682553957,37.4775994632,34.6786079817,37.3232066947,10373300.0
2000-01-10,74.75,74.81,72.13,72.75,5726800.0,0.0,1.0,37.231677368,37.2615623264,35.9267008502,36.2355120872,5726800.0
2000-01-11,72.06,73.69,71.38,72.81,5023300.0,0.0,1.0,35.893146264,36.7050506271,35.5544376953,36.2667218912,5023300.0
2000-01-12,73.63,75.19,73.44,74.44,4990400.0,0.0,1.0,36.6770159365,37.4540924659,36.5823720002,37.0804979806,4990400.0
2000-01-13,74.81,76.13,73.81,74.75,5353500.0,0.0,1.0,37.2632008509,37.9206988475,36.7650963081,37.2333145784,5353500.0
2000-01-14,75.25,75.94,72.69,74.13,5540200.0,0.0,1.0,37.481537856,37.8252223892,36.2064184286,36.9236731065,5540200.0
2000-01-18,73.13,73.56,70.56,70.81,5299700.0,0.0,1.0,36.4293634649,36.6435659303,35.1491301256,35.2736664427,5299700.0
2000-01-19,71.75,72.69,71.25,71.5,4761600.0,0.0,1.0,35.7397853535,36.2080139003,35.4907276158,35.6152564847,4761600.0
2000-01-20,71.94,73.19,71.44,72.94,4986300.0,0.0,1.0,35.8362525677,36.4589286271,35.587182144,36.3343934152,4986300.0
2000-01-21,74.5,74.5,71.56,72.44,7928900.0,0.0,1.0,37.1087909162,37.1087909162,35.6443634626,36.0826954895,7928900.0
2000-01-24,73.0,73.0,69.06,70.25,5189100.0,0.0,1.0,36.3649119486,36.3649119486,34.4022030024,34.9950008821,5189100.0
2000-01-25,71.13,72.0,70.63,70.88,5446100.0,0.0,1.0,35.4251425217,35.8584319072,35.1761256334,35.3006340775,5446100.0
2000-01-26,71.0,73.0,70.63,72.81,5357500.0,0.0,1.0,35.3697884123,36.3661204802,35.1854669797,36.2714689338,5357500.0
2000-01-27,73.13,75.44,73.0,74.13,7747200.0,0.0,1.0,36.4255795802,37.576175626,36.3608274218,36.9236731065,7747200.0
2000-01-28,75.5,78.44,75.25,76.38,9823000.0,0.0,1.0,37.6040448246,39.0683612721,37.4795281199,38.0423436252,9823000.0
2000-01-31,75.69,79.0,74.56,78.63,8006300.0,0.0,1.0,37.7063618359,39.3552990493,37.143431609,39.1709767626,8006300.0
2000-02-01,77.38,77.94,75.5,76.81,5026400.0,0.0,1.0,38.5419944594,38.8209233415,37.6055903552,38.2580847044,5026400.0
2000-02-02,77.31,78.38,75.94,76.88,4642700.0,0.0,1.0,38.508225186,39.0411937664,37.8258261625,38.2940415509,4642700.0
2000-02-03,76.31,76.69,75.38,76.25,3874000.0,0.0,1.0,38.0093045884,38.1985790706,37.5460801975,37.9794191438,3874000.0
2000-02-04,76.88,76.88,74.94,75.06,4262100.0,0.0,1.0,38.29264275,38.29264275,37.3263611822,37.3861311761,4262100.0
2000-02-07,74.25,75.44,73.75,75.25,4170200.0,0.0,1.0,36.986872803,37.5796590472,36.7378029525,37.485012504,4170200.0
2000-02-08,75.5,75.88,75.06,75.44,3939200.0,0.0,1.0,37.6047892211,37.7940583589,37.3856354826,37.5749046204,3939200.0
2000-02-09,74.13,74.19,70.88,71.38,6927300.0,0.0,1.0,36.9220281788,36.9519124589,35.303296335,35.5523320032,6927300.0
2000-02-10,70.0,70.25,68.0,69.0,7019500.0,0.0,1.0,34.8638105036,34.9883241126,33.8677016321,34.3657560679,7019500.0
2000-02-11,67.63,68.13,64.31,65.25,9213400.0,0.0,1.0,33.6906118569,33.9396922343,32.0367181505,32.5049892601,9213400.0
2000-02-14,65.5,66.44,64.0,66.06,8933100.0,0.0,1.0,32.6305252471,33.0988106476,31.8832613101,32.9095037835,8933100.0
2000-02-15,65.75,66.63,65.13,65.63,6377100.0,0.0,1.0,32.7495254061,33.1878460503,32.4407085886,32.6897544091,6377100.0
2000-02-16,65.5,67.19,65.25,65.5,5137400.0,0.0,1.0,32.6218490113,33.4635425202,32.4973381372,32.6218490113,5137400.0
2000-02-17,66.38,66.69,63.13,63.25,6936900.0,0.0,1.0,33.0663566439,33.2207792193,31.4474102882,31.507186769,6936900.0
2000-02-18,63.44,64.38,61.56,62.0,6617100.0,0.0,1.0,31.6043050516,32.0725907821,30.6677335904,30.8869311664,6617100.0
2000-02-22,62.5,65.5,61.81,65.5,9199400.0,0.0,1.0,31.1277185222,32.6218490113,30.7840685098,32.6218490113,9199400.0
2000-02-23,66.0,66.0,63.13,63.13,7728500.0,0.0,1.0,32.8789814794,32.8789814794,31.4492439514,31.4492439514,7728500.0
2000-02-24,63.31,63.31,60.69,62.0,9066800.0,0.0,1.0,31.5395421314,31.5395421314,30.2343202014,30.8869311664,9066800.0
2000-02-25,61.06,61.5,59.19,60.19,7701300.0,0.0,1.0,30.4123444016,30.6314965722,29.4809476766,29.9790207916,7701300.0
2000-02-28,60.19,61.94,60.0,61.56,8488200.0,0.0,1.0,29.9798224611,30.8514737205,29.8851860386,30.6622008756,8488200.0
2000-02-29,62.44,63.13,61.38,61.56,7866200.0,0.0,1.0,31.1005169375,31.444196577,30.5725453175,30.6622008756,7866200.0
2000-03-01,61.5,61.75,59.75,60.0,6955700.0,0.29,1.0,30.774566021,30.8996658829,29.8988669879,30.0239668498,6955700.0
2000-03-02,60.06,60.75,59.25,59.25,5884600.0,0.0,1.0,30.0608248932,30.4061790253,29.6554091729,29.6554091729,5884600.0
2000-03-03,60.06,60.13,57.06,57.5,10216500.0,0.0,1.0,30.0555557211,30.0905855063,28.5542792116,28.774466433,10216500.0
2000-03-06,57.44,57.75,56.25,56.5,8686200.0,0.0,1.0,28.7505599031,28.9057248329,28.1549267853,28.2800597932,8686200.0
2000-03-07,56.0,56.0,52.0,53.94,12923800.0,0.0,1.0,28.0255421148,28.0255421148,26.0237176781,26.9946025299,12923800.0
2000-03-08,53.94,57.44,53.94,56.81,11994000.0,0.0,1.0,26.9964680959,28.7481855289,26.9964680959,28.432876391,11994000.0
2000-03-09,58.5,61.63,57.69,61.13,12280200.0,0.0,1.0,29.2789888773,30.8455399061,28.8735874928,30.5952921379,12280200.0
2000-03-10,61.75,61.88,59.0,59.56,8313900.0,0.0,1.0,30.9042636221,30.9693252298,29.5279603839,29.8082257706,8313900.0
2000-03-13,56.38,57.69,56.13,57.0,8876900.0,0.0,1.0,28.2125208498,28.868044126,28.0874209879,28.5227685073,8876900.0
2000-03-14,55.88,56.75,55.38,56.5,7141300.0,0.0,1.0,27.9697299335,28.4051928012,27.7194639177,28.2800597932,7141300.0
2000-03-15,56.25,60.0,56.06,59.81,9185600.0,0.0,1.0,28.1523441524,30.0291670959,28.0572517899,29.9340747334,9185600.0
2000-03-16,60.44,65.69,60.19,65.0,15120800.0,0.0,1.0,30.2497149959,32.8772961297,30.1245920848,32.531956895,15120800.0
2000-03-17,64.94,65.0,62.69,62.75,8515400.0,0.0,1.0,32.5044678142,32.53449966,31.3782735952,31.408305441,8515400.0
2000-03-20,61.63,62.19,60.31,61.63,6118700.0,0.0,1.0,30.8469902989,31.1272809783,30.1863051262,30.8469902989,6118700.0
