Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,137.25,138.0,132.12,135.0,2654500.0,0.0,1.0,43.1622191495,43.3980782706,41.5489427617,42.4546417864,5309000.0
2000-01-04,132.0,132.25,123.0,125.0,3117200.0,0.0,1.0,41.5112053023,41.5898250093,38.6808958499,39.309853506,6234400.0
2000-01-05,124.0,124.19,117.25,120.44,3872100.0,0.0,1.0,38.9953746779,39.0551256552,36.8726425886,37.8758300501,7744200.0
2000-01-06,120.38,124.94,120.25,122.75,3293000.0,0.0,1.0,37.8569613204,39.2909847763,37.8160790727,38.6022761428,6586000.0
2000-01-07,120.5,126.94,119.44,126.56,3162400.0,0.0,1.0,37.8946987797,39.9199424324,37.561351222,39.8004404777,6324800.0
2000-01-10,126.88,131.0,126.56,130.62,2305100.0,0.4,1.0,40.0232634859,41.3228839585,39.9223220899,41.2030160508,4610200.0
2000-01-11,132.0,132.12,129.5,130.62,1972800.0,0.0,1.0,41.6383258207,41.6761788442,40.849721165,41.2030160508,3945600.0
2000-01-12,130.88,134.62,130.5,131.62,2145800.0,0.0,1.0,41.285030935,42.4647834999,41.1651630273,41.5184579131,4291600.0
2000-01-13,132.0,133.19,130.0,132.44,1659600.0,0.0,1.0,41.6383258207,42.0137016369,41.0074420962,41.7771202401,3319200.0
2000-01-14,135.25,137.62,133.44,137.31,1817900.0,0.0,1.0,42.6635118731,43.4111090867,42.0925621024,43.3133221094,3635800.0
2000-01-18,137.31,138.75,133.69,133.75,1730200.0,0.0,1.0,43.3133221094,43.7675583911,42.171422568,42.1903490797,3460400.0
2000-01-19,134.62,137.19,134.5,135.69,1726100.0,0.0,1.0,42.4647834999,43.275469086,42.4269304764,42.8023062925,3452200.0
2000-01-20,134.12,137.25,133.25,134.81,2240500.0,0.0,1.0,42.3070625688,43.2943955977,42.0326281486,42.5247174537,4481000.0
2000-01-21,134.75,134.75,131.5,132.5,1982500.0,0.0,1.0,42.505790942,42.505790942,41.4806048896,41.7960467519,3965000.0
2000-01-24,133.5,134.5,125.44,128.0,2095500.0,0.0,1.0,42.1114886142,42.4269304764,39.5690272042,40.3765583716,4191000.0
2000-01-25,127.75,131.38,127.0,129.44,2030700.0,0.0,1.0,40.2976979061,41.4427518661,40.0611165094,40.8307946533,4061400.0
2000-01-26,130.5,132.88,128.25,132.88,2751600.0,0.0,1.0,41.1651630273,41.9159146595,40.4554188372,41.9159146595,5503200.0
2000-01-27,66.0,68.38,65.62,67.56,1504950.0,0.0,2.0,41.6383258207,43.1398290852,41.3985900054,42.6225044311,1504950.0
2000-01-28,66.0,67.69,62.88,63.31,3565800.0,0.0,1.0,41.6383258207,42.7045193152,39.6699686001,39.9412486017,3565800.0
2000-01-31,63.5,66.25,62.5,66.25,2606800.0,0.0,1.0,40.0611165094,41.7960467519,39.4302327848,41.7960467519,2606800.0
2000-02-01,65.62,65.88,63.56,64.0,3177500.0,0.0,1.0,41.3985900054,41.5626197738,40.0989695328,40.3765583716,3177500.0
2000-02-02,63.75,67.25,62.62,65.12,3001000.0,0.0,1.0,40.2188374405,42.4269304764,39.5059388317,41.0831481431,3001000.0
2000-02-03,66.0,66.62,64.25,66.0,4021700.0,0.0,1.0,41.6383258207,42.02947373,40.5342793028,41.6383258207,4021700.0
2000-02-04,65.62,65.88,64.06,65.69,2411100.0,0.0,1.0,41.3985900054,41.5626197738,40.4144113951,41.4427518661,2411100.0
2000-02-07,64.5,65.38,64.0,65.12,2611500.0,0.0,1.0,40.6920002339,41.2471779115,40.3765583716,41.0831481431,2611500.0
2000-02-08,67.0,68.69,66.5,67.81,2829000.0,0.0,1.0,42.2692095453,43.3354030398,41.953767683,42.7802253622,2829000.0
2000-02-09,68.81,68.94,66.5,67.19,3247900.0,0.0,1.0,43.4111090867,43.4931239709,41.953767683,42.389077453,3247900.0
2000-02-10,67.25,68.0,65.81,66.81,2029600.0,0.0,1.0,42.4269304764,42.9000932699,41.5184579131,42.1493416376,2029600.0
2000-02-11,66.88,69.06,66.38,66.75,2970400.0,0.0,1.0,42.1935034984,43.5688300179,41.8780616361,42.1114886142,2970400.0
2000-02-14,67.5,67.75,65.75,66.0,1858800.0,0.0,1.0,42.5846514076,42.7423723387,41.4806048896,41.6383258207,1858800.0
2000-02-15,64.81,65.69,64.5,65.56,2999100.0,0.0,1.0,40.8875741885,41.4427518661,40.6920002339,41.3607369819,2999100.0
2000-02-16,65.56,66.44,64.25,65.56,2455100.0,0.0,1.0,41.3607369819,41.9159146595,40.5342793028,41.3607369819,2455100.0
2000-02-17,65.19,65.5,62.88,63.25,2658800.0,0.0,1.0,41.1273100039,41.3228839585,39.6699686001,39.9033955782,2658800.0
2000-02-18,63.25,64.25,60.12,61.25,3347800.0,0.0,1.0,39.9033955782,40.5342793028,37.9287295203,38.6416281291,3347800.0
2000-02-22,62.25,62.69,60.5,62.31,3025700.0,0.0,1.0,39.2725118537,39.5501006925,38.1684653357,39.3103648771,3025700.0
2000-02-23,62.06,67.25,61.62,65.75,3966300.0,0.0,1.0,39.152643946,42.4269304764,38.8750551072,41.4806048896,3966300.0
2000-02-24,67.5,70.25,66.12,69.06,5636000.0,0.0,1.0,42.5846514076,44.3195816501,41.7140318677,43.5688300179,5636000.0
2000-02-25,69.12,71.19,67.75,69.88,4249800.0,0.0,1.0,43.6066830414,44.9126123512,42.7423723387,44.086154672,4249800.0
2000-02-28,68.5,69.75,68.0,69.19,3657500.0,0.0,1.0,43.2155351321,44.0041397878,42.9000932699,43.6508449021,3657500.0
2000-02-29,68.94,70.44,68.12,70.44,3836300.0,0.0,1.0,43.4931239709,44.4394495578,42.9757993168,44.4394495578,3836300.0
2000-03-01,71.88,75.5,71.5,75.25,4900700.0,0.0,1.0,45.3479221211,47.631721204,45.1081863058,47.4740002729,4900700.0
2000-03-02,74.75,77.25,74.06,76.56,3321500.0,0.0,1.0,47.1585584106,48.735767722,46.7232486407,48.3004579521,3321500.0
2000-03-03,78.25,79.19,75.88,79.19,3503000.0,0.0,1.0,49.3666514466,49.9596821476,47.8714570194,49.9596821476,3503000.0
2000-03-06,79.31,81.19,79.25,80.88,2856400.0,0.0,1.0,50.0353881946,51.2214495968,49.9975351711,51.0258756421,2856400.0
2000-03-07,81.25,82.38,80.12,81.0,4255700.0,0.0,1.0,51.2593026202,51.972201229,50.5464040115,51.1015816891,4255700.0
2000-03-08,80.94,81.0,77.88,79.0,3068100.0,0.0,1.0,51.0637286656,51.1015816891,49.1332244685,49.83981424,3068100.0
2000-03-09,79.75,83.38,79.0,83.38,2876600.0,0.0,1.0,50.3129770334,52.6030849535,49.83981424,52.6030849535,2876600.0
2000-03-10,84.38,89.75,83.94,86.62,4306600.0,0.0,1.0,53.2339686781,56.621814279,52.9563798393,54.6471482211,4306600.0
2000-03-13,83.0,85.62,80.62,82.5,2818300.0,0.0,1.0,52.3633491382,54.0162644965,50.8618458738,52.0479072759,2818300.0
2000-03-14,82.0,84.94,78.31,79.94,2935800.0,0.0,1.0,51.7324654136,53.5872635638,49.40450447,50.4328449411,2935800.0
2000-03-15,80.44,80.62,77.75,78.0,4110900.0,0.0,1.0,50.7482868033,50.8618458738,49.0512095843,49.2089305154,4110900.0
2000-03-16,76.5,81.0,73.75,80.75,5975900.0,0.0,1.0,48.2626049286,51.1015816891,46.5276746861,50.943860758,5975900.0
2000-03-17,82.31,88.94,82.06,88.88,5726800.0,0.0,1.0,51.9280393683,56.1107984621,51.7703184371,56.0729454386,5726800.0
2000-03-20,90.0,91.88,87.5,87.69,4139200.0,0.0,1.0,56.7795352101,57.9655966123,55.2023258987,55.3221938064,4139200.0
