Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,57.44,57.5,55.5,55.62,266900.0,0.0,1.0,8.27987499792,8.28852389242,8.0002274092,8.0175251982,1067600.0
2000-01-04,55.38,57.31,54.75,56.44,382600.0,0.0,1.0,7.98292962021,8.26113572651,7.892116228,8.13572675632,1530400.0
2000-01-05,56.44,57.62,56.44,56.56,681825.0,0.0,1.0,8.13572675632,8.30582168141,8.13572675632,8.15302454531,2727300.0
2000-01-06,56.56,57.44,56.56,57.0,500700.0,0.0,1.0,8.15302454531,8.27987499792,8.15302454531,8.21644977162,2002800.0
2000-01-07,57.13,59.87,56.87,59.75,978500.0,0.0,1.0,8.23518904302,8.63015522503,8.19771050021,8.61285743604,3914000.0
2000-01-10,59.75,59.75,58.44,58.75,319950.0,0.0,1.0,8.61285743604,8.61285743604,8.42402323953,8.46870919443,1279800.0
2000-01-11,58.87,59.38,58.31,58.44,98525.0,0.0,1.0,8.48600698342,8.55952258664,8.40528396812,8.42402323953,394100.0
2000-01-12,58.5,58.81,56.5,56.56,141275.0,0.0,1.0,8.43267213403,8.47735808892,8.14437565081,8.15302454531,565100.0
2000-01-13,56.69,61.38,56.69,61.31,358850.0,0.0,1.0,8.17176381672,8.84781906986,8.17176381672,8.83772869294,1435400.0
2000-01-14,61.31,62.12,60.56,61.5,378200.0,0.0,1.0,8.83772869294,8.95448876864,8.72961751174,8.86511685885,1512800.0
2000-01-18,61.75,63.44,61.75,62.81,213750.0,0.0,1.0,8.90115391925,9.14476444757,8.90115391925,9.05395105535,855000.0
2000-01-19,62.75,62.75,62.19,62.19,111500.0,0.0,1.0,9.04530216086,9.04530216086,8.96457914556,8.96457914556,446000.0
2000-01-20,62.19,62.31,60.63,61.75,155050.0,0.0,1.0,8.96457914556,8.98187693455,8.73970788865,8.90115391925,620200.0
2000-01-21,62.5,62.5,61.5,61.94,209575.0,0.0,1.0,9.00926510046,9.00926510046,8.86511685885,8.92854208516,838300.0
2000-01-24,62.19,62.38,59.81,59.94,86950.0,0.0,1.0,8.96457914556,8.99196731146,8.62150633053,8.64024560194,347800.0
2000-01-25,59.81,61.19,59.56,60.63,122500.0,0.0,1.0,8.62150633053,8.82043090395,8.58546927013,8.73970788865,490000.0
2000-01-26,60.63,60.63,59.25,59.69,248025.0,0.0,1.0,8.73970788865,8.73970788865,8.54078331523,8.60420854154,992100.0
2000-01-27,59.56,59.69,56.25,56.5,169050.0,0.0,1.0,8.58546927013,8.60420854154,8.10833859041,8.14437565081,676200.0
2000-01-28,56.75,59.5,56.75,57.94,369625.0,0.0,1.0,8.18041271121,8.57682037563,8.18041271121,8.35194911873,1478500.0
2000-01-31,57.94,57.94,56.87,57.38,134900.0,0.0,1.0,8.35194911873,8.35194911873,8.19771050021,8.27122610343,539600.0
2000-02-01,57.38,57.62,56.31,57.31,212375.0,0.0,1.0,8.27122610343,8.30582168141,8.11698748491,8.26113572651,849500.0
2000-02-02,57.44,59.12,57.0,57.13,222550.0,0.0,1.0,8.27987499792,8.52204404382,8.21644977162,8.23518904302,890200.0
2000-02-03,57.0,57.06,55.19,55.56,272700.0,0.0,1.0,8.21644977162,8.22509866611,7.95554145431,8.0088763037,1090800.0
2000-02-04,55.81,56.94,55.56,55.56,301175.0,0.0,1.0,8.0449133641,8.20780087712,8.0088763037,8.0088763037,1204700.0
2000-02-07,55.38,58.94,55.19,57.25,817650.0,0.0,1.0,7.98292962021,8.49609736033,7.95554145431,8.25248683202,3270600.0
2000-02-08,57.13,57.69,55.62,55.69,237725.0,0.0,1.0,8.23518904302,8.31591205832,8.0175251982,8.02761557511,950900.0
2000-02-09,55.69,55.69,52.75,53.06,729875.0,0.0,1.0,8.02761557511,8.02761557511,7.60381974478,7.64850569968,2919500.0
2000-02-10,52.75,54.25,52.62,53.94,601225.0,0.35,1.0,7.65315858258,7.87078394512,7.63429771783,7.82580803686,2404900.0
2000-02-11,54.0,54.62,52.37,52.37,243050.0,0.0,1.0,7.83451305136,7.92446486788,7.59802682407,7.59802682407,972200.0
2000-02-14,52.5,52.81,52.06,52.31,140225.0,0.0,1.0,7.61688768882,7.66186359708,7.55305091581,7.58932180957,560900.0
2000-02-15,52.56,54.5,52.06,54.31,360350.0,0.0,1.0,7.62559270333,7.90705483887,7.55305091581,7.87948895962,1441400.0
2000-02-16,54.5,55.5,54.25,54.69,241200.0,0.0,1.0,7.90705483887,8.0521384139,7.87078394512,7.93462071813,964800.0
2000-02-17,54.81,55.0,53.06,53.62,165000.0,0.0,1.0,7.95203074713,7.97959662639,7.69813449084,7.77938129285,660000.0
2000-02-18,53.62,53.62,50.88,51.75,215950.0,0.0,1.0,7.77938129285,7.77938129285,7.38185229728,7.50807500755,863800.0
2000-02-22,51.88,52.06,50.5,50.69,83825.0,0.0,1.0,7.52693587231,7.55305091581,7.32672053877,7.35428641803,335300.0
2000-02-23,50.37,50.75,49.5,49.94,184100.0,0.0,1.0,7.30785967402,7.36299143253,7.18163696375,7.24547373676,736400.0
2000-02-24,49.88,49.94,49.31,49.44,248025.0,0.0,1.0,7.23676872226,7.24547373676,7.15407108449,7.17293194925,992100.0
2000-02-25,49.69,49.75,48.63,48.75,220825.0,0.0,1.0,7.209202843,7.2179078575,7.05541425348,7.07282428248,883300.0
2000-02-28,48.63,50.0,48.19,49.81,93775.0,0.0,1.0,7.05541425348,7.25417875126,6.99157748046,7.22661287201,375100.0
2000-02-29,49.81,51.44,49.81,50.62,257300.0,0.0,1.0,7.22661287201,7.4630990993,7.22661287201,7.34413056778,1029200.0
2000-03-01,50.75,53.0,50.75,52.81,224650.0,0.0,1.0,7.36299143253,7.68942947634,7.36299143253,7.66186359708,898600.0
2000-03-02,52.69,55.56,52.62,55.0,176000.0,0.0,1.0,7.64445356808,8.0608434284,7.63429771783,7.97959662639,704000.0
2000-03-03,54.94,54.94,52.0,53.44,317175.0,0.0,1.0,7.97089161189,7.97089161189,7.54434590131,7.75326624935,1268700.0
2000-03-06,53.56,53.62,52.06,53.31,191875.0,0.0,1.0,7.77067627835,7.77938129285,7.55305091581,7.73440538459,767500.0
2000-03-07,53.5,57.56,53.25,57.56,350050.0,0.0,1.0,7.76197126385,8.35101057845,7.72570037009,8.35101057845,1400200.0
2000-03-08,57.31,59.63,56.19,58.69,653325.0,0.0,1.0,8.31473968469,8.65133357875,8.15224608067,8.51495501823,2613300.0
2000-03-09,58.94,58.94,57.31,58.44,217700.0,0.0,1.0,8.55122591199,8.55122591199,8.31473968469,8.47868412447,870800.0
2000-03-10,58.0,58.94,55.5,56.19,502100.0,0.0,1.0,8.41484735146,8.55122591199,8.0521384139,8.15224608067,2008400.0
2000-03-13,56.38,57.25,55.31,55.44,140450.0,0.0,1.0,8.17981195992,8.30603467019,8.02457253464,8.0434333994,561800.0
2000-03-14,55.5,55.5,53.94,55.0,271425.0,0.0,1.0,8.0521384139,8.0521384139,7.82580803686,7.97959662639,1085700.0
2000-03-15,55.19,55.69,53.81,55.31,392075.0,0.0,1.0,8.00716250564,8.07970429315,7.80694717211,8.02457253464,1568300.0
2000-03-16,55.19,59.06,55.19,57.75,374950.0,0.0,1.0,8.00716250564,8.56863594099,8.00716250564,8.37857645771,1499800.0
2000-03-17,56.81,56.81,52.62,54.44,780700.0,0.0,1.0,8.24219789718,8.24219789718,7.63429771783,7.89834982437,3122800.0
2000-03-20,54.38,54.62,52.88,53.81,177150.0,0.0,1.0,7.88964480987,7.92446486788,7.67201944733,7.80694717211,708600.0
2000-03-21,53.81,56.25,53.5,55.56,272350.0,0.0,1.0,7.80694717211,8.16095109517,7.76197126385,8.0608434284,1089400.0
2000-03-22,55.38,55.69,53.75,55.31,237725.0,0.0,1.0,8.0347283849,8.07970429315,7.79824215761,8.02457253464,950900.0
2000-03-23,55.25,55.69,53.13,53.25,202750.0,0.0,1.0,8.01586752014,8.07970429315,7.70829034109,7.72570037009,811000.0
2000-03-24,53.56,54.69,52.5,53.25,249525.0,0.0,1.0,7.77067627835,7.93462071813,7.61688768882,7.72570037009,998100.0
2000-03-27,51.75,53.5,50.75,53.06,373100.0,0.0,1.0,7.50807500755,7.76197126385,7.36299143253,7.69813449084,1492400.0
2000-03-28,52.81,53.94,52.56,53.25,209250.0,0.0,1.0,7.66186359708,7.82580803686,7.62559270333,7.72570037009,837000.0
2000-03-29,53.13,55.94,53.13,55.5,146700.0,0.0,1.0,7.70829034109,8.11597518691,7.70829034109,8.0521384139,586800.0
2000-03-30,55.62,57.31,55.5,56.87,255325.0,0.0,1.0,8.0695484429,8.31473968469,8.0521384139,8.25090291168,1021300.0
2000-03-31,57.0,58.62,57.0,57.62,213875.0,0.0,1.0,8.26976377644,8.50479916798,8.26976377644,8.35971559295,855500.0
2000-04-03,57.69,59.25,56.75,57.06,176350.0,0.0,1.0,8.3698714432,8.59620182024,8.23349288268,8.27846879094,705400.0
2000-04-04,57.19,57.87,54.75,54.94,206700.0,0.0,1.0,8.29732965569,8.39598648671,7.94332573263,7.97089161189,826800.0
2000-04-05,55.06,55.38,54.75,55.06,203450.0,0.0,1.0,7.98830164089,8.0347283849,7.94332573263,7.98830164089,813800.0
2000-04-06,55.13,57.62,55.13,57.13,201250.0,0.0,1.0,7.99845749114,8.35971559295,7.99845749114,8.28862464119,805000.0
2000-04-07,57.75,57.94,56.62,56.87,242475.0,0.0,1.0,8.37857645771,8.40614233696,8.21463201793,8.25090291168,969900.0
2000-04-10,57.06,58.06,55.62,55.69,698850.0,0.0,1.0,8.27846879094,8.42355236596,8.0695484429,8.07970429315,2795400.0
2000-04-11,56.38,58.0,56.31,56.81,179700.0,0.0,1.0,8.17981195992,8.41484735146,8.16965610967,8.24219789718,718800.0
2000-04-12,56.94,58.62,56.94,58.0,150650.0,0.0,1.0,8.26105876194,8.50479916798,8.26105876194,8.41484735146,602600.0
2000-04-13,58.13,58.87,58.13,58.75,182025.0,0.0,1.0,8.43370821622,8.54107006173,8.43370821622,8.52366003273,728100.0
2000-04-14,58.62,59.31,58.13,58.31,297825.0,0.0,1.0,8.50479916798,8.60490683475,8.43370821622,8.45982325972,1191300.0
2000-04-17,58.75,58.75,57.87,58.31,303625.0,0.0,1.0,8.52366003273,8.52366003273,8.39598648671,8.45982325972,1214500.0
2000-04-18,58.19,58.69,57.62,58.31,311600.0,0.0,1.0,8.44241323072,8.51495501823,8.35971559295,8.45982325972,1246400.0
2000-04-19,58.31,60.0,58.31,60.0,167675.0,0.0,1.0,8.45982325972,8.70501450151,8.45982325972,8.70501450151,670700.0
2000-04-20,59.94,60.12,58.5,59.06,340325.0,0.0,1.0,8.69630948701,8.72242453052,8.48738913897,8.56863594099,1361300.0
2000-04-24,59.06,59.06,57.06,58.5,170900.0,0.0,1.0,8.56863594099,8.56863594099,8.27846879094,8.48738913897,683600.0
2000-04-25,58.69,59.69,58.69,59.12,197650.0,0.0,1.0,8.51495501823,8.66003859325,8.51495501823,8.57734095549,790600.0
2000-04-26,59.0,59.63,59.0,59.12,157475.0,0.0,1.0,8.55993092649,8.65133357875,8.55993092649,8.57734095549,629900.0
2000-04-27,59.12,59.75,59.0,59.5,159900.0,0.0,1.0,8.57734095549,8.66874360776,8.55993092649,8.632472714,639600.0
2000-04-28,59.63,59.63,58.69,59.0,180400.0,0.0,1.0,8.65133357875,8.65133357875,8.51495501823,8.55993092649,721600.0
2000-05-01,59.25,60.56,59.12,59.25,303275.0,0.0,1.0,8.59620182024,8.78626130353,8.57734095549,8.59620182024,1213100.0
2000-05-02,59.0,60.06,58.81,59.56,338250.0,0.0,1.0,8.55993092649,8.71371951601,8.53236504723,8.6411777285,1353000.0
2000-05-03,59.5,59.56,58.0,58.0,307325.0,0.0,1.0,8.632472714,8.6411777285,8.41484735146,8.41484735146,1229300.0
2000-05-04,58.06,60.31,58.06,59.87,384800.0,0.0,1.0,8.42355236596,8.74999040977,8.42355236596,8.68615363676,1539200.0
2000-05-05,59.81,60.0,59.12,59.56,274200.0,0.0,1.0,8.67744862226,8.70501450151,8.57734095549,8.6411777285,1096800.0
2000-05-08,59.31,59.87,59.25,59.5,372275.0,0.35,1.0,8.65552393377,8.73724865815,8.6467677133,8.68325196526,1489100.0
2000-05-09,59.25,59.5,58.0,58.56,505225.0,0.0,1.0,8.6467677133,8.68325196526,8.46434645353,8.54607117791,2020900.0
2000-05-10,58.31,59.31,58.31,59.0,320875.0,0.0,1.0,8.50958692595,8.65552393377,8.50958692595,8.61028346135,1283500.0
2000-05-11,59.12,59.56,59.0,59.5,434700.0,0.0,1.0,8.62779590229,8.69200818573,8.61028346135,8.68325196526,1738800.0
2000-05-12,59.5,60.5,59.0,60.31,278950.0,0.0,1.0,8.68325196526,8.82918897308,8.61028346135,8.80146094159,1115800.0
2000-05-15,60.19,61.69,60.19,61.5,246525.0,0.0,1.0,8.78394850065,9.00285401238,8.78394850065,8.9751259809,986100.0
2000-05-16,61.5,63.25,61.12,62.38,397650.0,0.0,1.0,8.9751259809,9.23051574458,8.91966991793,9.10355054778,1590600.0
2000-05-17,62.25,62.87,62.09,62.56,182025.0,0.0,1.0,9.08457873676,9.17505968161,9.06122881551,9.12981920919,728100.0
2000-05-18,62.56,63.94,62.31,63.31,283825.0,0.0,1.0,9.12981920919,9.33121227998,9.09333495723,9.23927196505,1135300.0
2000-05-19,63.25,64.44,62.87,63.88,277900.0,0.0,1.0,9.23051574458,9.40418078389,9.17505968161,9.32245605951,1111600.0
2000-05-22,64.0,64.94,64.0,64.31,276975.0,0.0,1.0,9.33996850045,9.4771492878,9.33996850045,9.38520897287,1107900.0
2000-05-23,64.44,64.94,64.31,64.37,193600.0,0.0,1.0,9.40418078389,9.4771492878,9.38520897287,9.39396519334,774400.0
2000-05-24,64.44,64.69,63.94,64.5,314275.0,0.0,1.0,9.40418078389,9.44066503584,9.33121227998,9.41293700436,1257100.0
2000-05-25,64.25,64.31,63.19,63.69,310100.0,0.0,1.0,9.3764527524,9.38520897287,9.22175952411,9.29472802802,1240400.0
2000-05-26,63.94,64.31,63.56,63.69,165700.0,0.0,1.0,9.33121227998,9.38520897287,9.27575621701,9.29472802802,662800.0
2000-05-30,63.56,63.63,63.06,63.44,216875.0,0.0,1.0,9.27575621701,9.28597180755,9.2027877131,9.25824377607,867500.0
2000-05-31,63.44,65.75,63.31,64.88,211775.0,0.0,1.0,9.25824377607,9.59535826413,9.23927196505,9.46839306733,847100.0
2000-06-01,65.12,65.5,63.12,65.19,246075.0,0.0,1.0,9.5034179492,9.55887401218,9.21154393357,9.51363353975,984300.0
2000-06-02,65.12,66.5,61.81,62.12,347150.0,0.0,1.0,9.5034179492,9.70481102,9.02036645332,9.06560692575,1388600.0
2000-06-05,62.06,62.56,59.31,60.19,323175.0,0.0,1.0,9.05685070528,9.12981920919,8.65552393377,8.78394850065,1292700.0
2000-06-06,60.44,62.94,60.44,62.81,404600.0,0.0,1.0,8.82043275261,9.18527527216,8.82043275261,9.16630346114,1618400.0
2000-06-07,62.81,63.37,61.25,61.63,282075.0,0.0,1.0,9.16630346114,9.24802818552,8.93864172894,8.99409779191,1128300.0
2000-06-08,61.75,62.44,61.5,61.69,88350.0,0.0,1.0,9.01161023285,9.11230676825,8.9751259809,9.00285401238,353400.0
2000-06-09,61.69,61.87,61.44,61.63,122150.0,0.0,1.0,9.00285401238,9.02912267379,8.96636976043,8.99409779191,488600.0
2000-06-12,61.87,64.19,61.87,63.12,155850.0,0.0,1.0,9.02912267379,9.36769653193,9.02912267379,9.21154393357,623400.0
2000-06-13,63.37,64.0,62.75,62.81,145325.0,0.0,1.0,9.24802818552,9.33996850045,9.15754724067,9.16630346114,581300.0
