Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,21.44,21.44,20.06,20.25,209900.0,0.0,1.0,4.64132544247,4.64132544247,4.34258341306,4.38371456204,839600.0
2000-01-04,20.19,20.19,19.38,19.56,227800.0,0.0,1.0,4.37072577815,4.37072577815,4.19537719567,4.23434354733,911200.0
2000-01-05,19.38,20.06,19.38,19.88,385000.0,0.0,1.0,4.19537719567,4.34258341306,4.19537719567,4.3036170614,1540000.0
2000-01-06,19.25,21.06,19.19,20.5,669300.0,0.0,1.0,4.16723483058,4.55906314452,4.15424604669,4.4378344949,2677200.0
2000-01-07,20.69,21.13,20.63,20.81,314200.0,0.0,1.0,4.47896564388,4.57421672572,4.46597685999,4.50494321166,1256800.0
2000-01-10,20.88,20.88,20.0,20.13,301300.0,0.0,1.0,4.52009679286,4.52009679286,4.32959462917,4.35773699426,1205200.0
2000-01-11,20.06,20.75,20.06,20.5,169400.0,0.0,1.0,4.34258341306,4.49195442777,4.34258341306,4.4378344949,677600.0
2000-01-12,20.5,20.56,20.19,20.31,147400.0,0.0,1.0,4.4378344949,4.45082327879,4.37072577815,4.39670334593,589600.0
2000-01-13,20.38,20.63,20.25,20.56,308600.0,0.0,1.0,4.41185692713,4.46597685999,4.38371456204,4.45082327879,1234400.0
2000-01-14,20.31,20.38,19.44,19.94,270700.0,0.0,1.0,4.39670334593,4.41185692713,4.20836597956,4.31660584529,1082800.0
2000-01-18,20.19,22.25,20.19,21.88,1185400.0,0.0,1.0,4.37072577815,4.81667402496,4.37072577815,4.73657652432,4741600.0
2000-01-19,21.63,22.19,21.38,22.06,560200.0,0.0,1.0,4.68245659145,4.80368524107,4.62833665859,4.77554287598,2240800.0
2000-01-20,22.13,22.19,21.81,22.0,516600.0,0.0,1.0,4.79069645718,4.80368524107,4.72142294311,4.76255409209,2066400.0
2000-01-21,22.38,23.19,22.38,22.44,472300.0,0.0,1.0,4.84481639005,5.02016497253,4.84481639005,4.85780517393,1889200.0
2000-01-24,22.69,23.25,21.44,21.44,241100.0,0.0,1.0,4.9119251068,5.03315375641,4.64132544247,4.64132544247,964400.0
2000-01-25,21.44,21.69,20.75,21.0,339700.0,0.0,1.0,4.64132544247,4.69544537534,4.49195442777,4.54607436063,1358800.0
2000-01-26,21.25,21.5,20.75,20.75,299800.0,0.0,1.0,4.6001942935,4.65431422636,4.49195442777,4.49195442777,1199200.0
2000-01-27,20.75,20.94,20.13,20.5,396900.0,0.0,1.0,4.49195442777,4.53308557674,4.35773699426,4.4378344949,1587600.0
2000-01-28,20.31,20.69,19.94,20.0,263800.0,0.0,1.0,4.39670334593,4.47896564388,4.31660584529,4.32959462917,1055200.0
2000-01-31,20.19,20.75,20.0,20.06,270700.0,0.0,1.0,4.37072577815,4.49195442777,4.32959462917,4.34258341306,1082800.0
2000-02-01,20.25,21.44,20.06,21.31,519600.0,0.0,1.0,4.38371456204,4.64132544247,4.34258341306,4.61318307738,2078400.0
2000-02-02,21.25,22.38,21.13,21.13,634500.0,0.0,1.0,4.6001942935,4.84481639005,4.57421672572,4.57421672572,2538000.0
2000-02-03,21.5,22.63,21.5,22.19,732700.0,0.0,1.0,4.65431422636,4.89893632291,4.65431422636,4.80368524107,2930800.0
2000-02-04,22.0,23.0,21.44,21.44,457700.0,0.0,1.0,4.76255409209,4.97903382355,4.64132544247,4.64132544247,1830800.0
2000-02-07,21.44,22.63,21.44,22.31,341900.0,0.0,1.0,4.64132544247,4.89893632291,4.64132544247,4.82966280884,1367600.0
2000-02-08,22.38,22.69,21.38,21.44,477300.0,0.0,1.0,4.84481639005,4.9119251068,4.62833665859,4.64132544247,1909200.0
2000-02-09,21.38,21.63,20.63,20.63,309900.0,0.0,1.0,4.62833665859,4.68245659145,4.46597685999,4.46597685999,1239600.0
2000-02-10,20.63,22.13,20.56,22.06,300000.0,0.0,1.0,4.46597685999,4.79069645718,4.45082327879,4.77554287598,1200000.0
2000-02-11,22.06,22.44,21.38,21.38,294800.0,0.04,1.0,4.78447747444,4.86689367753,4.63699584784,4.63699584784,1179200.0
2000-02-14,21.56,22.06,21.5,21.63,184700.0,0.0,1.0,4.67603510194,4.78447747444,4.66302201724,4.69121703409,738800.0
2000-02-15,21.75,23.0,21.75,22.75,318600.0,0.0,1.0,4.71724320349,4.98834913473,4.71724320349,4.93412794848,1274400.0
2000-02-16,22.63,22.75,22.38,22.5,404900.0,0.0,1.0,4.90810177908,4.93412794848,4.85388059283,4.87990676223,1619600.0
2000-02-17,22.81,23.44,22.31,22.94,627100.0,0.0,1.0,4.94714103318,5.08377842252,4.83869866068,4.97533605003,2508400.0
2000-02-18,22.81,23.0,21.75,22.19,372300.0,0.0,1.0,4.94714103318,4.98834913473,4.71724320349,4.81267249129,1489200.0
2000-02-22,22.19,22.38,21.44,21.75,202500.0,0.0,1.0,4.81267249129,4.85388059283,4.65000893254,4.71724320349,810000.0
2000-02-23,21.69,21.94,20.81,21.19,282800.0,0.0,1.0,4.70423011879,4.75845130504,4.5133715432,4.5957877463,1131200.0
2000-02-24,21.06,21.19,20.81,20.94,516300.0,0.0,1.0,4.56759272945,4.5957877463,4.5133715432,4.54156656005,2065200.0
2000-02-25,20.75,20.75,20.5,20.63,190600.0,0.0,1.0,4.5003584585,4.5003584585,4.44613727226,4.4743322891,762400.0
2000-02-28,21.25,22.38,21.19,21.5,497200.0,0.0,1.0,4.608800831,4.85388059283,4.5957877463,4.66302201724,1988800.0
2000-02-29,21.69,22.81,21.69,22.5,347400.0,0.0,1.0,4.70423011879,4.94714103318,4.70423011879,4.87990676223,1389600.0
2000-03-01,22.75,24.38,22.28,23.75,656400.0,0.0,1.0,4.93412794848,5.28765008281,4.83219211833,5.15101269347,2625600.0
2000-03-02,24.63,27.0,24.44,26.19,625600.0,0.0,1.0,5.34187126906,5.85588811468,5.30066316751,5.68021147124,2502400.0
2000-03-03,26.25,26.38,24.75,25.56,353300.0,0.0,1.0,5.69322455594,5.72141957279,5.36789743845,5.54357408189,1413200.0
2000-03-06,25.31,26.0,25.25,25.5,240400.0,0.0,1.0,5.48935289565,5.63900336969,5.47633981095,5.5305609972,961600.0
