Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,89.88,90.13,84.75,85.0,2713000.0,0.0,1.0,41.4426257599,41.5578978609,39.0772422469,39.1925143479,5426000.0
2000-01-04,82.38,84.88,74.0,74.25,2255700.0,0.0,1.0,37.9844627292,39.1371837395,34.1205419029,34.2358140039,4511400.0
2000-01-05,80.38,84.5,70.0,80.13,3316900.0,0.0,1.0,37.062285921,38.9619701459,32.2761882865,36.94701382,6633800.0
2000-01-06,77.0,77.81,70.0,70.06,2794800.0,0.0,1.0,35.5038071152,35.8772887225,32.2761882865,32.3038535908,5589600.0
2000-01-07,69.0,85.0,67.75,85.0,4255200.0,0.0,1.0,31.8150998824,39.1925143479,31.2387393773,39.1925143479,8510400.0
2000-01-10,88.56,91.81,86.5,88.63,3174300.0,0.0,1.0,40.8339890665,42.3325263798,39.8841469541,40.8662652548,6348600.0
2000-01-11,91.0,93.63,81.75,82.5,2365400.0,0.0,1.0,41.9590447725,43.1717072753,37.6939770346,38.0397933377,4730800.0
2000-01-12,82.0,88.75,78.63,87.13,2178400.0,0.0,1.0,37.8092491357,40.9215958633,36.2553812139,40.1746326487,4356800.0
2000-01-13,88.0,90.0,83.25,85.72,2572000.0,0.0,1.0,40.5757795602,41.4979563684,38.3856096408,39.5244979989,5144000.0
2000-01-14,88.0,95.25,87.0,93.69,3003800.0,0.0,1.0,40.5757795602,43.9186704899,40.1146911561,43.1993725795,6007600.0
2000-01-18,98.13,120.0,97.0,118.1,3788300.0,0.0,1.0,45.2466050937,55.3306084912,44.7255751971,54.4545405234,7576600.0
2000-01-19,113.6,117.0,106.0,108.5,2953800.0,0.0,1.0,52.379642705,53.9473432789,48.8753708339,50.0280918441,5907600.0
2000-01-20,114.6,115.3,111.3,115.0,2118300.0,0.0,1.0,52.8407311091,53.163492992,51.3191393756,53.0251664707,4236600.0
2000-01-21,115.8,121.5,110.0,117.1,2456700.0,0.0,1.0,53.394037194,56.0222410974,50.7197244503,53.9934521193,4913400.0
2000-01-24,119.9,119.9,100.6,102.0,3202400.0,0.0,1.0,55.2844996508,55.2844996508,46.3854934518,47.0310172175,6404800.0
2000-01-25,103.8,111.0,99.0,107.2,2970800.0,0.0,1.0,47.8609763449,51.1808128544,45.6477520053,49.4286769188,5941600.0
2000-01-26,108.3,115.1,106.6,108.4,2951300.0,0.0,1.0,49.9358741633,53.0712753112,49.1520238764,49.9819830037,5902600.0
2000-01-27,110.6,111.5,99.13,102.9,3104700.0,0.0,1.0,50.9963774927,51.4113570564,45.7076934978,47.4459967812,6209400.0
2000-01-28,101.3,107.0,98.0,99.19,1832500.0,0.0,1.0,46.7082553347,49.336459238,45.1866636012,45.735358802,3665000.0
2000-01-31,100.9,105.0,90.63,100.4,2897800.0,0.0,1.0,46.523819973,48.4142824298,41.788442063,46.293275771,5795600.0
2000-02-01,104.1,108.6,100.3,107.8,1863500.0,0.0,1.0,47.9993028661,50.0742006845,46.2471669306,49.7053299613,3727000.0
2000-02-02,109.1,115.1,106.0,113.2,2489800.0,0.0,1.0,50.3047448866,53.0712753112,48.8753708339,52.1952073434,4979600.0
2000-02-03,115.0,115.0,106.0,114.6,2374000.0,0.0,1.0,53.0251664707,53.0251664707,48.8753708339,52.8407311091,4748000.0
2000-02-04,116.1,133.9,115.5,127.9,3972700.0,0.0,1.0,53.5323637152,61.7397373081,53.2557106728,58.9732068836,7945400.0
2000-02-07,131.4,131.8,121.0,125.4,2567400.0,0.0,1.0,60.5870162979,60.7714516595,55.7916968953,57.8204858733,5134800.0
2000-02-08,128.1,132.5,123.1,132.0,2984700.0,0.0,1.0,59.0654245644,61.0942135424,56.7599825439,60.8636693403,5969400.0
2000-02-09,133.6,134.3,126.0,128.7,1858100.0,0.0,1.0,61.6014107869,61.9241726697,58.0971389158,59.3420776068,3716200.0
2000-02-10,130.1,139.9,125.9,139.3,1943700.0,0.0,1.0,59.9876013726,64.5062677327,58.0510300754,64.2296146902,3887400.0
2000-02-11,145.4,159.1,142.5,154.9,2871900.0,0.0,1.0,67.0422539552,73.3591650913,65.7050975833,71.4225937941,5743800.0
2000-02-14,159.9,160.3,143.1,148.3,3560900.0,0.0,1.0,73.7280358145,73.9124711762,65.9817506258,68.3794103271,7121800.0
2000-02-15,149.8,153.0,141.5,151.6,2445600.0,0.0,1.0,69.0710429332,70.5465258263,65.2440091792,69.9010020606,4891200.0
2000-02-16,161.4,176.2,157.1,175.4,5189900.0,0.0,1.0,74.4196684207,81.2437768013,72.4369882831,80.874906078,10379800.0
2000-02-17,178.5,179.9,166.1,174.4,3700200.0,0.0,1.0,82.3042801307,82.9498038964,76.5867839199,80.4138176739,7400400.0
2000-02-18,172.0,174.3,167.0,167.3,1898000.0,0.0,1.0,79.3072055041,80.3677088335,77.0017634836,77.1400900048,3796000.0
2000-02-22,169.9,171.4,163.1,168.6,1955000.0,0.0,1.0,78.3389198555,79.0305524616,75.2035187076,77.7395049302,3910000.0
2000-02-23,166.4,187.8,164.8,178.8,2953100.0,0.0,1.0,76.7251104411,86.5924022887,75.9873689946,82.4426066519,5906200.0
2000-02-24,181.6,201.9,176.3,200.0,2981300.0,0.0,1.0,83.7336541834,93.0937487865,81.2898856417,92.2176808187,5962600.0
2000-02-25,202.5,207.9,190.5,192.9,2165300.0,0.0,1.0,93.3704018289,95.860279211,87.8373409798,88.9439531496,4330600.0
2000-02-28,193.0,196.3,181.5,184.0,2990400.0,0.0,1.0,88.99006199,90.5116537235,83.687545343,84.8402663532,5980800.0
2000-02-29,184.9,192.1,181.8,188.8,2259200.0,0.0,1.0,85.2552459169,88.5750824264,83.8258718642,87.0534906928,4518400.0
2000-03-01,189.3,197.5,186.8,190.1,2088700.0,0.0,1.0,87.2840348949,91.0649598085,86.1313138847,87.6529056182,4177400.0
2000-03-02,192.5,196.8,188.0,189.3,1522300.0,0.0,1.0,88.759517788,90.7421979256,86.6846199696,87.2840348949,3044600.0
2000-03-03,194.3,204.0,187.0,199.9,2080000.0,0.0,1.0,89.5894769154,94.0620344351,86.2235315655,92.1715719783,4160000.0
2000-03-06,204.6,222.0,202.0,212.1,2409000.0,0.0,1.0,94.3386874775,102.361625709,93.1398576269,97.7968505082,4818000.0
2000-03-07,222.8,230.0,212.0,212.6,2899200.0,0.0,1.0,102.730496432,106.050332941,97.7507416678,98.0273947103,5798400.0
2000-03-08,219.9,223.0,211.9,218.3,2073500.0,0.0,1.0,101.39334006,102.822714113,97.7046328274,100.655598614,4147000.0
2000-03-09,220.0,241.0,218.1,240.4,2637700.0,0.0,1.0,101.439448901,111.122305387,100.563380933,110.845652344,5275400.0
2000-03-10,247.0,248.0,228.9,236.9,2274700.0,0.0,1.0,113.888835811,114.349924215,105.543135697,109.23184293,4549400.0
2000-03-13,225.9,235.8,220.9,228.1,1768000.0,0.0,1.0,104.159870485,108.724645685,101.854428464,105.174264974,3536000.0
2000-03-14,232.0,232.0,193.0,197.1,4268500.0,0.0,1.0,106.97250975,106.97250975,88.99006199,90.8805244468,8537000.0
2000-03-15,196.0,203.3,163.5,173.1,8228500.0,0.0,1.0,90.3733272023,93.7392725522,75.3879540693,79.8144027486,16457000.0
2000-03-16,181.3,194.5,162.0,182.6,6406100.0,0.0,1.0,83.5953276621,89.6816945962,74.6963214631,84.1947425875,12812200.0
2000-03-17,186.2,202.0,186.1,200.8,4235900.0,0.0,1.0,85.8546608422,93.1398576269,85.8085520018,92.586551542,8471800.0
2000-03-20,207.5,208.0,175.6,183.1,4138400.0,0.0,1.0,95.6758438494,95.9063880514,80.9671237588,84.4252867895,8276800.0
2000-03-21,183.1,192.0,165.0,184.9,3846600.0,0.0,1.0,84.4252867895,88.5289735859,76.0795866754,85.2552459169,7693200.0
2000-03-22,191.1,206.5,184.5,206.1,3122300.0,0.0,1.0,88.1139940223,95.2147554453,85.0708105552,95.0303200837,6244600.0
2000-03-23,102.9,108.3,96.38,105.4,2376250.0,0.0,2.0,94.8919935624,99.8717483266,88.8794007731,97.1974355829,2376250.0
2000-03-24,109.0,110.25,95.0,100.0,5609900.0,0.0,1.0,100.517272092,101.669993103,87.6067967778,92.2176808187,5609900.0
2000-03-27,103.9,104.4,96.25,97.25,4162600.0,0.0,1.0,95.8141703706,96.2752587747,88.759517788,89.6816945962,4162600.0
2000-03-28,96.94,101.0,95.0,95.56,2830200.0,0.0,1.0,89.3958197856,93.1398576269,87.6067967778,88.1232157903,2830200.0
2000-03-29,95.0,97.75,87.63,91.81,5372800.0,0.0,1.0,87.6067967778,90.1427830003,80.8103537014,84.6650527596,5372800.0
2000-03-30,84.06,92.0,70.63,79.13,9562300.0,0.0,1.0,77.5181824962,84.8402663532,65.1333479622,72.9718508318,9562300.0
2000-03-31,84.08,86.0,66.0,82.75,10610900.0,0.0,1.0,77.5366260324,79.3072055041,60.8636693403,76.3101308775,10610900.0
2000-04-03,78.13,83.0,66.63,67.88,6697300.0,0.0,1.0,72.0496740236,76.5406750795,61.4446407295,62.5973617397,6697300.0
2000-04-04,70.19,74.0,45.13,67.0,13378500.0,0.0,1.0,64.7275901666,68.2410838058,41.6178393535,61.7858461485,13378500.0
2000-04-05,60.5,76.0,60.0,69.56,7914100.0,0.0,1.0,55.7916968953,70.0854374222,55.3306084912,64.1466187775,7914100.0
2000-04-06,74.25,77.5,71.06,73.0,5876000.0,0.0,1.0,68.4716280079,71.4687026345,65.5298839898,67.3189069976,5876000.0
2000-04-07,77.5,80.25,75.0,79.94,4390800.0,0.0,1.0,71.4687026345,74.004688857,69.163260614,73.7188140465,4390800.0
2000-04-10,81.0,81.94,65.0,67.63,7576600.0,0.0,1.0,74.6963214631,75.5631676628,59.9414925321,62.3668175377,7576600.0
2000-04-11,63.0,68.25,60.25,63.63,7673800.0,0.0,1.0,58.0971389158,62.9385671588,55.5611526933,58.6781103049,7673800.0
2000-04-12,61.63,65.5,56.5,56.69,6222500.0,0.0,1.0,56.8337566886,60.4025809362,52.1029896626,52.2782032561,6222500.0
2000-04-13,59.25,64.0,53.88,56.94,7676200.0,0.0,1.0,54.6389758851,59.019315724,49.6868864251,52.5087474582,7676200.0
2000-04-14,51.63,58.63,46.13,50.38,8492900.0,0.0,1.0,47.6119886067,54.067226264,42.5400161617,46.4592675965,8492900.0
2000-04-17,41.25,54.0,41.13,51.94,10422600.0,0.0,1.0,38.0397933377,49.7975476421,37.9291321207,47.8978634172,10422600.0
2000-04-18,54.38,60.5,53.31,60.25,6306200.0,0.0,1.0,50.1479748292,55.7916968953,49.1612456444,55.5611526933,6306200.0
2000-04-19,65.13,65.5,60.0,60.56,6143900.0,0.0,1.0,60.0613755172,60.4025809362,55.3306084912,55.8470275038,6143900.0
2000-04-20,61.23,63.88,55.0,56.88,3545700.0,0.0,1.0,56.4648859653,58.908654507,50.7197244503,52.4534168497,3545700.0
2000-04-24,51.5,55.5,43.55,50.63,6043900.0,0.0,1.0,47.4921056216,51.1808128544,40.1607999965,46.6898117985,6043900.0
2000-04-25,57.06,69.0,56.0,68.75,8666900.0,0.0,1.0,52.6194086751,63.6301997649,51.6419012585,63.3996555628,8666900.0
2000-04-26,67.75,68.5,61.0,61.13,5431700.0,0.0,1.0,62.4774787547,63.1691113608,56.2527852994,56.3726682845,5431700.0
2000-04-27,56.0,68.5,54.5,67.56,6571700.0,0.0,1.0,51.6419012585,63.1691113608,50.2586360462,62.3022651611,6571700.0
2000-04-28,70.25,74.69,68.98,73.94,5356700.0,0.0,1.0,64.7829207751,68.8773858035,63.6117562287,68.1857531973,5356700.0
2000-05-01,76.5,77.0,70.03,71.0,5946500.0,0.0,1.0,70.5465258263,71.0076142304,64.5800418773,65.4745533813,5946500.0
2000-05-02,68.25,72.0,64.88,65.25,4917600.0,0.0,1.0,62.9385671588,66.3967301895,59.8308313152,60.1720367342,4917600.0
2000-05-03,62.25,68.0,61.5,66.75,5227100.0,0.0,1.0,57.4055063096,62.7080229567,56.7138737035,61.5553019465,5227100.0
2000-05-04,67.88,71.5,64.63,67.88,2905000.0,0.0,1.0,62.5973617397,65.9356417854,59.6002871131,62.5973617397,2905000.0
2000-05-05,65.0,71.69,64.38,69.88,3104000.0,0.0,1.0,59.9414925321,66.1108553789,59.3697429111,64.4417153561,3104000.0
2000-05-08,65.69,68.19,62.75,63.19,3195200.0,0.0,1.0,60.5777945298,62.8832365503,57.8665947137,58.2723525093,3195200.0
2000-05-09,65.13,67.0,61.5,63.44,4420400.0,0.0,1.0,60.0613755172,61.7858461485,56.7138737035,58.5028967114,4420400.0
2000-05-10,64.0,66.31,57.75,58.0,5999700.0,0.0,1.0,59.019315724,61.1495441509,53.2557106728,53.4862548748,5999700.0
2000-05-11,61.48,62.63,55.5,57.94,5518200.0,0.0,1.0,56.6954301673,57.7559334967,51.1808128544,53.4309242663,5518200.0
