Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2013-06-19,15.21,16.03,14.96,15.53,7717000.0,0.0,1.0,14.7477163893,15.5427938015,14.5053147392,15.0579905014,7717000.0
2013-06-20,16.25,16.3,15.36,15.44,1874600.0,0.0,1.0,15.7561072535,15.8045875835,14.8931573793,14.9707259073,1874600.0
2013-06-21,15.98,15.98,15.46,15.8,635300.0,0.0,1.0,15.4943134715,15.4943134715,14.9901180393,15.3197842834,635300.0
2013-06-24,15.79,15.79,15.19,15.52,758300.0,0.0,1.0,15.3100882174,15.3100882174,14.7283242573,15.0482944354,758300.0
2013-06-25,15.5,15.67,15.35,15.66,564400.0,0.0,1.0,15.0289023034,15.1937354254,14.8834613133,15.1840393594,564400.0
2013-06-26,15.54,15.55,15.31,15.47,901000.0,0.0,1.0,15.0676865674,15.0773826334,14.8446770493,14.9998141053,901000.0
2013-06-27,14.78,15.74,14.659,15.37,3258000.0,0.0,1.0,14.3307855512,15.2616078874,14.2134631526,14.9028534453,3258000.0
2013-06-28,15.29,15.68,15.25,15.38,1793700.0,0.0,1.0,14.8252849173,15.2034314914,14.7865006533,14.9125495113,1793700.0
2013-07-01,15.48,15.5,14.84,14.87,4343500.0,0.0,1.0,15.0095101713,15.0289023034,14.3889619472,14.4180501452,4343500.0
2013-07-02,14.68,15.19,14.67,14.99,8682500.0,0.0,1.0,14.2338248912,14.7283242573,14.2241288252,14.5344029372,8682500.0
2013-07-03,14.84,15.12,14.84,14.97,2265100.0,0.0,1.0,14.3889619472,14.6604517953,14.3889619472,14.5150108052,2265100.0
2013-07-05,14.96,15.94,14.96,15.61,3470900.0,0.0,1.0,14.5053147392,15.4555292074,14.5053147392,15.1355590294,3470900.0
2013-07-08,15.83,16.08,15.55,16.02,4010700.0,0.0,1.0,15.3488724814,15.5912741315,15.0773826334,15.5330977355,4010700.0
2013-07-09,15.81,16.02,15.665,15.73,3656200.0,0.0,1.0,15.3294803494,15.5330977355,15.1888873924,15.2519118214,3656200.0
2013-07-10,15.5,15.6,15.22,15.45,3010500.0,0.0,1.0,15.0289023034,15.1258629634,14.7574124553,14.9804219733,3010500.0
2013-07-11,15.8,15.8,15.06,15.21,3630300.0,0.0,1.0,15.3197842834,15.3197842834,14.6022753993,14.7477163893,3630300.0
2013-07-12,15.0,15.18,14.97,14.99,3042300.0,0.0,1.0,14.5440990032,14.7186281913,14.5150108052,14.5344029372,3042300.0
2013-07-15,15.0,15.08,14.52,14.8,5331400.0,0.0,1.0,14.5440990032,14.6216675313,14.0786878351,14.3501776832,5331400.0
2013-07-16,14.71,15.47,14.7,15.39,2711100.0,0.0,1.0,14.2629130892,14.9998141053,14.2532170232,14.9222455773,2711100.0
2013-07-17,15.28,16.12,15.28,16.02,3737700.0,0.0,1.0,14.8155888513,15.6300583955,14.8155888513,15.5330977355,3737700.0
2013-07-18,16.04,16.25,15.46,15.6,2827900.0,0.0,1.0,15.5524898675,15.7561072535,14.9901180393,15.1258629634,2827900.0
2013-07-19,15.37,16.26,15.37,16.12,3735400.0,0.0,1.0,14.9028534453,15.7658033195,14.9028534453,15.6300583955,3735400.0
2013-07-22,16.15,16.26,15.751,15.9,2159200.0,0.0,1.0,15.6591465935,15.7658033195,15.27227356,15.4167449434,2159200.0
2013-07-23,15.85,16.05,15.71,15.85,2104900.0,0.0,1.0,15.3682646134,15.5621859335,15.2325196894,15.3682646134,2104900.0
2013-07-24,15.79,16.05,15.62,15.92,2205100.0,0.0,1.0,15.3100882174,15.5621859335,15.1452550954,15.4361370754,2205100.0
2013-07-25,15.91,16.045,15.64,15.76,2097300.0,0.0,1.0,15.4264410094,15.5573379005,15.1646472274,15.2810000194,2097300.0
2013-07-26,15.76,16.16,15.5,16.09,937600.0,0.0,1.0,15.2810000194,15.6688426595,15.0289023034,15.6009701975,937600.0
2013-07-29,15.98,16.069,15.61,15.71,3495600.0,0.0,1.0,15.4943134715,15.5806084589,15.1355590294,15.2325196894,3495600.0
2013-07-30,15.73,16.18,15.67,16.14,3438100.0,0.0,1.0,15.2519118214,15.6882347915,15.1937354254,15.6494505275,3438100.0
2013-07-31,16.09,16.37,16.04,16.09,2392800.0,0.0,1.0,15.6009701975,15.8724600455,15.5524898675,15.6009701975,2392800.0
2013-08-01,16.11,16.42,16.09,16.39,1951600.0,0.0,1.0,15.6203623295,15.9209403756,15.6009701975,15.8918521775,1951600.0
2013-08-02,16.29,16.64,16.25,16.5,2042800.0,0.0,1.0,15.7948915175,16.1342538276,15.7561072535,15.9985089036,2042800.0
2013-08-05,16.41,16.48,16.08,16.21,1127500.0,0.0,1.0,15.9112443095,15.9791167716,15.5912741315,15.7173229895,1127500.0
2013-08-06,16.13,16.45,16.03,16.39,1335300.0,0.0,1.0,15.6397544615,15.9500285736,15.5427938015,15.8918521775,1335300.0
