Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,100.0,100.0,95.5,96.88,912100.0,0.0,1.0,37.1319840541,37.1319840541,35.4610447717,35.9734661516,1824200.0
2000-01-04,96.88,97.0,92.63,93.69,631000.0,0.0,1.0,35.9734661516,36.0180245325,34.3953568293,34.7889558603,1262000.0
2000-01-05,93.13,93.88,90.31,91.13,975000.0,0.0,1.0,34.5810167496,34.85950663,33.5338947992,33.8383770685,1950000.0
2000-01-06,91.0,92.63,90.0,91.5,722500.0,0.0,1.0,33.7901054892,34.3953568293,33.4187856487,33.9757654095,1445000.0
2000-01-07,91.75,95.94,91.56,95.38,494600.0,0.0,1.0,34.0685953696,35.6244255015,33.9980445999,35.4164863908,989200.0
2000-01-10,97.0,100.6,95.69,99.63,487200.0,0.0,1.0,36.0180245325,37.3547759584,35.5315955414,36.9945957131,974400.0
2000-01-11,99.25,99.31,96.25,97.44,568200.0,0.0,1.0,36.8534941737,36.8757733641,35.7395346521,36.1814052623,1136400.0
2000-01-12,97.5,98.44,96.69,97.13,321100.0,0.0,1.0,36.2036844527,36.5527251028,35.9029153819,36.0662961117,642200.0
2000-01-13,97.13,98.31,96.5,97.0,474300.0,0.0,1.0,36.0662961117,36.5044535236,35.8323646122,36.0180245325,948600.0
2000-01-14,98.0,98.0,95.5,95.88,477600.0,0.0,1.0,36.389344373,36.389344373,35.4610447717,35.6021463111,955200.0
2000-01-18,96.0,96.0,93.56,93.56,646800.0,0.0,1.0,35.6467046919,35.6467046919,34.740684281,34.740684281,1293600.0
2000-01-19,93.63,98.38,93.5,97.31,785400.0,0.0,1.0,34.7666766698,36.5304459124,34.7184050906,36.133133683,1570800.0
2000-01-20,99.88,100.9,93.63,93.69,891400.0,0.0,1.0,37.0874256732,37.4661719106,34.7666766698,34.7889558603,1782800.0
2000-01-21,94.25,95.94,94.0,94.94,713800.0,0.0,1.0,34.996894971,35.6244255015,34.9040650108,35.2531056609,1427600.0
2000-01-24,95.19,95.19,91.75,92.0,533200.0,0.0,1.0,35.3459356211,35.3459356211,34.0685953696,34.1614253298,1066400.0
2000-01-25,92.25,93.56,89.81,90.44,591100.0,0.0,1.0,34.2542552899,34.740684281,33.348234879,33.5821663785,1182200.0
2000-01-26,91.0,96.38,90.56,93.81,536100.0,0.0,1.0,33.7901054892,35.7878062313,33.6267247594,34.8335142411,1072200.0
2000-01-27,93.5,96.06,91.81,93.19,498700.0,0.0,1.0,34.7184050906,35.6689838824,34.0908745601,34.60329594,997400.0
2000-01-28,91.5,96.75,90.19,94.63,973100.0,0.0,1.0,33.9757654095,35.9251945723,33.4893364184,35.1379965104,1946200.0
2000-01-31,94.38,94.5,91.63,93.69,545800.0,0.0,1.0,35.0451665502,35.0897249311,34.0240369888,34.7889558603,1091600.0
2000-02-01,93.69,97.25,93.5,96.38,498700.0,0.0,1.0,34.7889558603,36.1108544926,34.7184050906,35.7878062313,997400.0
2000-02-02,96.38,99.94,94.56,94.75,922300.0,0.0,1.0,35.7878062313,37.1097048637,35.1120041215,35.1825548912,1844600.0
2000-02-03,94.63,95.25,93.31,94.0,656100.0,0.0,1.0,35.1379965104,35.3682148115,34.6478543209,34.9040650108,1312200.0
2000-02-04,94.0,95.13,93.44,93.75,509300.0,0.0,1.0,34.9040650108,35.3236564307,34.6961259001,34.8112350507,1018600.0
2000-02-07,93.38,93.5,91.69,91.88,442400.0,0.0,1.0,34.6738467097,34.7184050906,34.0463161792,34.1168669489,884800.0
2000-02-08,91.88,95.63,91.88,94.88,626000.0,0.0,1.0,34.1168669489,35.5093163509,34.1168669489,35.2308264705,1252000.0
2000-02-09,94.88,97.69,94.31,96.81,709600.0,0.0,1.0,35.2308264705,36.2742352224,35.0191741614,35.9474737628,1419200.0
2000-02-10,96.69,98.38,95.06,96.44,460500.0,0.0,1.0,35.9029153819,36.5304459124,35.2976640418,35.8100854218,921000.0
2000-02-11,97.88,97.94,94.63,95.69,525700.0,0.0,1.0,36.3447859921,36.3670651826,35.1379965104,35.5315955414,1051400.0
2000-02-14,95.56,96.38,94.5,94.94,239600.0,0.0,1.0,35.4833239621,35.7878062313,35.0897249311,35.2531056609,479200.0
2000-02-15,95.19,95.63,93.19,94.38,1466500.0,0.0,1.0,35.3459356211,35.5093163509,34.60329594,35.0451665502,2933000.0
2000-02-16,94.63,95.0,88.06,89.25,657200.0,0.0,1.0,35.1379965104,35.2753848514,32.698425158,33.1402957683,1314400.0
2000-02-17,90.0,90.0,83.0,84.75,919900.0,0.0,1.0,33.4187856487,33.4187856487,30.8195467649,31.4693564858,1839800.0
2000-02-18,85.12,89.88,85.12,89.12,1414400.0,0.0,1.0,31.6067448268,33.3742272678,31.6067448268,33.092024189,2828800.0
2000-02-22,91.0,91.5,83.88,86.25,1185300.0,0.0,1.0,33.7901054892,33.9757654095,31.1463082246,32.0263362466,2370600.0
2000-02-23,87.5,97.0,87.25,94.5,1341600.0,0.0,1.0,32.4904860473,36.0180245325,32.3976560872,35.0897249311,2683200.0
2000-02-24,95.0,97.25,91.13,92.63,832600.0,0.0,1.0,35.2753848514,36.1108544926,33.8383770685,34.3953568293,1665200.0
2000-02-25,93.63,93.88,88.69,88.81,683700.0,0.0,1.0,34.7666766698,34.85950663,32.9323566576,32.9769150384,1367400.0
2000-02-28,90.5,92.5,87.75,91.69,746100.0,0.0,1.0,33.6044455689,34.34708525,32.5833160075,34.0463161792,1492200.0
2000-02-29,91.56,94.63,91.13,94.19,584200.0,0.0,1.0,33.9980445999,35.1379965104,33.8383770685,34.9746157805,1168400.0
2000-03-01,94.19,94.88,92.75,94.13,830500.0,0.0,1.0,34.9746157805,35.2308264705,34.4399152102,34.9523365901,1661000.0
2000-03-02,93.75,93.88,91.63,92.5,895500.0,0.0,1.0,34.8112350507,34.85950663,34.0240369888,34.34708525,1791000.0
2000-03-03,92.25,92.25,88.06,90.25,1252400.0,0.0,1.0,34.2542552899,34.2542552899,32.698425158,33.5116156088,2504800.0
2000-03-06,90.0,90.0,81.0,83.13,3252800.0,0.0,1.0,33.4187856487,33.4187856487,30.0769070838,30.8678183442,6505600.0
2000-03-07,82.13,83.94,80.31,80.75,1366900.0,0.0,1.0,30.4964985036,31.168587415,29.8206963938,29.9840771237,2733800.0
2000-03-08,80.69,81.13,75.5,79.88,1830300.0,0.175,1.0,30.0274378261,30.1911764881,28.0960658801,29.7260098345,3660600.0
2000-03-09,80.44,83.44,79.13,83.0,1212400.0,0.0,1.0,29.9344044953,31.0508044641,29.4469098423,30.887065802,2424800.0
2000-03-10,83.5,84.13,82.06,83.69,1126000.0,0.0,1.0,31.0731324635,31.3075764569,30.5372604785,31.1438377948,2252000.0
2000-03-13,83.69,83.94,81.0,83.31,851500.0,0.0,1.0,31.1438377948,31.2368711255,30.1427991562,31.0024271321,1703000.0
2000-03-14,83.06,84.38,81.75,83.56,981700.0,0.0,1.0,30.9093938014,31.4006097876,30.4218991484,31.0954604628,1963400.0
2000-03-15,83.31,83.38,80.63,81.75,1184700.0,0.0,1.0,31.0024271321,31.0284764647,30.0051098267,30.4218991484,2369400.0
2000-03-16,82.75,85.75,82.56,85.38,994200.0,0.0,1.0,30.7940324713,31.91043244,30.7233271399,31.7727431105,1988400.0
2000-03-17,85.13,88.75,83.75,88.5,1093300.0,0.0,1.0,31.6797097798,33.0268324088,31.1661657942,32.933799078,2186600.0
2000-03-20,89.38,93.0,87.94,90.19,940100.0,0.0,1.0,33.2612764022,34.6083990312,32.7254044172,33.5627043938,1880200.0
2000-03-21,90.94,92.94,90.75,91.75,1128200.0,0.0,1.0,33.8418043859,34.5860710318,33.7710990546,34.1432323775,2256400.0
2000-03-22,92.25,97.0,92.25,94.94,1220100.0,0.0,1.0,34.329299039,36.0969323228,34.329299039,35.3303376776,2440200.0
2000-03-23,94.5,96.5,94.31,95.56,445500.0,0.0,1.0,35.1665990155,35.9108656614,35.0958936842,35.5610603378,891000.0
2000-03-24,95.56,99.75,95.56,98.56,934700.0,0.0,1.0,35.5610603378,37.1202989608,35.5610603378,36.6774603066,1869400.0
2000-03-27,98.31,99.94,98.13,99.06,1035400.0,0.0,1.0,36.5844269758,37.1910042922,36.5174429777,36.863526968,2070800.0
2000-03-28,99.19,100.6,98.31,99.5,1198900.0,0.0,1.0,36.9119043,37.4366122853,36.5844269758,37.0272656301,2397800.0
2000-03-29,99.5,100.0,96.94,97.81,1063700.0,0.0,1.0,37.0272656301,37.2133322916,36.0746043234,36.3983603144,2127400.0
2000-03-30,97.88,98.5,94.63,94.63,615800.0,0.0,1.0,36.424409647,36.6551323072,35.2149763475,35.2149763475,1231600.0
2000-03-31,94.0,94.75,92.0,93.63,844200.0,0.0,1.0,34.9805323541,35.2596323463,34.2362657082,34.8428430246,1688400.0
2000-04-03,93.63,96.25,93.5,95.06,442300.0,0.0,1.0,34.8428430246,35.8178323306,34.7944656926,35.3749936764,884600.0
2000-04-04,94.94,95.75,85.81,90.48,1254600.0,0.0,1.0,35.3303376776,35.6317656692,31.9327604394,33.6706230574,2509200.0
2000-04-05,90.63,98.13,90.0,95.38,968100.0,0.0,1.0,33.7264430558,36.5174429777,33.4919990624,35.4940763397,1936200.0
2000-04-06,95.75,99.19,95.69,97.25,825500.0,0.0,1.0,35.6317656692,36.9119043,35.6094376698,36.1899656535,1651000.0
2000-04-07,97.5,98.81,95.63,97.19,620900.0,0.0,1.0,36.2829989843,36.7704936373,35.5871096704,36.1676376542,1241800.0
2000-04-10,97.06,97.06,92.56,94.31,564500.0,0.0,1.0,36.1192603222,36.1192603222,34.4446603691,35.0958936842,1129000.0
2000-04-11,94.31,94.31,91.88,93.25,495800.0,0.0,1.0,35.0958936842,35.0958936842,34.1916097095,34.7014323619,991600.0
2000-04-12,93.38,93.88,90.63,91.06,478400.0,0.0,1.0,34.7498096939,34.9358763553,33.7264430558,33.8864603847,956800.0
2000-04-13,90.94,91.63,88.25,88.38,696400.0,0.0,1.0,33.8418043859,34.0985763788,32.8407657473,32.8891430793,1392800.0
2000-04-14,85.5,86.0,82.13,82.13,931200.0,0.0,1.0,31.8173991093,32.0034657707,30.5633098111,30.5633098111,1862400.0
2000-04-17,82.19,85.5,81.69,85.0,1265900.0,0.0,1.0,30.5856378104,31.8173991093,30.399571149,31.6313324478,2531800.0
2000-04-18,85.0,86.0,83.25,84.38,1089000.0,0.0,1.0,31.6313324478,32.0034657707,30.9800991327,31.4006097876,2178000.0
2000-04-19,85.38,85.63,82.5,83.38,910300.0,0.0,1.0,31.7727431105,31.8657764413,30.7009991405,31.0284764647,1820600.0
2000-04-20,83.25,84.75,82.06,83.56,1025500.0,0.0,1.0,30.9800991327,31.5382991171,30.5372604785,31.0954604628,2051000.0
2000-04-24,84.13,86.0,82.44,85.31,709800.0,0.0,1.0,31.3075764569,32.0034657707,30.6786711412,31.7466937779,1419600.0
2000-04-25,87.5,92.63,86.44,89.94,1422900.0,0.0,1.0,32.5616657551,34.4707097017,32.1672044328,33.469671063,2845800.0
2000-04-26,89.88,95.25,89.63,92.19,1089000.0,0.0,1.0,33.4473430637,35.4456990077,33.3543097329,34.3069710396,2178000.0
2000-04-27,90.81,93.38,89.13,93.0,749700.0,0.0,1.0,33.793427054,34.7498096939,33.1682430715,34.6083990312,1499400.0
2000-04-28,92.5,93.5,89.44,91.06,601200.0,0.0,1.0,34.4223323697,34.7944656926,33.2836044016,33.8864603847,1202400.0
2000-05-01,90.56,90.69,88.88,90.44,486000.0,0.0,1.0,33.7003937232,33.7487710552,33.0752097407,33.6557377245,972000.0
2000-05-02,89.75,90.94,89.19,90.38,446700.0,0.0,1.0,33.3989657317,33.8418043859,33.1905710708,33.6334097251,893400.0
2000-05-03,89.75,89.75,86.13,86.69,347000.0,0.0,1.0,33.3989657317,33.3989657317,32.0518431027,32.2602377636,694000.0
2000-05-04,86.69,88.88,86.0,86.63,533000.0,0.0,1.0,32.2602377636,33.0752097407,32.0034657707,32.2379097642,1066000.0
2000-05-05,86.38,91.38,85.88,90.81,704000.0,0.0,1.0,32.1448764334,34.005543048,31.958809772,33.793427054,1408000.0
2000-05-08,90.19,90.19,87.44,88.5,411200.0,0.0,1.0,33.5627043938,33.5627043938,32.5393377557,32.933799078,822400.0
2000-05-09,88.75,89.44,87.19,88.19,461800.0,0.0,1.0,33.0268324088,33.2836044016,32.446304425,32.8184377479,923600.0
2000-05-10,88.13,88.81,86.25,86.75,358300.0,0.0,1.0,32.7961097486,33.0491604081,32.0964991015,32.2825657629,716600.0
2000-05-11,87.25,87.69,85.5,87.19,686500.0,0.0,1.0,32.4686324244,32.6323710865,31.8173991093,32.446304425,1373000.0
2000-05-12,87.0,88.38,86.25,87.94,582700.0,0.0,1.0,32.3755990937,32.8891430793,32.0964991015,32.7254044172,1165400.0
2000-05-15,87.06,88.88,86.31,87.69,511100.0,0.0,1.0,32.397927093,33.0752097407,32.1188271008,32.6323710865,1022200.0
2000-05-16,88.25,91.0,87.69,89.94,733800.0,0.0,1.0,32.8407657473,33.8641323853,32.6323710865,33.469671063,1467600.0
2000-05-17,90.38,90.88,86.94,88.06,431000.0,0.0,1.0,33.6334097251,33.8194763866,32.3532710943,32.7700604159,862000.0
2000-05-18,87.94,88.25,85.38,85.81,650900.0,0.0,1.0,32.7254044172,32.8407657473,31.7727431105,31.9327604394,1301800.0
2000-05-19,84.0,84.63,83.31,83.75,790200.0,0.0,1.0,31.2591991249,31.4936431183,31.0024271321,31.1661657942,1580400.0
2000-05-22,83.5,84.31,82.69,83.94,734500.0,0.0,1.0,31.0731324635,31.374560455,30.7717044719,31.2368711255,1469000.0
2000-05-23,84.0,84.94,83.06,83.5,482100.0,0.0,1.0,31.2591991249,31.6090044485,30.9093938014,31.0731324635,964200.0
2000-05-24,83.5,85.56,82.94,84.19,597600.0,0.0,1.0,31.0731324635,31.8397271087,30.8647378026,31.3299044563,1195200.0
2000-05-25,84.25,85.13,83.13,83.81,497100.0,0.0,1.0,31.3522324556,31.6797097798,30.935443134,31.1884937936,994200.0
2000-05-26,83.81,83.81,82.0,82.13,894100.0,0.0,1.0,31.1884937936,31.1884937936,30.5149324791,30.5633098111,1788200.0
2000-05-30,82.13,85.0,81.75,84.5,539800.0,0.0,1.0,30.5633098111,31.6313324478,30.4218991484,31.4452657864,1079600.0
2000-05-31,83.25,84.94,83.25,84.94,507700.0,0.0,1.0,30.9800991327,31.6090044485,30.9800991327,31.6090044485,1015400.0
2000-06-01,84.06,85.5,83.5,85.38,687500.0,0.0,1.0,31.2815271243,31.8173991093,31.0731324635,31.7727431105,1375000.0
