Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,40.0,40.06,38.69,40.0,2012200.0,0.0,1.0,16.4671300814,16.4918307765,15.9278315712,16.4671300814,3018300.0
2000-01-04,38.06,40.5,36.25,37.0,1977067.0,0.0,1.0,15.6684742724,16.6729692074,14.9233366362,15.2320953253,2965600.5
2000-01-05,37.13,39.75,37.0,38.88,2706200.0,0.0,1.0,15.285613498,16.3642105184,15.2320953253,16.0060504391,4059300.0
2000-01-06,39.0,41.06,38.5,40.63,1734400.0,0.0,1.0,16.0554518293,16.9035090285,15.8496127033,16.7264873802,2601600.0
2000-01-07,40.56,41.44,39.38,41.44,1264400.0,0.0,1.0,16.6976699025,17.0599467643,16.2118895651,17.0599467643,1896600.0
2000-01-10,42.0,42.63,40.88,42.13,1463667.0,0.0,1.0,17.2904865854,17.5498438842,16.8294069432,17.3440047582,2195500.5
2000-01-11,41.25,42.38,40.31,40.75,1393867.0,0.0,1.0,16.9817278964,17.4469243212,16.5947503395,16.7758887704,2090800.5
2000-01-12,40.63,41.75,39.63,40.19,1036800.0,0.0,1.0,16.7264873802,17.1875670224,16.3148091281,16.5453489493,1555200.0
2000-01-13,40.25,42.5,40.19,42.38,1427067.0,0.0,1.0,16.5700496444,17.4963257115,16.5453489493,17.4469243212,2140600.5
2000-01-14,42.75,47.0,42.69,45.38,3016000.0,0.0,1.0,17.5992452745,19.3488778456,17.5745445793,18.6819590773,4524000.0
2000-01-18,44.88,46.31,44.25,45.0,2018600.0,0.0,1.0,18.4761199513,19.0648198517,18.2167626525,18.5255213415,3027900.0
2000-01-19,45.06,45.81,43.5,45.63,1290467.0,0.0,1.0,18.5502220367,18.8589807257,17.9080039635,18.7848786403,1935700.5
2000-01-20,46.0,47.88,44.81,46.31,1555267.0,0.0,1.0,18.9371995936,19.7111547074,18.4473024737,19.0648198517,2332900.5
2000-01-21,46.88,46.88,45.38,45.81,1840267.0,0.0,1.0,19.2994764554,19.2994764554,18.6819590773,18.8589807257,2760400.5
2000-01-24,45.69,45.75,40.44,40.56,2081867.0,0.0,1.0,18.8095793354,18.8342800306,16.6482685123,16.6976699025,3122800.5
2000-01-25,41.0,43.13,39.13,43.0,6386067.0,0.0,1.0,16.8788083334,17.7556830102,16.1089700021,17.7021648375,9579100.5
2000-01-26,43.06,44.5,42.75,42.94,2105867.0,0.0,1.0,17.7268655326,18.3196822155,17.5992452745,17.6774641424,3158800.5
2000-01-27,43.13,43.19,41.13,43.06,1795667.0,0.0,1.0,17.7556830102,17.7803837054,16.9323265062,17.7268655326,2693500.5
2000-01-28,42.75,44.13,41.63,42.0,1254467.0,0.09,1.0,17.6369579429,18.2062913221,17.1748902728,17.3275376281,1881700.5
2000-01-31,42.06,44.06,42.0,44.06,1354867.0,0.0,1.0,17.3522912533,18.1774120927,17.3275376281,18.1774120927,2032300.5
2000-02-01,44.0,44.88,42.75,44.0,1441067.0,0.0,1.0,18.1526584676,18.5157116369,17.6369579429,18.1526584676,2161600.5
2000-02-02,44.0,44.13,42.5,43.75,945867.0,0.0,1.0,18.1526584676,18.2062913221,17.533817838,18.0495183626,1418800.5
2000-02-03,43.69,44.06,42.0,43.13,1371600.0,0.0,1.0,18.0247647374,18.1774120927,17.3275376281,17.7937309024,2057400.0
2000-02-04,43.63,44.0,42.13,42.5,1058667.0,0.0,1.0,18.0000111123,18.1526584676,17.3811704827,17.533817838,1588000.5
2000-02-07,42.38,43.06,41.81,42.75,676200.0,0.0,1.0,17.4843105876,17.764851673,17.2491511484,17.6369579429,1014300.0
2000-02-08,43.19,43.44,42.13,42.63,1108867.0,0.0,1.0,17.8184845276,17.9216246325,17.3811704827,17.5874506925,1663300.5
2000-02-09,42.25,42.63,41.5,41.5,1221467.0,0.0,1.0,17.4306777331,17.5874506925,17.1212574183,17.1212574183,1832200.5
2000-02-10,41.63,44.81,41.44,44.25,1317200.0,0.0,1.0,17.1748902728,18.4868324075,17.0965037931,18.2557985725,1975800.0
2000-02-11,44.19,45.94,42.25,42.63,1751400.0,0.0,1.0,18.2310449473,18.9530256818,17.4306777331,17.5874506925,2627100.0
2000-02-14,43.0,47.13,42.63,46.5,1540467.0,0.0,1.0,17.7400980478,19.4439725813,17.5874506925,19.1840595169,2310700.5
2000-02-15,46.06,46.5,43.69,46.38,2100000.0,0.0,1.0,19.0025329322,19.1840595169,18.0247647374,19.1345522665,3150000.0
2000-02-16,46.25,46.44,45.0,45.75,1044600.0,0.0,1.0,19.0809194119,19.1593058917,18.5652188873,18.8746392021,1566900.0
2000-02-17,46.44,48.63,45.0,48.5,1398600.0,0.0,1.0,19.1593058917,20.0628132108,18.5652188873,20.0091803563,2097900.0
2000-02-18,48.06,48.13,45.5,45.63,1545400.0,0.0,1.0,19.8276537716,19.856533001,18.7714990971,18.8251319517,2318100.0
2000-02-22,45.69,47.19,43.69,46.38,1292600.0,0.0,1.0,18.8498855769,19.4687262065,18.0247647374,19.1345522665,1938900.0
2000-02-23,46.25,50.06,46.13,49.38,1731667.0,0.0,1.0,19.0809194119,20.652774611,19.0314121616,20.3722335256,2597500.5
2000-02-24,49.38,51.38,45.0,51.19,2400467.0,0.0,1.0,20.3722335256,21.1973543651,18.5652188873,21.1189678853,3600700.5
2000-02-25,50.75,50.75,46.69,47.56,1761067.0,0.0,1.0,20.9374413006,20.9374413006,19.2624459966,19.6213735618,2641600.5
2000-02-28,47.63,51.38,47.13,50.25,2358667.0,0.0,1.0,19.6502527911,21.1973543651,19.4439725813,20.7311610908,3538000.5
2000-02-29,50.25,50.28,48.5,50.06,1559667.0,0.0,1.0,20.7311610908,20.7435379034,20.0091803563,20.652774611,2339500.5
2000-03-01,49.69,49.75,47.81,48.5,1557800.0,0.0,1.0,20.5001272557,20.5248808809,19.7245136667,20.0091803563,2336700.0
2000-03-02,48.0,48.5,46.31,47.88,1323200.0,0.0,1.0,19.8029001464,20.0091803563,19.1056730371,19.7533928961,1984800.0
2000-03-03,48.06,50.19,47.5,48.94,2245267.0,0.0,1.0,19.8276537716,20.7064074656,19.5966199366,20.190706941,3367900.5
2000-03-06,48.38,50.0,48.0,49.88,1075667.0,0.0,1.0,19.9596731059,20.6280209859,19.8029001464,20.5785137355,1613500.5
2000-03-07,50.0,50.13,48.0,48.19,1319067.0,0.0,1.0,20.6280209859,20.6816538404,19.8029001464,19.8812866262,1978600.5
2000-03-08,48.19,49.75,46.19,48.94,1520200.0,0.0,1.0,19.8812866262,20.5248808809,19.0561657867,20.190706941,2280300.0
2000-03-09,48.5,50.25,48.0,49.88,1170667.0,0.0,1.0,20.0091803563,20.7311610908,19.8029001464,20.5785137355,1756000.5
2000-03-10,49.81,51.94,49.5,50.88,1015667.0,0.0,1.0,20.5496345061,21.4283882001,20.421740776,20.9910741552,1523500.5
2000-03-13,49.94,51.94,48.5,48.88,1341200.0,0.0,1.0,20.6032673607,21.4283882001,20.0091803563,20.1659533158,2011800.0
2000-03-14,48.88,51.0,48.63,48.81,1026200.0,0.0,1.0,20.1659533158,21.0405814056,20.0628132108,20.1370740864,1539300.0
2000-03-15,48.63,51.19,47.5,49.44,1392400.0,0.0,1.0,20.0628132108,21.1189678853,19.5966199366,20.3969871508,2088600.0
2000-03-16,50.06,50.5,45.19,47.19,3367667.0,0.0,1.0,20.652774611,20.8343011957,18.643605367,19.4687262065,5051500.5
2000-03-17,46.0,51.19,45.88,50.69,2968600.0,0.0,1.0,18.977779307,21.1189678853,18.9282720566,20.9126876755,4452900.0
2000-03-20,50.06,51.88,49.75,50.06,1543000.0,0.0,1.0,20.652774611,21.4036345749,20.5248808809,20.652774611,2314500.0
2000-03-21,50.88,54.94,50.44,53.31,4111600.0,0.0,1.0,20.9910741552,22.6660694593,20.8095475705,21.9935959751,6167400.0
2000-03-22,53.88,54.0,52.06,53.0,2299600.0,0.0,1.0,22.2287554144,22.2782626647,21.4778954505,21.865702245,3449400.0
2000-03-23,52.63,53.5,52.31,52.88,1439867.0,0.0,1.0,21.7130548897,22.0719824549,21.5810355554,21.8161949946,2159800.5
2000-03-24,53.19,54.48,50.81,51.5,1954200.0,0.0,1.0,21.9440887248,22.4762916662,20.9621949258,21.2468616154,2931300.0
2000-03-27,51.44,54.38,51.31,52.75,1343600.0,0.0,1.0,21.2221079903,22.4350356242,21.1684751357,21.7625621401,2015400.0
2000-03-28,52.44,53.94,51.88,52.13,1223200.0,0.0,1.0,21.63466841,22.2535090395,21.4036345749,21.5067746799,1834800.0
2000-03-29,52.38,54.25,52.25,52.94,1719867.0,0.0,1.0,21.6099147848,22.3814027697,21.5562819302,21.8409486198,2579800.5
2000-03-30,52.81,54.86,52.5,52.81,2964200.0,0.0,1.0,21.7873157653,22.6330646257,21.6594220352,21.7873157653,4446300.0
2000-03-31,53.25,53.63,50.75,52.38,2073200.0,0.0,1.0,21.9688423499,22.1256153094,20.9374413006,21.6099147848,3109800.0
2000-04-03,52.25,53.88,52.25,52.56,2540400.0,0.0,1.0,21.5562819302,22.2287554144,21.5562819302,21.6841756603,3810600.0
2000-04-04,52.56,53.31,46.69,51.06,5247600.0,0.0,1.0,21.6841756603,21.9935959751,19.2624459966,21.0653350308,7871400.0
2000-04-05,50.25,51.5,47.0,49.5,2112200.0,0.0,1.0,20.7311610908,21.2468616154,19.3903397267,20.421740776,3168300.0
2000-04-06,49.94,51.13,48.44,51.0,1850067.0,0.0,1.0,20.6032673607,21.0942142601,19.9844267311,21.0405814056,2775100.5
2000-04-07,50.94,51.63,49.94,51.38,1614400.0,0.0,1.0,21.0158277804,21.30049447,20.6032673607,21.1973543651,2421600.0
2000-04-10,51.06,51.13,47.63,48.56,1476000.0,0.0,1.0,21.0653350308,21.0942142601,19.6502527911,20.0339339815,2214000.0
2000-04-11,48.38,52.75,48.31,51.19,1762867.0,0.0,1.0,19.9596731059,21.7625621401,19.9307938765,21.1189678853,2644300.5
2000-04-12,49.56,54.44,49.38,52.81,3080667.0,0.0,1.0,20.4464944012,22.4597892494,20.3722335256,21.7873157653,4621000.5
2000-04-13,53.31,55.06,52.25,53.38,2763067.0,0.0,1.0,21.9935959751,22.7155767096,21.5562819302,22.0224752045,4144600.5
2000-04-14,52.88,55.19,46.88,47.81,3101400.0,0.0,1.0,21.8161949946,22.7692095642,19.3408324763,19.7245136667,4652100.0
2000-04-17,47.5,50.5,47.5,50.44,2950800.0,0.0,1.0,19.5966199366,20.8343011957,19.5966199366,20.8095475705,4426200.0
2000-04-18,50.56,53.0,49.0,50.19,1690400.0,0.0,1.0,20.8590548209,21.865702245,20.2154605661,20.7064074656,2535600.0
2000-04-19,49.5,50.0,48.56,48.63,1333067.0,0.0,1.0,20.421740776,20.6280209859,20.0339339815,20.0628132108,1999600.5
2000-04-20,48.88,51.75,48.5,50.75,2018467.0,0.0,1.0,20.1659533158,21.3500017204,20.0091803563,20.9374413006,3027700.5
2000-04-24,50.28,52.17,49.88,52.06,2341400.0,0.0,1.0,20.7435379034,21.5232770966,20.5785137355,21.4778954505,3512100.0
2000-04-25,52.25,55.5,51.88,55.31,1905200.0,0.0,1.0,21.5562819302,22.8971032943,21.4036345749,22.8187168146,2857800.0
2000-04-26,55.0,55.0,51.03,51.88,2179600.0,0.0,1.0,22.6908230844,22.6908230844,21.0529582182,21.4036345749,3269400.0
2000-04-27,51.13,54.25,50.5,53.13,1408667.0,0.09,1.0,21.1299469777,22.4193159308,20.8695936314,21.9564655374,2113000.5
2000-04-28,53.19,53.19,50.0,52.63,1882000.0,0.0,1.0,21.9812610941,21.9812610941,20.6629639915,21.7498358974,2823000.0
2000-05-01,52.94,53.13,49.88,50.23,2250400.0,0.0,1.0,21.8779462742,21.9564655374,20.6133728779,20.7580136258,3375600.0
2000-05-02,50.75,50.75,47.13,47.31,2447067.0,0.0,1.0,20.9729084514,20.9729084514,19.4769098584,19.5512965287,3670600.5
2000-05-03,47.5,57.38,43.94,47.94,3311000.0,0.0,1.0,19.6298157919,23.7128174766,18.1586127557,19.811649875,4966500.0
2000-05-04,48.13,48.5,45.0,45.25,1487000.0,0.0,1.0,19.8901691382,20.0430750717,18.5966675923,18.6999824123,2230500.0
2000-05-05,45.44,48.5,45.0,47.38,1630067.0,0.0,1.0,18.7785016755,20.0430750717,18.5966675923,19.5802246783,2445100.5
2000-05-08,47.0,47.13,45.06,45.63,1105267.0,0.0,1.0,19.423186152,19.4769098584,18.6214631491,18.8570209386,1657900.5
2000-05-09,46.31,46.94,44.88,45.06,1241867.0,0.0,1.0,19.1380372489,19.3983905952,18.5470764788,18.6214631491,1862800.5
