Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,20.38,20.38,19.81,19.81,609700.0,0.0,1.0,11.9542367455,11.9542367455,11.6198935196,11.6198935196,609700.0
2000-01-04,19.81,20.88,19.69,20.69,1603100.0,0.0,1.0,11.6157486511,12.2431515313,11.5453857113,12.1317435432,1603100.0
2000-01-05,20.75,22.38,20.75,22.19,3054100.0,0.0,1.0,12.171509595,13.1276329993,12.171509595,13.016183032,3054100.0
2000-01-06,21.88,22.38,21.81,22.25,1058100.0,0.0,1.0,12.83071294,13.1239193601,12.7896640412,13.0476856908,1058100.0
2000-01-07,22.25,22.63,22.06,22.25,943400.0,0.0,1.0,13.0476856908,13.2705225701,12.9362672512,13.0476856908,943400.0
2000-01-10,21.75,22.13,21.56,21.81,543200.0,0.0,1.0,12.7520925801,12.9748877608,12.6406949897,12.7872707665,543200.0
2000-01-11,21.63,21.94,21.31,21.5,751600.0,0.0,1.0,12.6839067161,12.8656917869,12.4962576107,12.607674267,751600.0
2000-01-12,21.5,22.31,21.5,22.0,852800.0,0.0,1.0,12.6019598329,13.0767313429,12.6019598329,12.8950286662,852800.0
2000-01-13,21.94,22.06,21.81,22.0,863600.0,0.0,1.0,12.8598604062,12.9301969262,12.7836625096,12.8950286662,863600.0
2000-01-14,22.0,22.0,21.31,21.81,1355300.0,0.0,1.0,12.8986683569,12.8986683569,12.494119213,12.7872707665,1355300.0
2000-01-18,22.0,22.0,21.56,21.88,2423200.0,0.0,1.0,12.8935183483,12.8935183483,12.6356479814,12.8231900664,2423200.0
2000-01-19,22.13,22.38,21.94,22.38,1203700.0,0.0,1.0,12.9729701766,13.1195242907,12.8615890499,13.1195242907,1203700.0
2000-01-20,22.31,22.31,21.81,22.0,1001600.0,0.0,1.0,13.0767313429,13.0767313429,12.7836625096,12.8950286662,1001600.0
2000-01-21,21.94,22.63,21.63,22.44,1815000.0,0.0,1.0,12.8623187334,13.2668310363,12.6805813219,13.1554435906,1815000.0
2000-01-24,22.5,22.69,22.25,22.38,1304000.0,0.0,1.0,13.1898702654,13.3012513921,13.0433161513,13.1195242907,1304000.0
2000-01-25,22.31,22.38,21.38,21.63,1033100.0,0.0,1.0,13.0841781711,13.125231173,12.5387597175,12.6853775814,1033100.0
2000-01-26,21.44,22.06,21.25,22.0,1571000.0,0.0,1.0,12.5667915729,12.9301969262,12.4554254163,12.8950286662,1571000.0
2000-01-27,21.94,22.25,21.13,21.56,1449000.0,0.0,1.0,12.8664398357,13.0482354761,12.3914254206,12.6435935669,1449000.0
2000-01-28,21.56,21.63,21.06,21.13,1348800.0,0.0,1.0,12.641161531,12.6822042632,12.3479991578,12.3890418901,1348800.0
2000-01-31,21.69,22.0,21.31,21.94,1122100.0,0.0,1.0,12.7125835076,12.8942755724,12.4898642022,12.8591093663,1122100.0
2000-02-01,22.0,22.25,21.81,22.19,1119400.0,0.0,1.0,12.9003542407,13.0469491752,12.7889420904,13.0117663909,1119400.0
2000-02-02,22.19,22.31,22.06,22.06,1514600.0,0.0,1.0,13.016183032,13.086572485,12.9399277911,12.9399277911,1514600.0
2000-02-03,22.13,22.94,22.13,22.75,825800.0,0.0,1.0,12.9716236129,13.4464096557,12.9716236129,13.3350400901,825800.0
2000-02-04,22.88,22.88,21.88,22.25,607400.0,0.0,1.0,13.4171257801,13.4171257801,12.83071294,13.0476856908,607400.0
2000-02-07,22.25,22.31,22.0,22.25,456700.0,0.0,1.0,13.0476856908,13.0828704613,12.9010824808,13.0476856908,456700.0
2000-02-08,22.13,22.44,22.06,22.06,515500.0,0.0,1.0,12.9809883054,13.1628277259,12.9399277911,12.9399277911,515500.0
2000-02-09,22.06,22.44,22.06,22.06,686200.0,0.0,1.0,12.9399277911,13.1628277259,12.9399277911,12.9399277911,686200.0
2000-02-10,22.0,22.19,21.25,21.38,510700.0,0.0,1.0,12.8993631748,13.0107667659,12.4596121575,12.5358356672,510700.0
2000-02-11,21.31,21.81,21.06,21.69,811100.0,0.0,1.0,12.492662954,12.7857803391,12.3461042615,12.7154321667,811100.0
2000-02-14,21.56,22.25,21.38,21.88,599700.0,0.0,1.0,12.6356479814,13.0400356023,12.5301555585,12.8231900664,599700.0
2000-02-15,22.19,22.25,21.63,21.81,1339200.0,0.0,1.0,13.0100659472,13.0452441337,12.6817362072,12.7872707665,1339200.0
2000-02-16,21.81,22.06,21.75,21.81,609100.0,0.0,1.0,12.7872707665,12.9338465433,12.7520925801,12.7872707665,609100.0
2000-02-17,21.88,23.13,21.63,23.13,1716800.0,0.0,1.0,12.8322941796,13.5654005656,12.6856729025,13.5654005656,1716800.0
2000-02-18,22.88,23.0,22.31,22.5,1276800.0,0.0,1.0,13.4141503526,13.484504288,13.0799691594,13.1913628905,1276800.0
2000-02-22,22.0,22.75,22.0,22.44,849300.0,0.0,1.0,12.8974937162,13.337181002,12.8974937162,13.1554435906,849300.0
2000-02-23,22.25,22.25,21.75,21.88,649200.0,0.0,1.0,13.0400356023,13.0400356023,12.7470010944,12.8231900664,649200.0
2000-02-24,21.88,21.88,20.5,20.81,1285400.0,0.0,1.0,12.8310608981,12.8310608981,12.0217892327,12.2035821431,1285400.0
2000-02-25,20.69,20.69,20.0,20.06,833800.0,0.0,1.0,12.1330148644,12.1330148644,11.7283855625,11.7635707192,833800.0
2000-02-28,20.25,20.88,19.88,20.75,851200.0,0.0,1.0,11.8744661481,12.2438939839,11.6575005938,12.1676628432,851200.0
2000-02-29,20.69,20.75,20.13,20.63,807500.0,0.0,1.0,12.1368866923,12.1720830771,11.8083871008,12.1016903075,807500.0
2000-03-01,20.56,20.63,19.75,19.94,1260900.0,0.0,1.0,12.055266418,12.096310613,11.5803264472,11.6917321194,1260900.0
