Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,24.94,25.12,24.5,24.88,84500.0,0.0,1.0,10.6115483206,10.6881352772,10.42433576,10.5860193351,84500.0
2000-01-04,24.75,24.75,24.0,24.0,149600.0,0.0,1.0,10.527961779,10.527961779,10.2089326341,10.2089326341,149600.0
2000-01-05,24.0,24.69,23.88,24.38,171500.0,0.0,1.0,10.208604031,10.5021013969,10.1575610109,10.3702402615,171500.0
2000-01-06,25.0,25.5,24.81,25.44,98500.0,0.0,1.0,10.6379200932,10.8506784951,10.5570719005,10.8251474868,98500.0
2000-01-07,25.25,25.69,25.13,25.63,99900.0,0.0,1.0,10.7413277064,10.9285033179,10.6902798123,10.9029793709,99900.0
2000-01-10,25.5,25.75,25.13,25.31,115800.0,0.0,1.0,10.8508132641,10.9571937863,10.6933700912,10.7699640672,115800.0
2000-01-11,25.56,25.56,24.25,24.69,137200.0,0.0,1.0,10.8733463708,10.8733463708,10.316066099,10.5032442056,137200.0
2000-01-12,24.44,24.75,24.31,24.44,80200.0,0.0,1.0,10.4020746029,10.534015811,10.3467444188,10.4020746029,80200.0
2000-01-13,24.38,25.0,24.13,24.31,181800.0,0.0,1.0,10.3766847819,10.6405709412,10.2702790725,10.3468911833,181800.0
2000-01-14,24.31,24.38,23.44,23.44,182300.0,0.0,1.0,10.3398441538,10.3696174607,9.96980448236,9.96980448236,182300.0
2000-01-18,23.38,24.0,23.06,23.06,189700.0,0.0,1.0,9.94963118541,10.2134794033,9.81345146003,9.81345146003,189700.0
2000-01-19,23.38,23.44,21.5,22.44,426600.0,0.0,1.0,9.94663925005,9.97216527036,9.14682394679,9.54673159842,426600.0
2000-01-20,22.5,22.94,22.31,22.81,166000.0,0.0,1.0,9.57121455356,9.7583849715,9.490390964,9.70308462075,166000.0
2000-01-21,23.06,23.5,22.75,23.06,204000.0,0.0,1.0,9.81345146003,10.0006985824,9.68152735107,9.81345146003,204000.0
2000-01-24,23.06,23.5,22.5,22.69,102900.0,0.0,1.0,9.81457426062,10.0018428068,9.57623247459,9.65709843771,102900.0
2000-01-25,22.94,23.06,22.25,22.31,133500.0,0.0,1.0,9.75957486424,9.81062756623,9.46602182778,9.49154817878,133500.0
2000-01-26,22.31,22.94,22.0,22.13,136500.0,0.0,1.0,9.49886605239,9.76709938332,9.36687822288,9.42222795784,136500.0
2000-01-27,22.25,23.31,22.13,22.75,159000.0,0.0,1.0,9.46284471508,9.91365889027,9.41180914808,9.67549291092,159000.0
2000-01-28,22.75,23.25,22.38,22.69,126600.0,0.0,1.0,9.68263505764,9.89544022374,9.52515923473,9.65709843771,126600.0
2000-01-31,23.19,23.38,22.5,22.63,121300.0,0.0,1.0,9.87216008045,9.9530445313,9.57842181156,9.63376380425,121300.0
2000-02-01,23.0,23.56,22.75,23.0,127400.0,0.0,1.0,9.78585975021,10.0241241615,9.67949170945,9.78585975021,127400.0
2000-02-02,23.63,23.63,23.13,23.5,141700.0,0.0,1.0,10.0527009371,10.0527009371,9.83999037979,9.99739619218,141700.0
2000-02-03,23.5,23.63,23.13,23.44,102600.0,0.0,1.0,9.9953244597,10.0506177439,9.83795126608,9.96980448236,102600.0
2000-02-04,23.31,23.69,23.13,23.63,90600.0,0.0,1.0,9.92064482437,10.082371338,9.84403752843,10.0568355727,90600.0
2000-02-07,23.75,23.75,23.25,23.25,106000.0,0.0,1.0,10.1090486667,10.1090486667,9.8962265895,9.8962265895,106000.0
2000-02-08,23.25,23.31,22.69,23.06,158300.0,0.0,1.0,9.89430817198,9.91984187049,9.65599365257,9.81345146003,158300.0
2000-02-09,23.13,23.44,22.88,23.13,87700.0,0.0,1.0,9.84529967642,9.97725137982,9.73888701238,9.84529967642,87700.0
2000-02-10,23.13,23.38,22.94,23.25,97900.0,0.0,1.0,9.84514929097,9.95156032957,9.76427690164,9.8962265895,97900.0
2000-02-11,23.44,23.88,23.06,23.81,125000.0,0.0,1.0,9.97785447862,10.1651520883,9.81609745209,10.1353547413,125000.0
2000-02-14,23.25,23.5,23.19,23.44,128700.0,0.57,1.0,10.1353037327,10.2442854933,10.1091481102,10.2181298708,128700.0
2000-02-15,23.44,23.63,23.25,23.44,110000.0,0.0,1.0,10.2181298708,10.3009560088,10.1353037327,10.2181298708,110000.0
2000-02-16,23.31,23.5,23.25,23.38,103700.0,0.0,1.0,10.1614593553,10.2442854933,10.1353037327,10.1919742482,103700.0
2000-02-17,23.31,23.69,23.31,23.5,118200.0,0.0,1.0,10.1628838316,10.3285593295,10.1628838316,10.2457215806,118200.0
2000-02-18,23.5,23.69,23.25,23.31,99800.0,0.0,1.0,10.2457847105,10.3286229698,10.1367870008,10.1629464511,99800.0
2000-02-22,23.06,23.5,23.0,23.5,96200.0,0.0,1.0,10.0538867935,10.2457215806,10.0277275044,10.2457215806,96200.0
2000-02-23,23.5,23.63,23.25,23.5,79300.0,0.0,1.0,10.2457215806,10.3024000404,10.1367245425,10.2457215806,79300.0
2000-02-24,23.63,23.63,22.13,22.63,156600.0,0.0,1.0,10.2996689437,10.2996689437,9.64586008139,9.86379636882,156600.0
2000-02-25,22.75,22.81,22.38,22.56,124500.0,0.0,1.0,9.91464960024,9.94079812666,9.75340035399,9.83184593325,124500.0
2000-02-28,22.56,22.75,22.0,22.06,145800.0,0.0,1.0,9.83835821048,9.92121672378,9.59414364498,9.62030949128,145800.0
2000-02-29,22.38,22.63,22.13,22.25,156900.0,0.0,1.0,9.75977680055,9.86880022326,9.65075337785,9.70308462075,156900.0
2000-03-01,22.5,23.13,22.38,23.06,180800.0,0.0,1.0,9.80845799072,10.0830948145,9.75614621477,10.0525796118,180800.0
2000-03-02,23.06,23.5,23.0,23.44,126500.0,0.0,1.0,10.0524775947,10.2442854933,10.0263219722,10.2181298708,126500.0
2000-03-03,23.44,23.69,23.25,23.5,90200.0,0.0,1.0,10.2195622914,10.3285593295,10.1367245425,10.2457215806,90200.0
2000-03-06,23.5,23.5,22.56,23.0,181800.0,0.0,1.0,10.2429224216,10.2429224216,9.83320552475,10.024987902,181800.0
2000-03-07,22.56,22.94,22.13,22.94,171500.0,0.0,1.0,9.83178980364,9.99739619218,9.64439310083,9.99739619218,171500.0
2000-03-08,22.69,23.0,22.25,22.25,112400.0,0.0,1.0,9.89496584471,10.0301548889,9.70308462075,9.70308462075,112400.0
2000-03-09,22.63,22.88,22.19,22.63,94000.0,0.0,1.0,9.86379636882,9.97276451253,9.67201243589,9.86379636882,94000.0
2000-03-10,22.56,23.19,22.31,23.13,76300.0,0.0,1.0,9.83601492285,10.1106908715,9.72701653053,10.0845312573,76300.0
2000-03-13,22.75,23.0,22.19,23.0,106400.0,0.0,1.0,9.9160206422,10.024987902,9.67193398024,10.024987902,106400.0
2000-03-14,23.13,23.38,22.44,22.69,80400.0,0.0,1.0,10.078756674,10.1876926519,9.77809337501,9.88702935289,80400.0
2000-03-15,22.63,23.5,22.56,23.5,119100.0,0.0,1.0,9.86641188802,10.2457215806,9.83589271736,10.2457215806,119100.0
2000-03-16,23.5,24.69,23.38,24.5,243500.0,0.0,1.0,10.2421553052,10.7608006164,10.1898549376,10.6779917011,243500.0
2000-03-17,24.63,24.69,24.0,24.44,162700.0,0.0,1.0,10.7331976999,10.7593443447,10.4586579293,10.6503999913,162700.0
2000-03-20,24.69,24.69,24.13,24.38,189500.0,0.0,1.0,10.7578809052,10.7578809052,10.5138787462,10.6228082815,189500.0
2000-03-21,24.13,24.38,24.06,24.13,140500.0,0.0,1.0,10.5167998342,10.6257596335,10.4862910903,10.5167998342,140500.0
2000-03-22,24.25,24.25,23.63,23.81,103900.0,0.0,1.0,10.5755667008,10.5755667008,10.3051810779,10.3836801297,103900.0
2000-03-23,23.44,23.88,23.25,23.75,126100.0,0.0,1.0,10.2209142131,10.4127743775,10.1380655058,10.3560884199,126100.0
2000-03-24,23.94,23.94,22.81,23.0,130800.0,0.0,1.0,10.4347047989,10.4347047989,9.94217278455,10.024987902,130800.0
2000-03-27,22.75,23.31,22.75,23.25,242300.0,0.0,1.0,9.9173901232,10.1615104955,9.9173901232,10.1353547413,242300.0
2000-03-28,23.5,23.75,23.31,23.75,124100.0,0.0,1.0,10.2470769628,10.3560884199,10.1642282555,10.3560884199,124100.0
2000-03-29,23.75,24.75,23.25,24.63,130500.0,0.0,1.0,10.3538955775,10.7898490755,10.1359188285,10.7375346557,130500.0
2000-03-30,24.5,24.88,24.0,24.63,92000.0,0.0,1.0,10.680860701,10.8465230302,10.462883952,10.7375346557,92000.0
2000-03-31,24.38,25.63,24.0,24.63,315500.0,0.0,1.0,10.6285462812,11.1734881537,10.462883952,10.7375346557,315500.0
2000-04-03,24.88,25.13,24.63,24.88,58300.0,0.0,1.0,10.8435419601,10.9525003801,10.73458354,10.8435419601,58300.0
2000-04-04,24.75,25.0,24.13,24.63,90700.0,0.0,1.0,10.7898490755,10.89883745,10.5195579067,10.7375346557,90700.0
2000-04-05,24.5,24.5,24.13,24.5,55600.0,0.0,1.0,10.6779917011,10.6779917011,10.5167322346,10.6779917011,55600.0
2000-04-06,24.5,24.75,24.13,24.25,59900.0,0.0,1.0,10.676569448,10.7855140342,10.5153314605,10.5676248618,59900.0
2000-04-07,24.38,24.38,23.75,23.81,46800.0,0.0,1.0,10.6322604604,10.6322604604,10.3575137791,10.3836801297,46800.0
2000-04-10,23.94,24.44,23.88,24.13,88700.0,0.0,1.0,10.4339903867,10.6519099854,10.4078400348,10.5167998342,88700.0
2000-04-11,24.25,25.0,24.25,24.81,113300.0,0.0,1.0,10.5718175562,10.8987809857,10.5718175562,10.8159502502,113300.0
2000-04-12,24.56,25.13,24.5,24.75,83700.0,0.0,1.0,10.7055388183,10.9539979847,10.6793852218,10.7883585404,83700.0
2000-04-13,24.81,25.0,23.94,24.25,88100.0,0.0,1.0,10.8116607349,10.8944586204,10.4325335749,10.5676248618,88100.0
2000-04-14,24.31,24.63,23.44,23.63,102200.0,0.0,1.0,10.6018205146,10.7413755358,10.2224053008,10.3052660946,102200.0
2000-04-17,23.38,23.94,23.25,23.5,90300.0,0.0,1.0,10.1934030023,10.4375563676,10.1367245425,10.2457215806,90300.0
2000-04-18,23.5,24.0,23.38,23.5,92100.0,0.0,1.0,10.2457215806,10.4637156568,10.1934030023,10.2457215806,92100.0
2000-04-19,23.69,24.63,23.5,23.94,79600.0,0.0,1.0,10.3298528606,10.7397330501,10.2470047372,10.4388635493,79600.0
2000-04-20,24.13,24.13,23.69,24.0,81800.0,0.0,1.0,10.5139015035,10.5139015035,10.3221851064,10.4572580225,81800.0
2000-04-24,23.94,23.94,23.13,23.5,94100.0,0.0,1.0,10.4375563676,10.4375563676,10.0844059642,10.2457215806,94100.0
2000-04-25,23.75,24.13,23.25,23.94,71600.0,0.0,1.0,10.3560154259,10.5217116727,10.1379940485,10.4388635493,71600.0
2000-04-26,24.19,24.75,23.81,24.63,107700.0,0.0,1.0,10.5457151166,10.7898490755,10.3800527874,10.7375346557,107700.0
2000-04-27,24.63,24.81,24.44,24.5,153900.0,0.0,1.0,10.7346504326,10.8131009839,10.6518415174,10.6779917011,153900.0
2000-04-28,24.63,24.81,24.06,24.44,82100.0,0.0,1.0,10.7331976999,10.8116376344,10.4848045741,10.6503999913,82100.0
2000-05-01,24.63,24.94,24.25,24.81,92400.0,0.0,1.0,10.7374790271,10.8726239114,10.5718175562,10.8159502502,92400.0
2000-05-02,24.94,25.38,24.75,25.19,103900.0,0.0,1.0,10.872513803,11.0643304058,10.7896839064,10.9815005092,103900.0
2000-05-03,25.19,25.19,25.0,25.13,58800.0,0.0,1.0,10.9844332267,10.9844332267,10.9015812095,10.9582694318,58800.0
2000-05-04,25.0,25.44,24.97,25.06,46500.0,0.0,1.0,10.9001567134,11.0919994716,10.8870765254,10.9263170895,46500.0
2000-05-05,24.81,25.75,24.81,25.75,89100.0,0.0,1.0,10.8110212458,11.220628661,10.8110212458,11.220628661,89100.0
2000-05-08,25.25,25.94,25.25,25.56,65200.0,0.0,1.0,11.0118557079,11.3127737451,11.0118557079,11.1470507681,65200.0
2000-05-09,25.81,25.81,25.5,25.69,81600.0,0.0,1.0,11.2453205025,11.2453205025,11.1102546615,11.1930369511,81600.0
2000-05-10,25.69,25.75,25.5,25.63,81000.0,0.0,1.0,11.205174288,11.2313444109,11.1223022321,11.1790041651,81000.0
2000-05-11,25.75,25.94,25.75,25.94,40100.0,0.0,1.0,11.2206109331,11.3034037904,11.2206109331,11.3034037904,40100.0
2000-05-12,25.94,26.0,25.75,26.0,53700.0,0.0,1.0,11.3048470491,11.3309955002,11.2220436204,11.3309955002,53700.0
2000-05-15,25.38,25.81,25.38,25.56,73400.0,0.57,1.0,11.7046904672,11.9029968857,11.7046904672,11.7877024564,73400.0
2000-05-16,25.63,25.88,25.25,25.88,67700.0,0.0,1.0,11.8199848966,11.9352793259,11.644737364,11.9352793259,67700.0
2000-05-17,25.63,25.75,25.44,25.5,30700.0,0.0,1.0,11.8199848966,11.8753262227,11.7323611303,11.7600317933,30700.0
2000-05-18,25.75,25.75,24.63,25.0,76200.0,0.0,1.0,11.8753262227,11.8753262227,11.3588071792,11.5294429346,76200.0
2000-05-19,25.0,25.13,24.81,25.13,39100.0,0.0,1.0,11.5294429346,11.5893960379,11.4418191683,11.5893960379,39100.0
2000-05-22,25.38,25.38,24.88,25.0,50600.0,0.0,1.0,11.7046904672,11.7046904672,11.4741016085,11.5294429346,50600.0
2000-05-23,25.06,25.13,24.63,24.69,52500.0,0.0,1.0,11.5571135977,11.5893960379,11.3588071792,11.3864778422,52500.0
2000-05-24,24.75,24.88,24.31,24.63,54700.0,0.0,1.0,11.4141485053,11.4741016085,11.2112303096,11.3588071792,54700.0
2000-05-25,24.56,24.63,24.06,24.13,55300.0,0.0,1.0,11.326524739,11.3588071792,11.0959358803,11.1282183205,55300.0
2000-05-26,24.38,24.56,24.0,24.56,79500.0,0.0,1.0,11.2435127498,11.326524739,11.0682652172,11.326524739,79500.0
2000-05-30,24.81,25.75,24.5,25.38,181600.0,0.0,1.0,11.4418191683,11.8753262227,11.2988540759,11.7046904672,181600.0
2000-05-31,25.94,26.38,25.88,26.25,135200.0,0.0,1.0,11.962949989,12.1658681846,11.9352793259,12.1059150814,135200.0
2000-06-01,26.31,26.5,25.75,26.0,109700.0,0.0,1.0,12.1335857444,12.2212095107,11.8753262227,11.990620652,109700.0
2000-06-02,26.0,26.5,25.75,26.19,64400.0,0.0,1.0,11.990620652,12.2212095107,11.8753262227,12.0782444183,64400.0
2000-06-05,26.44,26.44,26.0,26.31,49100.0,0.0,1.0,12.1935388477,12.1935388477,11.990620652,12.1335857444,49100.0
2000-06-06,26.25,26.31,26.0,26.25,59100.0,0.0,1.0,12.1059150814,12.1335857444,11.990620652,12.1059150814,59100.0
2000-06-07,26.25,26.5,26.06,26.25,77800.0,0.0,1.0,12.1059150814,12.2212095107,12.018291315,12.1059150814,77800.0
2000-06-08,26.25,26.5,26.19,26.5,63300.0,0.0,1.0,12.1059150814,12.2212095107,12.0782444183,12.2212095107,63300.0
2000-06-09,26.44,26.63,26.38,26.63,71700.0,0.0,1.0,12.1935388477,12.281162614,12.1658681846,12.281162614,71700.0
2000-06-12,26.63,27.25,26.63,27.19,124300.0,0.0,1.0,12.281162614,12.5670927987,12.281162614,12.5394221357,124300.0
2000-06-13,27.19,27.19,26.63,26.63,68200.0,0.0,1.0,12.5394221357,12.5394221357,12.281162614,12.281162614,68200.0
2000-06-14,26.94,27.0,26.75,26.94,50000.0,0.0,1.0,12.4241277063,12.4517983694,12.33650394,12.4241277063,50000.0
2000-06-15,27.31,27.88,26.75,27.5,127300.0,0.0,1.0,12.5947634618,12.8576347607,12.33650394,12.6823872281,127300.0
2000-06-16,27.25,27.38,26.88,27.19,68400.0,0.0,1.0,12.5670927987,12.627045902,12.3964570433,12.5394221357,68400.0
2000-06-19,27.06,27.25,26.88,27.19,58900.0,0.0,1.0,12.4794690324,12.5670927987,12.3964570433,12.5394221357,58900.0
2000-06-20,27.25,27.5,26.63,26.94,61700.0,0.0,1.0,12.5670927987,12.6823872281,12.281162614,12.4241277063,61700.0
2000-06-21,27.0,27.44,26.75,27.0,51100.0,0.0,1.0,12.4517983694,12.654716565,12.33650394,12.4517983694,51100.0
2000-06-22,26.88,27.25,26.88,27.06,66600.0,0.0,1.0,12.3964570433,12.5670927987,12.3964570433,12.4794690324,66600.0
2000-06-23,27.06,27.13,26.56,27.13,58100.0,0.0,1.0,12.4794690324,12.5117514727,12.2488801737,12.5117514727,58100.0
2000-06-26,27.19,27.63,26.5,27.0,96500.0,0.0,1.0,12.5394221357,12.7423403313,12.2212095107,12.4517983694,96500.0
2000-06-27,26.75,27.19,26.25,27.19,175700.0,0.0,1.0,12.33650394,12.5394221357,12.1059150814,12.5394221357,175700.0
2000-06-28,27.25,27.38,27.13,27.31,162600.0,0.0,1.0,12.5670927987,12.627045902,12.5117514727,12.5947634618,162600.0
2000-06-29,27.5,29.5,27.38,29.5,236500.0,0.0,1.0,12.6823872281,13.6047426629,12.627045902,13.6047426629,236500.0
2000-06-30,29.25,29.81,25.9,25.9,583900.0,0.0,1.0,13.4894482335,13.7477077552,11.9445028803,11.9445028803,583900.0
2000-07-03,26.06,26.69,26.0,26.69,42300.0,0.0,1.0,12.018291315,12.308833277,11.990620652,12.308833277,42300.0
2000-07-05,26.81,27.13,26.75,26.94,80500.0,0.0,1.0,12.3641746031,12.5117514727,12.33650394,12.4241277063,80500.0
2000-07-06,27.0,27.0,26.47,26.5,91100.0,0.0,1.0,12.4517983694,12.4517983694,12.2073741792,12.2212095107,91100.0
2000-07-07,26.75,27.69,26.63,27.44,75200.0,0.0,1.0,12.33650394,12.7700109944,12.281162614,12.654716565,75200.0
2000-07-10,27.5,28.25,27.25,27.94,55400.0,0.0,1.0,12.6823872281,13.0282705161,12.5670927987,12.8853054237,55400.0
2000-07-11,27.69,28.5,27.56,28.31,73700.0,0.0,1.0,12.7700109944,13.1435649455,12.7100578911,13.0559411792,73700.0
2000-07-12,28.5,28.69,28.13,28.44,76600.0,0.0,1.0,13.1435649455,13.2311887118,12.97292919,13.1158942824,76600.0
2000-07-13,28.5,28.94,28.5,28.75,85000.0,0.0,1.0,13.1435649455,13.3464831411,13.1435649455,13.2588593748,85000.0
2000-07-14,28.88,28.88,28.25,28.31,146000.0,0.0,1.0,13.3188124781,13.3188124781,13.0282705161,13.0559411792,146000.0
2000-07-17,28.31,28.69,27.25,27.38,150700.0,0.0,1.0,13.0559411792,13.2311887118,12.5670927987,12.627045902,150700.0
2000-07-18,27.13,27.81,27.06,27.19,121200.0,0.0,1.0,12.5117514727,12.8253523205,12.4794690324,12.5394221357,121200.0
2000-07-19,25.94,26.69,25.19,26.63,1310100.0,0.0,1.0,11.962949989,12.308833277,11.6170667009,12.281162614,1310100.0
2000-07-20,26.56,26.94,26.56,26.63,428700.0,0.0,1.0,12.2488801737,12.4241277063,12.2488801737,12.281162614,428700.0
2000-07-21,26.63,26.69,25.63,25.69,431300.0,0.0,1.0,12.281162614,12.308833277,11.8199848966,11.8476555596,431300.0
2000-07-24,25.69,26.5,25.5,26.25,404300.0,0.0,1.0,11.8476555596,12.2212095107,11.7600317933,12.1059150814,404300.0
2000-07-25,26.0,26.88,26.0,26.69,380700.0,0.0,1.0,11.990620652,12.3964570433,11.990620652,12.308833277,380700.0
2000-07-26,26.81,26.81,26.31,26.5,138500.0,0.0,1.0,12.3641746031,12.3641746031,12.1335857444,12.2212095107,138500.0
2000-07-27,26.75,26.94,26.44,26.63,196600.0,0.0,1.0,12.33650394,12.4241277063,12.1935388477,12.281162614,196600.0
2000-07-28,26.63,26.63,26.13,26.38,107800.0,0.0,1.0,12.281162614,12.281162614,12.0505737553,12.1658681846,107800.0
2000-07-31,26.38,26.5,26.19,26.25,100300.0,0.0,1.0,12.1658681846,12.2212095107,12.0782444183,12.1059150814,100300.0
2000-08-01,26.13,26.5,26.0,26.5,204400.0,0.0,1.0,12.0505737553,12.2212095107,11.990620652,12.2212095107,204400.0
2000-08-02,26.38,26.38,26.0,26.06,163500.0,0.0,1.0,12.1658681846,12.1658681846,11.990620652,12.018291315,163500.0
2000-08-03,26.25,26.38,26.13,26.25,134900.0,0.0,1.0,12.1059150814,12.1658681846,12.0505737553,12.1059150814,134900.0
2000-08-04,26.38,26.38,26.13,26.19,125300.0,0.0,1.0,12.1658681846,12.1658681846,12.0505737553,12.0782444183,125300.0
2000-08-07,26.19,26.31,25.94,26.13,175700.0,0.0,1.0,12.0782444183,12.1335857444,11.962949989,12.0505737553,175700.0
2000-08-08,26.13,26.25,25.88,26.25,107400.0,0.0,1.0,12.0505737553,12.1059150814,11.9352793259,12.1059150814,107400.0
2000-08-09,26.13,26.44,26.06,26.44,161200.0,0.0,1.0,12.0505737553,12.1935388477,12.018291315,12.1935388477,161200.0
2000-08-10,26.38,26.38,25.81,26.0,146000.0,0.0,1.0,12.1658681846,12.1658681846,11.9029968857,11.990620652,146000.0
2000-08-11,25.56,25.81,25.31,25.81,196100.0,0.57,1.0,12.0480275397,12.1658681846,11.9301868947,12.1658681846,196100.0
2000-08-14,25.75,25.75,25.25,25.31,116800.0,0.0,1.0,12.1375864298,12.1375864298,11.9019051399,11.9301868947,116800.0
2000-08-15,25.31,25.5,25.25,25.31,94000.0,0.0,1.0,11.9301868947,12.0197457849,11.9019051399,11.9301868947,94000.0
2000-08-16,25.25,25.31,24.88,24.88,137800.0,0.0,1.0,11.9019051399,11.9301868947,11.7275009854,11.7275009854,137800.0
2000-08-17,24.81,25.13,24.63,25.0,145000.0,0.0,1.0,11.6945056048,11.8453416303,11.6096603404,11.784064495,145000.0
2000-08-18,25.0,25.0,24.75,24.81,84000.0,0.0,1.0,11.784064495,11.784064495,11.66622385,11.6945056048,84000.0
2000-08-21,24.81,25.0,24.69,24.88,132000.0,0.0,1.0,11.6945056048,11.784064495,11.6379420952,11.7275009854,132000.0
2000-08-22,24.75,24.81,24.56,24.75,130800.0,0.0,1.0,11.66622385,11.6945056048,11.5766649599,11.66622385,130800.0
2000-08-23,24.56,24.63,24.0,24.0,779400.0,0.0,1.0,11.5766649599,11.6096603404,11.3127019152,11.3127019152,779400.0
2000-08-24,24.06,24.25,23.94,24.0,308900.0,0.0,1.0,11.34098367,11.4305425601,11.2844201604,11.3127019152,308900.0
2000-08-25,24.06,24.13,23.81,23.88,213500.0,0.0,1.0,11.34098367,11.3739790506,11.223143025,11.2561384056,213500.0
2000-08-28,24.0,24.25,23.75,24.0,126600.0,0.0,1.0,11.3127019152,11.4305425601,11.1948612702,11.3127019152,126600.0
2000-08-29,24.06,24.44,23.88,24.19,106500.0,0.0,1.0,11.34098367,11.5201014503,11.2561384056,11.4022608053,106500.0
2000-08-30,25.13,25.13,24.13,24.13,149300.0,0.0,1.0,11.8453416303,11.8453416303,11.3739790506,11.3739790506,149300.0
2000-08-31,24.13,24.38,24.06,24.25,106700.0,0.0,1.0,11.3739790506,11.4918196955,11.34098367,11.4305425601,106700.0
2000-09-01,24.13,24.31,24.13,24.19,100600.0,0.0,1.0,11.3739790506,11.4588243149,11.3739790506,11.4022608053,100600.0
2000-09-05,24.25,24.25,24.0,24.06,84000.0,0.0,1.0,11.4305425601,11.4305425601,11.3127019152,11.34098367,84000.0
2000-09-06,24.06,24.06,23.88,24.06,81700.0,0.0,1.0,11.34098367,11.34098367,11.2561384056,11.34098367,81700.0
2000-09-07,24.0,24.06,23.88,23.94,116100.0,0.0,1.0,11.3127019152,11.34098367,11.2561384056,11.2844201604,116100.0
2000-09-08,23.94,23.94,23.63,23.88,88800.0,0.0,1.0,11.2844201604,11.2844201604,11.1382977607,11.2561384056,88800.0
2000-09-11,23.94,23.94,23.63,23.75,87700.0,0.0,1.0,11.2844201604,11.2844201604,11.1382977607,11.1948612702,87700.0
