Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,107.8,107.9,107.1,107.2,2137500.0,0.0,1.0,33.7318158156,33.7631069249,33.5127780505,33.5440691598,4275000.0
2000-01-04,106.4,108.4,103.8,105.1,2135400.0,0.0,1.0,33.2982447088,33.9241515642,32.4845657967,32.8914052528,4270800.0
2000-01-05,104.9,105.4,103.0,104.2,2549200.0,0.0,1.0,32.8295791113,32.9860594693,32.2349537509,32.6105066101,5098400.0
2000-01-06,105.1,109.4,105.1,107.9,3262100.0,0.0,1.0,32.8884529281,34.2340318776,32.8884529281,33.764643872,6524200.0
2000-01-07,109.6,117.0,109.2,116.5,4916000.0,0.0,1.0,34.2989967287,36.614804902,34.1738179085,36.4583313768,9832000.0
2000-01-10,115.8,117.3,114.4,115.9,3431000.0,0.0,1.0,36.2423708302,36.7118315922,35.8042074523,36.2736682143,6862000.0
2000-01-11,115.4,117.8,114.4,117.8,2210900.0,0.0,1.0,36.1125271514,36.8635675774,35.7995936406,36.8635675774,4421800.0
2000-01-12,116.6,118.4,116.1,117.0,3115800.0,0.0,1.0,36.4871846976,37.0504516998,36.3307216414,36.6123551425,6231600.0
2000-01-13,116.9,117.0,114.6,115.0,2642600.0,0.0,1.0,36.5817709861,36.6130642033,35.8620269889,35.987199858,5285200.0
2000-01-14,115.5,117.0,115.4,117.0,2452200.0,0.0,1.0,36.142965974,36.6123551425,36.1116733628,36.6123551425,4904400.0
2000-01-18,116.9,118.0,116.1,116.9,2228400.0,0.0,1.0,36.5817174309,36.9259423169,36.3313720593,36.5817174309,4456800.0
2000-01-19,114.0,116.0,113.6,115.4,2776700.0,0.32,1.0,35.7716202971,36.399192583,35.6461058399,36.2109208972,5553400.0
2000-01-20,114.0,114.3,107.6,112.6,5115900.0,0.0,1.0,35.7777329456,35.8718848744,33.7691584645,35.3383572779,10231800.0
2000-01-21,112.6,112.6,99.5,102.7,12189400.0,0.0,1.0,35.3372637338,35.3372637338,31.2260900668,32.2303462297,24378800.0
2000-01-24,96.0,197.3,94.81,96.0,14277300.0,0.0,1.0,30.1285752539,61.9204989333,29.7551064565,30.1285752539,28554600.0
2000-01-25,103.6,103.7,97.0,97.5,8548900.0,0.0,1.0,32.5106023657,32.541983256,30.4394636049,30.5963680565,17097800.0
2000-01-26,99.0,100.8,98.81,100.6,5121600.0,0.0,1.0,31.0665108928,31.6313565454,31.0068882961,31.5685959173,10243200.0
2000-01-27,102.0,104.4,101.2,104.1,4494500.0,0.0,1.0,32.006629932,32.7597271069,31.7555975404,32.66558996,8989000.0
2000-01-28,103.7,103.7,99.38,100.3,4791700.0,0.0,1.0,32.5389216395,32.5389216395,31.1833947206,31.4720717497,9583400.0
2000-01-31,100.3,101.1,98.38,101.1,2259100.0,0.0,1.0,31.4723012357,31.7233265695,30.8698404343,31.7233265695,4518200.0
2000-02-01,100.7,100.9,98.75,99.5,2022100.0,0.0,1.0,31.598064326,31.6608211569,30.9861852254,31.221523341,4044200.0
2000-02-02,99.75,99.94,98.38,98.63,1960400.0,0.0,1.0,31.304342328,31.3639696467,30.8743979772,30.9528549755,3920800.0
2000-02-03,99.81,99.81,96.69,97.81,3129800.0,0.0,1.0,31.3236969995,31.3236969995,30.3445372496,30.6960304932,6259600.0
2000-02-04,97.63,97.69,94.0,94.75,3823900.0,0.0,1.0,30.6394851487,30.6583151098,29.5002724979,29.7356470126,7647800.0
2000-02-07,94.0,94.81,92.56,93.25,3232200.0,0.0,1.0,29.4998869321,29.7540880854,29.0479737705,29.2645154938,6464400.0
2000-02-08,94.0,95.88,92.81,95.75,3393900.0,0.0,1.0,29.4945930772,30.0844849387,29.1212040797,30.0436945441,6787800.0
2000-02-09,95.25,95.88,93.75,94.0,3127900.0,0.0,1.0,29.8923695677,30.0900828782,29.4216235903,29.5000812532,6255800.0
2000-02-10,93.75,94.69,90.06,91.44,2633900.0,0.0,1.0,29.4185957373,29.7135661905,28.2606798091,28.6937215383,5267800.0
2000-02-11,91.31,93.94,91.31,93.75,2667500.0,0.0,1.0,28.6528727444,29.4781608324,28.6528727444,29.4185392595,5335000.0
2000-02-14,93.69,93.81,91.0,91.88,2626100.0,0.0,1.0,29.3975571749,29.435210146,28.5535030731,28.829624861,5252200.0
2000-02-15,92.5,95.81,92.13,95.75,3432000.0,0.0,1.0,29.023934677,30.0625208801,28.9078389383,30.0436945441,6864000.0
2000-02-16,95.81,96.25,93.0,94.05,2657300.0,0.0,1.0,30.0613593268,30.1994137899,29.1796933242,29.5091414747,5314600.0
2000-02-17,94.0,95.0,93.0,94.19,2341200.0,0.0,1.0,29.494825382,29.8086001201,29.1810506439,29.5544425822,4682400.0
2000-02-18,93.81,94.44,92.0,93.63,2325800.0,0.0,1.0,29.435640863,29.6333218538,28.8677002388,29.37916058,4651600.0
2000-02-22,92.31,93.44,90.06,92.88,2613400.0,0.0,1.0,28.967860547,29.3224665747,28.261786598,29.1467326141,5226800.0
2000-02-23,92.88,92.88,90.13,90.63,2678500.0,0.0,1.0,29.1493101081,29.1493101081,28.2862545224,28.4431737198,5357000.0
2000-02-24,90.38,90.88,86.56,88.5,3611600.0,0.0,1.0,28.3594863835,28.51637666,27.1608446709,27.7695789438,7223200.0
2000-02-25,88.75,89.0,85.13,85.13,3588600.0,0.0,1.0,27.8485791365,27.9270258383,26.7126708946,26.7126708946,7177200.0
2000-02-28,85.81,90.0,85.0,88.38,3540800.0,0.0,1.0,26.9268809542,28.2416884498,26.6727057582,27.7333380577,7081600.0
2000-02-29,89.5,89.88,87.25,87.88,3330900.0,0.0,1.0,28.0877176733,28.2069727875,27.3816018659,27.579314292,6661800.0
2000-03-01,88.0,88.69,86.88,88.25,2076800.0,0.0,1.0,27.61863514,27.8351903474,27.2671252382,27.6970971717,4153600.0
2000-03-02,88.0,88.44,86.69,87.31,1782900.0,0.0,1.0,27.614633694,27.7527068625,27.2035522152,27.3981098617,3565800.0
2000-03-03,87.81,89.81,87.0,88.44,2451100.0,0.0,1.0,27.5537717204,28.1813488009,27.2996030028,27.7514585007,4902200.0
2000-03-06,88.38,88.44,86.63,87.44,1834300.0,0.0,1.0,27.7384339142,27.757265166,27.1891890698,27.4434109692,3668600.0
