Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,41.75,42.0,40.75,41.44,141700.0,0.0,1.0,16.7664487821,16.866846679,16.3648571945,16.6419553899,283400.0
2000-01-04,41.44,41.44,39.31,39.5,124600.0,0.0,1.0,16.6419553899,16.6419553899,15.7865653084,15.86286771,249200.0
2000-01-05,39.69,39.81,38.0,39.0,95200.0,0.0,1.0,15.9391701117,15.9873611022,15.2604803286,15.6620719162,190400.0
2000-01-06,39.31,40.5,39.13,39.56,200700.0,0.0,1.0,15.7865653084,16.2644592976,15.7142788226,15.8869632053,401400.0
2000-01-07,39.94,40.06,39.25,40.06,226600.0,0.0,1.0,16.0395680086,16.0877589991,15.7624698131,16.0877589991,453200.0
2000-01-10,39.81,42.94,39.81,41.69,205700.0,0.0,1.0,15.9873611022,17.2443427713,15.9873611022,16.7423532868,411400.0
2000-01-11,41.88,41.94,40.31,40.38,89400.0,0.0,1.0,16.8186556885,16.8427511837,16.188156896,16.2162683071,178800.0
2000-01-12,40.13,40.88,39.81,40.44,102100.0,0.0,1.0,16.1158704102,16.4170641009,15.9873611022,16.2403638024,204200.0
2000-01-13,40.19,41.69,40.19,41.56,198200.0,0.0,1.0,16.1399659055,16.7423532868,16.1399659055,16.6901463805,396400.0
2000-01-14,41.75,42.44,41.06,41.56,284600.0,0.0,1.0,16.7664487821,17.0435469775,16.4893505867,16.6901463805,569200.0
2000-01-18,41.5,43.25,41.25,43.13,372800.0,0.0,1.0,16.6660508852,17.3688361635,16.5656529883,17.320645173,745600.0
2000-01-19,43.0,44.5,42.0,43.75,331200.0,0.14,1.0,17.323697269,17.9280122901,16.9208205884,17.6258547796,662400.0
2000-01-20,43.75,46.56,43.75,45.5,499200.0,0.0,1.0,17.6258547796,18.7579382523,17.6258547796,18.3308889707,998400.0
2000-01-21,46.13,49.0,45.75,47.13,573400.0,0.0,1.0,18.5847012796,19.7409573531,18.4316081409,18.9875779602,1146800.0
2000-01-24,47.5,48.13,46.56,47.31,399100.0,0.0,1.0,19.1366423321,19.3904546409,18.7579382523,19.0600957628,798200.0
2000-01-25,47.56,48.38,46.94,47.56,393100.0,0.0,1.0,19.1608149329,19.4911738111,18.9110313909,19.1608149329,786200.0
2000-01-26,47.5,48.0,47.31,47.69,235900.0,0.0,1.0,19.1366423321,19.3380806724,19.0600957628,19.2131889014,471800.0
2000-01-27,49.63,50.44,48.94,49.19,450600.0,0.0,1.0,19.9947696619,20.3210997733,19.7167847523,19.8175039224,901200.0
2000-01-28,49.38,50.94,49.31,49.81,520700.0,0.0,1.0,19.8940504918,20.5225381136,19.8658491241,20.0672874644,1041400.0
2000-01-31,49.69,50.56,49.63,50.06,358800.0,0.0,1.0,20.0189422628,20.369444975,19.9947696619,20.1680066346,717600.0
2000-02-01,49.81,51.94,49.75,51.44,381200.0,0.0,1.0,20.0672874644,20.9254147943,20.0431148636,20.7239764539,762400.0
2000-02-02,51.25,52.0,50.25,50.62,277900.0,0.0,1.0,20.6474298846,20.9495873951,20.2445532039,20.3936175758,555800.0
2000-02-03,50.81,51.56,50.75,50.94,275500.0,0.0,1.0,20.4701641451,20.7723216556,20.4459915443,20.5225381136,551000.0
2000-02-04,51.19,53.0,50.63,52.69,333500.0,0.0,1.0,20.6232572838,21.3524640758,20.3976463426,21.2275723048,667000.0
2000-02-07,53.25,53.63,52.5,53.31,291700.0,0.0,1.0,21.453183246,21.6062763846,21.1510257355,21.4773558468,583400.0
2000-02-08,53.56,55.75,53.5,55.06,329100.0,0.0,1.0,21.578075017,22.4603749477,21.5539024161,22.182390038,658200.0
2000-02-09,55.06,55.44,54.13,54.5,359300.0,0.0,1.0,22.182390038,22.3354831767,21.807714725,21.9567790968,718600.0
2000-02-10,54.63,55.0,53.38,55.0,211200.0,0.0,1.0,22.0091530653,22.1582174372,21.5055572145,22.1582174372,422400.0
2000-02-11,56.88,58.0,55.5,56.5,519700.0,0.0,1.0,22.9156255968,23.3668474792,22.3596557775,22.7625324582,1039400.0
2000-02-14,56.94,60.31,56.81,59.75,700600.0,0.0,1.0,22.9397981977,24.2974926115,22.8874242292,24.0718816704,1401200.0
2000-02-15,60.06,66.88,59.38,65.31,758700.0,0.0,1.0,24.1967734414,26.9443924036,23.9228172985,26.3118760149,1517400.0
2000-02-16,65.06,68.94,63.63,67.06,545300.0,0.0,1.0,26.2111568447,27.7743183658,25.6350431914,27.0169102061,1090600.0
2000-02-17,67.06,84.5,67.06,76.13,1498100.0,0.0,1.0,27.0169102061,34.0430795171,27.0169102061,30.6710016998,2996200.0
2000-02-18,76.44,76.44,66.0,68.0,1296400.0,0.0,1.0,30.7958934708,30.7958934708,26.5898609246,27.3956142859,2592800.0
2000-02-22,68.0,71.63,67.63,70.0,930100.0,0.0,1.0,27.3956142859,28.8580566368,27.2465499141,28.2013676473,1860200.0
2000-02-23,70.25,70.38,67.69,68.69,254600.0,0.0,1.0,28.3020868175,28.3544607859,27.2707225149,27.6735991956,509200.0
2000-02-24,69.06,69.88,64.5,65.19,461300.0,0.0,1.0,27.8226635675,28.1530224456,25.9855459036,26.2635308132,922600.0
2000-02-25,65.13,65.13,62.0,63.0,562700.0,0.0,1.0,26.2393582124,26.2393582124,24.9783542019,25.3812308826,1125400.0
2000-02-28,62.5,62.94,56.81,60.38,773600.0,0.0,1.0,25.1797925422,25.3570582817,22.8874242292,24.3256939792,1547200.0
2000-02-29,60.38,67.0,59.0,64.63,1003700.0,0.0,1.0,24.3256939792,26.9927376053,23.7697241599,26.0379198721,2007400.0
2000-03-01,64.5,72.63,64.5,68.0,640600.0,0.0,1.0,25.9855459036,29.2609333175,25.9855459036,27.3956142859,1281200.0
2000-03-02,69.88,74.31,68.13,72.56,522800.0,0.0,1.0,28.1530224456,29.937766141,27.4479882544,29.2327319498,1045600.0
2000-03-03,74.75,78.0,73.75,77.13,667100.0,0.0,1.0,30.1150318805,31.4243810927,29.7121551998,31.0738783805,1334200.0
2000-03-06,78.75,82.0,76.38,79.25,538800.0,0.0,1.0,31.7265386032,33.0358878154,30.77172087,31.9279769435,1077600.0
2000-03-07,81.0,82.0,76.63,77.88,647500.0,0.0,1.0,32.6330111347,33.0358878154,30.8724400402,31.376035891,1295000.0
2000-03-08,78.5,78.75,69.19,71.31,594000.0,0.0,1.0,31.625819433,31.7265386032,27.8750375359,28.729136099,1188000.0
2000-03-09,73.0,73.19,67.0,71.13,620300.0,0.0,1.0,29.4099976893,29.4865442586,26.9927376053,28.6566182964,1240600.0
2000-03-10,72.0,77.25,72.0,72.56,389400.0,0.0,1.0,29.0071210086,31.1222235822,29.0071210086,29.2327319498,778800.0
2000-03-13,72.63,74.0,68.56,69.44,361500.0,0.0,1.0,29.2609333175,29.81287437,27.6212252271,27.9757567061,723000.0
2000-03-14,70.13,71.0,62.69,64.38,611700.0,0.0,1.0,28.2537416158,28.604244328,25.2563391115,25.9372007019,1223400.0
2000-03-15,68.88,68.88,62.31,64.63,832100.0,0.0,1.0,27.7501457649,27.7501457649,25.1032459729,26.0379198721,1664200.0
2000-03-16,64.88,67.25,63.5,66.88,382400.0,0.0,1.0,26.1386390422,27.0934567754,25.5826692229,26.9443924036,764800.0
2000-03-17,64.5,70.94,64.5,69.81,746100.0,0.0,1.0,25.9855459036,28.5800717271,25.9855459036,28.124821078,1492200.0
2000-03-20,69.69,72.75,69.69,70.5,678000.0,0.0,1.0,28.0764758763,29.3092785191,28.0764758763,28.4028059876,1356000.0
2000-03-21,70.25,70.31,65.63,68.13,299200.0,0.0,1.0,28.3020868175,28.3262594183,26.4407965527,27.4479882544,598400.0
2000-03-22,68.38,70.13,67.81,68.75,231500.0,0.0,1.0,27.5487074246,28.2537416158,27.3190677166,27.6977717964,463000.0
2000-03-23,68.75,69.56,66.0,67.5,221300.0,0.0,1.0,27.6977717964,28.0241019078,26.5898609246,27.1941759456,442600.0
2000-03-24,68.5,69.25,65.12,66.12,292800.0,0.0,1.0,27.5970526263,27.8992101368,26.2353294456,26.6382061263,585600.0
2000-03-27,65.88,68.63,65.88,68.0,348400.0,0.0,1.0,26.5415157229,27.6494265948,26.5415157229,27.3956142859,696800.0
2000-03-28,68.25,68.25,66.0,66.19,171100.0,0.0,1.0,27.4963334561,27.4963334561,26.5898609246,26.6664074939,342200.0
2000-03-29,65.94,67.5,65.56,66.69,264400.0,0.0,1.0,26.5656883237,27.1941759456,26.4125951851,26.8678458343,528800.0
2000-03-30,66.75,67.5,63.06,64.25,448800.0,0.0,1.0,26.8920184351,27.1941759456,25.4054034834,25.8848267334,897600.0
2000-03-31,65.0,67.5,63.0,66.5,503300.0,0.0,1.0,26.1869842439,27.1941759456,25.3812308826,26.7912992649,1006600.0
2000-04-03,66.38,66.38,62.5,63.75,256300.0,0.0,1.0,26.7429540632,26.7429540632,25.1797925422,25.6833883931,512600.0
2000-04-04,64.5,64.63,57.38,61.0,469700.0,0.0,1.0,25.9855459036,26.0379198721,23.1170639372,24.5754775212,939400.0
2000-04-05,60.94,60.94,57.5,59.06,506700.0,0.0,1.0,24.5513049204,24.5513049204,23.1654091388,23.7938967607,1013400.0
2000-04-06,61.44,62.25,58.63,59.63,345500.0,0.0,1.0,24.7527432607,25.0790733721,23.620659788,24.0235364687,691000.0
2000-04-07,60.63,63.81,60.5,63.25,252600.0,0.0,1.0,24.4264131494,25.7075609939,24.3740391809,25.4819500527,505200.0
2000-04-10,62.56,64.5,60.75,61.06,222600.0,0.0,1.0,25.2039651431,25.9855459036,24.474758351,24.599650122,445200.0
2000-04-11,61.31,65.25,60.06,62.81,496800.0,0.0,1.0,24.7003692922,26.2877034141,24.1967734414,25.3046843132,993600.0
2000-04-12,62.81,63.94,59.5,60.0,258000.0,0.0,1.0,25.3046843132,25.7599349624,23.9711625002,24.1726008405,516000.0
2000-04-13,60.5,63.75,60.38,60.5,189800.0,0.0,1.0,24.3740391809,25.6833883931,24.3256939792,24.3740391809,379600.0
2000-04-14,60.5,60.56,55.25,55.75,234500.0,0.0,1.0,24.3740391809,24.3982117817,22.2589366073,22.4603749477,469000.0
2000-04-17,55.5,55.94,50.5,54.94,386200.0,0.0,1.0,22.3596557775,22.536921517,20.3452723741,22.1340448363,772400.0
2000-04-18,54.75,56.0,54.25,54.81,363600.0,0.14,1.0,22.1138392587,22.6187214336,21.9118863888,22.1380736031,727200.0
2000-04-19,55.38,58.0,54.44,54.94,283100.0,0.0,1.0,22.3682998749,23.4265329134,21.9886284794,22.1905813493,566200.0
2000-04-20,54.69,54.69,51.5,53.0,476400.0,0.0,1.0,22.0896049143,22.0896049143,20.8011456041,21.4070042139,952800.0
2000-04-24,53.0,53.0,49.63,50.0,475400.0,0.0,1.0,21.4070042139,21.4070042139,20.0458418705,20.1952869943,950800.0
2000-04-25,50.75,53.0,50.44,52.63,766800.0,0.0,1.0,20.4982162992,21.4070042139,20.3730055198,21.2575590902,1533600.0
2000-04-26,52.44,55.38,51.69,54.31,513900.0,0.0,1.0,21.1808169996,22.3682998749,20.8778876947,21.9361207332,1027800.0
2000-04-27,52.69,54.88,52.69,54.13,453700.0,0.0,1.0,21.2817934346,22.1663470049,21.2817934346,21.8634177,907400.0
2000-04-28,54.75,55.94,53.5,55.5,279600.0,0.0,1.0,22.1138392587,22.5944870892,21.6089570839,22.4167685636,559200.0
2000-05-01,54.0,55.88,53.0,54.31,233100.0,0.0,1.0,21.8109099538,22.5702527448,21.4070042139,21.9361207332,466200.0
2000-05-02,54.56,55.81,53.88,54.38,435700.0,0.0,1.0,22.0370971681,22.541979343,21.762441265,21.964394135,871400.0
2000-05-03,53.88,54.44,51.81,52.88,353500.0,0.0,1.0,21.762441265,21.9886284794,20.9263563835,21.3585355251,707000.0
2000-05-04,52.63,54.0,52.44,53.19,357700.0,0.0,1.0,21.2575590902,21.8109099538,21.1808169996,21.4837463045,715400.0
2000-05-05,53.19,56.13,53.06,56.13,509100.0,0.0,1.0,21.4837463045,22.6712291798,21.4312385583,22.6712291798,1018200.0
2000-05-08,56.0,56.0,53.25,54.38,284100.0,0.0,1.0,22.6187214336,22.6187214336,21.5079806489,21.964394135,568200.0
2000-05-09,53.0,53.5,50.25,53.25,440900.0,0.0,1.0,21.4070042139,21.6089570839,20.2962634292,21.5079806489,881800.0
2000-05-10,52.13,52.13,49.56,50.38,350500.0,0.0,1.0,21.0556062202,21.0556062202,20.0175684687,20.3487711754,701000.0
2000-05-11,52.0,53.75,51.44,52.94,304500.0,0.0,1.0,21.003098474,21.7099335188,20.7769112597,21.3827698695,609000.0
2000-05-12,53.0,54.31,53.0,54.13,533400.0,0.0,1.0,21.4070042139,21.9361207332,21.4070042139,21.8634177,1066800.0
2000-05-15,53.5,54.44,51.88,54.13,259800.0,0.0,1.0,21.6089570839,21.9886284794,20.9546297853,21.8634177,519600.0
2000-05-16,56.0,57.88,55.88,57.0,306300.0,0.0,1.0,22.6187214336,23.3780642246,22.5702527448,23.0226271735,612600.0
2000-05-17,56.0,57.13,54.5,55.19,256400.0,0.0,1.0,22.6187214336,23.0751349197,22.0128628238,22.2915577843,512800.0
2000-05-18,53.69,56.0,53.69,55.0,268500.0,0.0,1.0,21.6856991744,22.6187214336,21.6856991744,22.2148156937,537000.0
2000-05-19,55.25,55.5,52.25,52.88,189500.0,0.0,1.0,22.3157921287,22.4167685636,21.104074909,21.3585355251,379000.0
2000-05-22,53.13,53.13,50.13,52.38,198500.0,0.0,1.0,21.4595119601,21.4595119601,20.2477947405,21.1565826552,397000.0
2000-05-23,52.0,52.63,49.75,50.0,220600.0,0.0,1.0,21.003098474,21.2575590902,20.0943105593,20.1952869943,441200.0
2000-05-24,50.25,51.13,48.75,51.13,285200.0,0.0,1.0,20.2962634292,20.6517004803,19.6904048194,20.6517004803,570400.0
2000-05-25,52.06,53.88,50.94,51.13,280600.0,0.0,1.0,21.0273328184,21.762441265,20.5749583898,20.6517004803,561200.0
2000-05-26,51.38,52.25,50.06,50.44,146500.0,0.0,1.0,20.7526769153,21.104074909,20.2195213387,20.3730055198,293000.0
2000-05-30,51.0,54.25,51.0,54.06,216400.0,0.0,1.0,20.5991927342,21.9118863888,20.5991927342,21.8351442982,432800.0
2000-05-31,54.0,54.5,52.13,52.19,290700.0,0.0,1.0,21.8109099538,22.0128628238,21.0556062202,21.0798405646,581400.0
