Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2008-03-17,50.0,52.65,49.24,49.39,1988000.0,0.0,1.0,33.6756899165,35.4605014821,33.1638194298,33.2648464995,1988000.0
2008-03-18,49.85,52.0,47.75,49.6,8067600.0,0.0,1.0,33.5746628467,35.0227175132,32.1602838703,33.4062843972,8067600.0
2008-03-19,49.6,51.0,46.9,50.1,3007700.0,0.0,1.0,33.4062843972,34.3492037148,31.5877971417,33.7430412963,3007700.0
2008-03-20,50.2,50.2,48.87,49.15,3007700.0,0.0,1.0,33.8103926762,33.8103926762,32.9146193244,33.1032031879,3007700.0
2008-03-24,49.81,51.0,49.81,51.0,1437000.0,0.0,1.0,33.5477222948,34.3492037148,33.5477222948,34.3492037148,1437000.0
2008-03-25,51.4,51.75,50.6,51.75,1100800.0,0.0,1.0,34.6186092342,34.8543390636,34.0797981955,34.8543390636,1100800.0
2008-03-26,51.7,52.47,50.3,50.3,2023200.0,0.0,1.0,34.8206633737,35.3392689984,33.877744056,33.877744056,2023200.0
2008-03-27,50.95,52.03,50.0,50.68,8653300.0,0.0,1.0,34.3155280249,35.0429229271,33.6756899165,34.1336792994,8653300.0
2008-03-28,51.82,52.5,50.56,51.06,9961200.0,0.0,1.0,34.9014850295,35.3594744123,34.0528576436,34.3896145427,9961200.0
2008-03-31,52.55,54.7,50.0,50.58,19408900.0,0.0,1.0,35.3931501022,36.8412047686,33.6756899165,34.0663279195,19408900.0
2008-04-01,51.11,52.19,49.01,50.58,23322500.0,0.0,1.0,34.4232902326,35.1506851348,33.0089112561,34.0663279195,23322500.0
2008-04-02,51.24,52.07,50.15,51.21,12944700.0,0.0,1.0,34.5108470264,35.069863479,33.7767169862,34.4906416125,12944700.0
2008-04-03,51.0,51.5,50.4001,51.05,12439100.0,0.0,1.0,34.3492037148,34.685960614,33.9451627872,34.3828794047,12439100.0
2008-04-04,51.34,51.48,50.8,51.37,6651000.0,0.0,1.0,34.5781984063,34.672490338,34.2145009552,34.5984038202,6651000.0
2008-04-07,51.3,51.6,50.5,50.67,7099300.0,0.0,1.0,34.5512578543,34.7533119938,34.0124468157,34.1269441614,7099300.0
2008-04-08,50.21,51.01,50.21,50.6,8283300.0,0.0,1.0,33.8171278141,34.3559388528,33.8171278141,34.0797981955,8283300.0
2008-04-09,50.5,50.59,49.15,49.38,8916200.0,0.0,1.0,34.0124468157,34.0730630575,33.1032031879,33.2581113615,8916200.0
2008-04-10,49.49,49.91,48.5,48.66,14321900.0,0.0,1.0,33.3321978793,33.6150736746,32.665419219,32.7731814267,14321900.0
2008-04-11,48.49,48.89,48.08,48.33,11400700.0,0.0,1.0,32.658684081,32.9280896003,32.3825434237,32.5509218733,11400700.0
2008-04-14,48.35,48.35,47.43,48.0,11532500.0,0.0,1.0,32.5643921493,32.5643921493,31.9447594548,32.3286623198,11532500.0
2008-04-15,47.78,48.35,47.78,48.2,9603400.0,0.0,1.0,32.1804892842,32.5643921493,32.1804892842,32.4633650795,9603400.0
2008-04-16,48.53,49.61,48.35,49.46,14837600.0,0.0,1.0,32.685624633,33.4130195351,32.5643921493,33.3119924654,14837600.0
2008-04-17,49.72,50.0,49.42,49.85,6660700.0,0.0,1.0,33.487106053,33.6756899165,33.2850519135,33.5746628467,6660700.0
2008-04-18,50.49,50.94,49.38,49.96,9630700.0,0.0,1.0,34.0057116777,34.3087928869,33.2581113615,33.6487493646,9630700.0
2008-04-21,50.2,50.89,49.13,50.63,6528300.0,0.0,1.0,33.8103926762,34.275117197,33.0897329119,34.1000036094,6528300.0
2008-04-22,50.6,50.9,49.92,50.07,5504900.0,0.0,1.0,34.0797981955,34.281852335,33.6218088126,33.7228358824,5504900.0
2008-04-23,51.0,52.34,50.9,52.0,13532300.0,0.0,1.0,34.3492037148,35.2517122046,34.281852335,35.0227175132,13532300.0
2008-04-24,52.0,52.43,51.5,52.0,5847500.0,0.0,1.0,35.0227175132,35.3123284464,34.685960614,35.0227175132,5847500.0
2008-04-25,52.14,52.18,50.75,51.3,11399700.0,0.0,1.0,35.1170094449,35.1439499969,34.1808252652,34.5512578543,11399700.0
2008-04-28,50.94,51.3,50.75,51.07,8382500.0,0.0,1.0,34.3087928869,34.5512578543,34.1808252652,34.3963496807,8382500.0
2008-04-29,51.44,52.2,50.26,52.01,12325300.0,0.0,1.0,34.6455497861,35.1574202728,33.8508035041,35.0294526511,12325300.0
2008-04-30,51.7,52.01,50.9058,51.03,8733100.0,0.0,1.0,34.8206633737,35.0294526511,34.285758715,34.3694091288,8733100.0
2008-05-01,50.83,51.17,50.62,50.75,7120800.0,0.0,1.0,34.2347063691,34.4637010605,34.0932684715,34.1808252652,7120800.0
2008-05-02,50.9,51.1,50.4,51.02,9291100.0,0.0,1.0,34.281852335,34.4165550947,33.9450954358,34.3626739908,9291100.0
2008-05-05,50.87,51.63,50.63,50.81,8398500.0,0.0,1.0,34.261646921,34.7735174078,34.1000036094,34.2212360931,8398500.0
2008-05-06,50.9,51.95,50.85,51.88,7588300.0,0.0,1.0,34.281852335,34.9890418232,34.2481766451,34.9418958574,7588300.0
2008-05-07,51.88,52.2,51.31,51.69,6391400.0,0.0,1.0,34.9418958574,35.1574202728,34.5579929923,34.8139282357,6391400.0
