Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,38.5,38.5,34.75,36.19,367000.0,0.0,1.0,13.3179991717,13.3179991717,12.0207914602,12.5189192214,367000.0
2000-01-04,36.38,36.38,34.88,35.62,175200.0,0.0,1.0,12.5875742399,12.5875742399,12.0685703542,12.3246122712,175200.0
2000-01-05,35.62,36.5,35.12,36.19,213800.0,0.0,1.0,12.3217436492,12.6261550589,12.148782621,12.5189192214,213800.0
2000-01-06,35.94,36.12,35.31,36.0,511800.0,0.0,1.0,12.4333933209,12.4956640721,12.2154456917,12.454150238,511800.0
2000-01-07,36.25,37.75,35.94,37.44,339800.0,0.0,1.0,12.5420707719,13.0610530108,12.4348144426,12.9537966814,339800.0
2000-01-10,38.12,38.12,36.25,36.38,297400.0,0.0,1.0,13.185546849,13.185546849,12.5387217544,12.5836882048,297400.0
2000-01-11,36.56,36.75,35.94,36.0,238600.0,0.0,1.0,12.6478814639,12.7136117013,12.4333933209,12.454150238,238600.0
2000-01-12,36.19,36.88,35.69,36.0,187400.0,0.0,1.0,12.5198804753,12.7585850216,12.3469061665,12.454150238,187400.0
2000-01-13,36.0,36.19,35.56,35.88,272600.0,0.0,1.0,12.4586682846,12.5244223672,12.3063956722,12.4171393903,272600.0
2000-01-14,36.0,36.19,35.0,35.44,330600.0,0.0,1.0,12.4535654165,12.5192925673,12.1076330438,12.2598432878,330600.0
2000-01-18,35.31,35.5,34.62,34.88,247000.0,0.0,1.0,12.2142800481,12.2800040133,11.97559828,12.0655363375,247000.0
2000-01-19,34.94,35.25,34.69,34.88,162400.0,0.0,1.0,12.0862912739,12.1935251118,11.9998123724,12.0655363375,162400.0
2000-01-20,34.88,35.25,33.94,34.25,189800.0,0.0,1.0,12.0707448714,12.1987888967,11.7454438342,11.8527239635,189800.0
2000-01-21,34.75,34.88,34.06,34.56,183200.0,0.0,1.0,12.0295294734,12.0745320297,11.7906697515,11.9637565065,183200.0
2000-01-24,34.31,34.5,32.56,33.0,476800.0,0.0,1.0,11.8711004101,11.9368395263,11.2656085501,11.4178465035,476800.0
2000-01-25,33.5,33.5,31.25,31.94,716800.0,0.0,1.0,11.5970316139,11.5970316139,10.8181265055,11.0569907388,716800.0
2000-01-26,32.12,32.5,31.56,31.81,289400.0,0.08,1.0,11.1740880112,11.3062845692,10.9792720309,11.0662434507,289400.0
2000-01-27,32.06,33.62,31.88,32.88,661400.0,0.0,1.0,11.151138771,11.6937394098,11.0885310049,11.4363519273,661400.0
2000-01-28,32.88,33.12,32.12,32.75,260000.0,0.0,1.0,11.4353009322,11.5187702821,11.1709813243,11.3900883677,260000.0
2000-01-31,33.0,34.25,32.25,33.5,657200.0,0.0,1.0,11.4752961774,11.9099664872,11.2144939916,11.6491643013,657200.0
2000-02-01,33.75,34.25,33.25,33.69,342600.0,0.0,1.0,11.7347951428,11.9086439597,11.5609463259,11.7139332847,342600.0
2000-02-02,34.25,35.5,34.25,34.31,732200.0,0.0,1.0,11.9151251588,12.3499837412,11.9151251588,11.9359983707,732200.0
