Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.31,30.31,29.5,29.75,246300.0,0.0,1.0,13.6735198239,13.6735198239,13.3081106831,13.4208912821,246300.0
2000-01-04,29.56,30.13,29.56,30.13,347800.0,0.0,1.0,13.3351780269,13.5923177926,13.3351780269,13.5923177926,347800.0
2000-01-05,29.88,31.25,29.88,30.94,453000.0,0.0,1.0,13.4795371936,14.0975748762,13.4795371936,13.9577269334,453000.0
2000-01-06,30.81,31.19,30.81,31.13,139300.0,0.0,1.0,13.8990810219,14.0705075324,13.8990810219,14.0434401887,139300.0
2000-01-07,31.13,32.06,30.88,32.0,303300.0,0.0,1.0,14.0434401887,14.462984017,13.9306595897,14.4359166732,303300.0
2000-01-10,31.75,31.88,31.38,31.56,178800.0,0.0,1.0,14.3231360742,14.3817819857,14.1562207877,14.237422819,178800.0
2000-01-11,31.56,31.69,30.88,31.25,150800.0,0.0,1.0,14.237422819,14.2960687305,13.9306595897,14.0975748762,150800.0
2000-01-12,31.13,32.0,31.06,31.75,143500.0,0.0,1.0,14.0434401887,14.4359166732,14.0118616209,14.3231360742,143500.0
2000-01-13,31.75,31.75,30.81,31.06,1107400.0,0.0,1.0,14.3231360742,14.3231360742,13.8990810219,14.0118616209,1107400.0
2000-01-14,31.0,31.0,30.63,30.88,204300.0,0.0,1.0,13.9847942772,13.9847942772,13.8178789907,13.9306595897,204300.0
2000-01-18,30.88,31.0,30.0,30.13,348600.0,0.0,1.0,13.9306595897,13.9847942772,13.5336718811,13.5923177926,348600.0
2000-01-19,29.69,31.06,29.69,31.06,208500.0,0.0,1.0,13.3938239384,14.0118616209,13.3938239384,14.0118616209,208500.0
2000-01-20,31.19,31.5,30.31,30.38,326300.0,0.0,1.0,14.0705075324,14.2103554752,13.6735198239,13.7050983916,326300.0
2000-01-21,30.94,31.13,30.5,30.88,233400.0,0.0,1.0,13.9577269334,14.0434401887,13.7592330792,13.9306595897,233400.0
2000-01-24,30.88,32.06,30.69,31.69,520000.0,0.0,1.0,13.9306595897,14.462984017,13.8449463344,14.2960687305,520000.0
2000-01-25,31.94,32.31,30.06,30.31,519900.0,0.0,1.0,14.4088493295,14.575764616,13.5607392249,13.6735198239,519900.0
2000-01-26,30.5,31.25,30.25,30.88,308700.0,0.0,1.0,13.7592330792,14.0975748762,13.6464524802,13.9306595897,308700.0
2000-01-27,31.13,31.88,31.0,31.63,841900.0,0.0,1.0,14.0434401887,14.3817819857,13.9847942772,14.2690013867,841900.0
2000-01-28,30.88,30.94,29.81,29.94,1628400.0,0.35,1.0,14.0935096517,14.1208934139,13.6051658911,13.664497376,1628400.0
2000-01-31,30.31,30.88,29.75,30.88,585300.0,0.0,1.0,13.83336391,14.0935096517,13.5777821288,14.0935096517,585300.0
2000-02-01,30.75,31.0,30.56,31.0,170600.0,0.0,1.0,14.0341781667,14.1482771762,13.9474629195,14.1482771762,170600.0
2000-02-02,30.94,31.25,30.88,31.0,169100.0,0.0,1.0,14.1208934139,14.2623761857,14.0935096517,14.1482771762,169100.0
2000-02-03,31.13,31.94,31.13,31.69,460800.0,0.0,1.0,14.2076086612,14.5772894519,14.2076086612,14.4631904424,460800.0
2000-02-04,30.81,30.81,30.63,30.81,202500.0,0.0,1.0,14.061561929,14.061561929,13.9794106422,14.061561929,202500.0
2000-02-07,30.81,30.88,30.56,30.63,94800.0,0.0,1.0,14.061561929,14.0935096517,13.9474629195,13.9794106422,94800.0
2000-02-08,30.63,31.0,30.63,30.94,228700.0,0.0,1.0,13.9794106422,14.1482771762,13.9794106422,14.1208934139,228700.0
2000-02-09,30.81,31.63,30.13,30.81,382300.0,0.0,1.0,14.061561929,14.4358066801,13.7512126232,14.061561929,382300.0
2000-02-10,30.94,31.19,30.0,30.44,802100.0,0.0,1.0,14.1208934139,14.2349924234,13.6918811383,13.892695395,802100.0
2000-02-11,30.44,30.56,30.06,30.44,160800.0,0.0,1.0,13.892695395,13.9474629195,13.7192649006,13.892695395,160800.0
2000-02-14,30.5,30.5,30.31,30.38,342600.0,0.0,1.0,13.9200791572,13.9200791572,13.83336391,13.8653116327,342600.0
2000-02-15,30.38,30.5,30.0,30.31,104900.0,0.0,1.0,13.8653116327,13.9200791572,13.6918811383,13.83336391,104900.0
2000-02-16,30.19,30.25,29.44,30.0,251100.0,0.0,1.0,13.7785963855,13.8059801478,13.436299357,13.6918811383,251100.0
2000-02-17,30.0,30.06,29.38,29.63,236700.0,0.0,1.0,13.6918811383,13.7192649006,13.4089155948,13.5230146042,236700.0
2000-02-18,29.5,29.56,28.25,28.88,284400.0,0.0,1.0,13.4636831193,13.4910668816,12.8931880719,13.1807175758,284400.0
2000-02-22,29.13,29.38,28.81,28.94,262700.0,0.0,1.0,13.2948165853,13.4089155948,13.1487698531,13.2081013381,262700.0
2000-02-23,28.81,28.81,27.88,28.25,185800.0,0.0,1.0,13.1487698531,13.1487698531,12.7243215378,12.8931880719,185800.0
2000-02-24,28.25,28.25,26.81,27.38,135700.0,0.0,1.0,12.8931880719,12.8931880719,12.2359777772,12.4961235189,135700.0
2000-02-25,27.0,27.06,26.25,26.25,252100.0,0.0,1.0,12.3226930244,12.3500767867,11.980395996,11.980395996,252100.0
2000-02-28,26.5,27.88,26.38,27.69,243900.0,0.0,1.0,12.0944950055,12.7243215378,12.0397274809,12.6376062906,243900.0
2000-02-29,27.5,27.88,27.31,27.5,224500.0,0.0,1.0,12.5508910434,12.7243215378,12.4641757962,12.5508910434,224500.0
