Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,8.5,8.5,8.06,8.12,442500.0,0.0,1.0,7.77189026717,7.77189026717,7.36958065334,7.42444105522,442500.0
2000-01-04,8.094,8.188,7.703,8.063,2393500.0,0.0,1.0,7.4006682144,7.48661617736,7.04316126211,7.37232367343,2393500.0
2000-01-05,8.094,8.125,8.0,8.031,319600.0,0.0,1.0,7.4006682144,7.42901275538,7.31472025145,7.34306479242,319600.0
2000-01-06,8.063,8.125,8.0,8.125,1003300.0,0.0,1.0,7.37232367343,7.42901275538,7.31472025145,7.42901275538,1003300.0
2000-01-07,8.063,8.438,8.063,8.344,192200.0,0.0,1.0,7.37232367343,7.71520118522,7.37232367343,7.62925322226,192200.0
2000-01-10,8.5,8.563,8.125,8.5,1484800.0,0.0,1.0,7.77189026717,7.82949368915,7.42901275538,7.77189026717,1484800.0
2000-01-11,8.375,8.563,8.25,8.25,216500.0,0.0,1.0,7.65759776324,7.82949368915,7.54330525931,7.54330525931,216500.0
2000-01-12,8.375,8.5,8.25,8.484,57000.0,0.0,1.0,7.65759776324,7.77189026717,7.54330525931,7.75726082666,57000.0
2000-01-13,8.5,8.688,8.375,8.563,200400.0,0.0,1.0,7.77189026717,7.94378619307,7.65759776324,7.82949368915,200400.0
2000-01-14,8.5,8.625,8.125,8.188,274800.0,0.0,1.0,7.77189026717,7.88618277109,7.42901275538,7.48661617736,274800.0
2000-01-18,8.344,8.563,8.125,8.125,206900.0,0.0,1.0,7.62925322226,7.82949368915,7.42901275538,7.42901275538,206900.0
2000-01-19,8.125,8.5,8.125,8.438,174800.0,0.0,1.0,7.42901275538,7.77189026717,7.42901275538,7.71520118522,174800.0
2000-01-20,8.375,8.625,8.313,8.563,3940800.0,0.0,1.0,7.65759776324,7.88618277109,7.60090868129,7.82949368915,3940800.0
2000-01-21,8.656,8.75,8.5,8.625,311800.0,0.0,1.0,7.91452731207,8.00047527502,7.77189026717,7.88618277109,311800.0
2000-01-24,8.625,8.688,8.313,8.375,386600.0,0.0,1.0,7.88618277109,7.94378619307,7.60090868129,7.65759776324,386600.0
2000-01-25,8.5,8.5,8.313,8.469,232200.0,0.0,1.0,7.77189026717,7.77189026717,7.60090868129,7.74354572619,232200.0
2000-01-26,8.5,8.75,8.375,8.625,168200.0,0.0,1.0,7.77189026717,8.00047527502,7.65759776324,7.88618277109,168200.0
2000-01-27,8.719,9.125,8.688,8.875,256500.0,0.0,1.0,7.97213073405,8.34335278681,7.94378619307,8.11476777895,256500.0
2000-01-28,8.813,8.938,8.5,8.563,239700.0,0.0,1.0,8.058078697,8.17237120093,7.77189026717,7.82949368915,239700.0
2000-01-31,8.813,8.875,8.563,8.594,170600.0,0.0,1.0,8.058078697,8.11476777895,7.82949368915,7.85783823012,170600.0
2000-02-01,8.688,8.75,8.5,8.688,141900.0,0.0,1.0,7.94378619307,8.00047527502,7.77189026717,7.94378619307,141900.0
2000-02-02,8.875,9.063,8.625,9.031,223100.0,0.0,1.0,8.11476777895,8.28666370486,7.88618277109,8.25740482386,223100.0
2000-02-03,9.031,9.125,8.625,8.75,125100.0,0.0,1.0,8.25740482386,8.34335278681,7.88618277109,8.00047527502,125100.0
2000-02-04,8.938,9.063,8.5,8.656,119300.0,0.0,1.0,8.17237120093,8.28666370486,7.77189026717,7.91452731207,119300.0
2000-02-07,8.844,9.125,8.813,9.063,140000.0,0.0,1.0,8.08642323798,8.34335278681,8.058078697,8.28666370486,140000.0
2000-02-08,8.938,9.063,8.75,9.031,179100.0,0.0,1.0,8.17237120093,8.28666370486,8.00047527502,8.25740482386,179100.0
2000-02-09,9.0,9.438,8.875,8.875,356200.0,0.0,1.0,8.22906028288,8.62954121665,8.11476777895,8.11476777895,356200.0
2000-02-10,8.875,8.938,8.875,8.875,152400.0,0.0,1.0,8.11476777895,8.17237120093,8.11476777895,8.11476777895,152400.0
2000-02-11,9.0,9.0,8.438,8.438,1448800.0,0.0,1.0,8.22906028288,8.22906028288,7.71520118522,7.71520118522,1448800.0
2000-02-14,8.5,8.5,7.563,7.875,360700.0,0.0,1.0,7.77189026717,7.77189026717,6.91515365771,7.20042774752,360700.0
2000-02-15,7.938,8.625,7.875,8.375,308800.0,0.0,1.0,7.2580311695,7.88618277109,7.20042774752,7.65759776324,308800.0
2000-02-16,8.25,8.5,8.25,8.469,939400.0,0.0,1.0,7.54330525931,7.77189026717,7.54330525931,7.74354572619,939400.0
2000-02-17,8.375,8.406,8.125,8.125,358600.0,0.0,1.0,7.65759776324,7.68594230421,7.42901275538,7.42901275538,358600.0
2000-02-18,8.125,8.438,8.125,8.188,329800.0,0.0,1.0,7.42901275538,7.71520118522,7.42901275538,7.48661617736,329800.0
2000-02-22,8.063,8.25,7.938,8.125,398900.0,0.0,1.0,7.37232367343,7.54330525931,7.2580311695,7.42901275538,398900.0
2000-02-23,8.0,8.0,7.5,7.563,280000.0,0.0,1.0,7.31472025145,7.31472025145,6.85755023573,6.91515365771,280000.0
2000-02-24,7.594,7.625,7.5,7.594,222800.0,0.0,1.0,6.94349819869,6.97184273966,6.85755023573,6.94349819869,222800.0
2000-02-25,7.594,7.75,7.5,7.563,278000.0,0.0,1.0,6.94349819869,7.08613524359,6.85755023573,6.91515365771,278000.0
2000-02-28,7.563,7.594,7.406,7.453,188800.0,0.0,1.0,6.91515365771,6.94349819869,6.77160227278,6.81457625426,188800.0
2000-02-29,7.438,7.5,7.281,7.344,353800.0,0.0,1.0,6.80086115379,6.85755023573,6.65730976885,6.71491319083,353800.0
2000-03-01,7.344,7.5,7.344,7.469,304300.0,0.0,1.0,6.71491319083,6.85755023573,6.71491319083,6.82920569476,304300.0
2000-03-02,7.469,9.0,7.469,7.688,1263800.0,0.0,1.0,6.82920569476,8.22906028288,6.82920569476,7.02944616164,1263800.0
2000-03-03,7.75,7.75,7.5,7.688,349800.0,0.0,1.0,7.08613524359,7.08613524359,6.85755023573,7.02944616164,349800.0
2000-03-06,7.688,7.813,7.5,7.656,484500.0,0.0,1.0,7.02944616164,7.14373866557,6.85755023573,7.00018728064,484500.0
2000-03-07,7.688,7.75,7.563,7.688,210000.0,0.0,1.0,7.02944616164,7.08613524359,6.91515365771,7.02944616164,210000.0
2000-03-08,7.719,7.719,7.313,7.625,294900.0,0.0,1.0,7.05779070262,7.05779070262,6.68656864986,6.97184273966,294900.0
2000-03-09,7.688,7.75,7.406,7.563,201600.0,0.0,1.0,7.02944616164,7.08613524359,6.77160227278,6.91515365771,201600.0
