Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,22.69,22.94,22.69,22.75,229000.0,0.0,1.0,11.9459753577,12.077596946,11.9459753577,11.9775645389,229000.0
2000-01-04,22.63,22.75,22.56,22.75,138400.0,0.0,1.0,11.9143861765,11.9775645389,11.8775321318,11.9775645389,138400.0
2000-01-05,22.69,22.94,22.69,22.81,236300.0,0.0,1.0,11.9441399319,12.0757412974,11.9441399319,12.0073085874,236300.0
2000-01-06,22.81,23.94,22.75,23.81,285900.0,0.0,1.0,12.01318646,12.60831582,11.981586671,12.5398496104,285900.0
2000-01-07,23.88,24.13,23.88,24.13,185300.0,0.0,1.0,12.5741293289,12.7057680363,12.5741293289,12.7057680363,185300.0
2000-01-10,24.13,24.81,24.0,24.63,163900.0,0.0,1.0,12.7101563063,13.0683372548,12.6416805367,12.9735246508,163900.0
2000-01-11,24.5,24.63,24.31,24.38,146800.0,0.0,1.0,12.8975515671,12.965987555,12.7975297386,12.834379886,146800.0
2000-01-12,24.19,24.56,24.19,24.44,143500.0,0.0,1.0,12.7295969023,12.9243034279,12.7295969023,12.8611553655,143500.0
2000-01-13,24.38,24.5,24.0,24.19,210700.0,0.0,1.0,12.836239448,12.899420282,12.6361668069,12.7362031274,210700.0
2000-01-14,24.25,24.38,24.0,24.13,136000.0,0.0,1.0,12.7689546158,12.8374067437,12.6373159084,12.7057680363,136000.0
2000-01-18,24.0,24.0,23.75,23.75,145100.0,0.0,1.0,12.6357715917,12.6357715917,12.5041489709,12.5041489709,145100.0
2000-01-19,23.75,23.75,23.38,23.56,127900.0,0.0,1.0,12.5060203754,12.5060203754,12.3111897422,12.4059722124,127900.0
2000-01-20,23.38,23.56,23.25,23.38,116300.0,0.0,1.0,12.3077954539,12.4025517919,12.2393603209,12.3077954539,116300.0
2000-01-21,23.25,23.31,22.88,22.88,164700.0,0.0,1.0,12.2347441127,12.2663176459,12.040040658,12.040040658,164700.0
2000-01-24,22.81,23.25,22.81,23.0,117200.0,0.0,1.0,12.0113908948,12.2430880449,12.0113908948,12.1114419369,117200.0
2000-01-25,22.94,23.0,22.75,22.88,275500.0,0.0,1.0,12.0716141912,12.1031877243,11.971631336,12.040040658,275500.0
2000-01-26,22.75,23.13,22.75,23.13,103200.0,0.0,1.0,11.9790932428,12.1791835914,11.9790932428,12.1791835914,103200.0
2000-01-27,23.06,23.06,22.81,22.88,119900.0,0.0,1.0,12.1347612575,12.1347612575,12.0032048692,12.040040658,119900.0
2000-01-28,22.94,22.94,22.56,22.63,262300.0,0.0,1.0,12.0836484682,12.0836484682,11.8834834108,11.9203559214,262300.0
2000-01-31,22.63,22.88,22.63,22.69,153100.0,0.0,1.0,11.9102855903,12.0418618783,11.9102855903,11.9418638994,153100.0
2000-02-01,22.69,23.13,22.69,23.06,366400.0,0.0,1.0,11.9434585074,12.1750636966,11.9434585074,12.1382174165,366400.0
2000-02-02,22.94,23.06,22.88,22.94,98300.0,0.0,1.0,12.0757412974,12.1389099529,12.0441569697,12.0757412974,98300.0
2000-02-03,22.94,23.0,22.75,22.88,136100.0,0.0,1.0,12.0716141912,12.1031877243,11.971631336,12.040040658,136100.0
2000-02-04,22.81,23.06,22.81,22.88,136900.0,0.0,1.0,12.0032048692,12.1347612575,12.0032048692,12.040040658,136900.0
2000-02-07,22.75,22.81,22.56,22.63,129100.0,0.0,1.0,11.9835659395,12.0151709486,11.8834834108,11.9203559214,129100.0
2000-02-08,22.75,22.81,22.63,22.69,86900.0,0.0,1.0,11.9734422086,12.0050205177,11.9102855903,11.9418638994,86900.0
2000-02-09,22.75,22.81,22.63,22.69,347200.0,0.0,1.0,11.9734422086,12.0050205177,11.9102855903,11.9418638994,347200.0
2000-02-10,22.56,22.94,22.56,22.63,100900.0,0.0,1.0,11.8834834108,12.0836484682,11.8834834108,11.9203559214,100900.0
2000-02-11,22.63,22.69,22.44,22.5,116800.0,0.0,1.0,11.9121173333,11.943700499,11.8121039752,11.8436871409,116800.0
2000-02-14,22.5,22.63,22.44,22.5,186200.0,0.0,1.0,11.8436871409,11.9121173333,11.8121039752,11.8436871409,186200.0
2000-02-15,22.5,22.63,22.5,22.63,110500.0,0.0,1.0,11.8518784017,11.9203559214,11.8518784017,11.9203559214,110500.0
2000-02-16,22.5,22.69,22.44,22.63,92900.0,0.0,1.0,11.8518784017,11.9519609304,11.8202733926,11.9203559214,92900.0
2000-02-17,22.44,22.94,22.38,22.94,144000.0,0.0,1.0,11.8125385664,12.0757412974,11.7809542387,12.0757412974,144000.0
2000-02-18,22.94,22.94,22.38,22.5,82900.0,0.0,1.0,12.0752970228,12.0752970228,11.7805208095,11.8436871409,82900.0
2000-02-22,22.5,22.5,22.31,22.31,170000.0,0.0,1.0,11.8455393816,11.8455393816,11.7455103824,11.7455103824,170000.0
2000-02-23,22.31,22.44,22.13,22.19,337700.0,0.0,1.0,11.7462142594,11.8146592551,11.6514442654,11.6830342634,337700.0
2000-02-24,22.19,22.25,22.06,22.19,254200.0,0.0,1.0,11.6830342634,11.7146242614,11.6145892677,11.6830342634,254200.0
2000-02-25,22.19,22.19,21.94,22.0,350900.0,0.0,1.0,11.6849085469,11.6849085469,11.5532624389,11.5848575048,350900.0
2000-02-28,22.0,22.06,21.88,21.94,364800.0,0.0,1.0,11.5807407037,11.6123245419,11.5175730271,11.5491568654,364800.0
2000-02-29,21.94,22.06,21.88,22.06,349200.0,0.0,1.0,11.5484690697,11.6116329844,11.5168871124,11.6116329844,349200.0
2000-03-01,21.94,22.13,21.75,21.88,182200.0,0.0,1.0,11.545028775,11.6450085137,11.4450490363,11.5134562259,182200.0
2000-03-02,21.81,21.88,21.69,21.69,117900.0,0.0,1.0,11.4784345405,11.5152749999,11.4152794674,11.4152794674,117900.0
2000-03-03,21.69,22.0,21.69,21.88,393600.0,0.0,1.0,11.4134764872,11.5766013241,11.4134764872,11.5134562259,393600.0
2000-03-06,21.75,21.81,21.69,21.75,144400.0,0.0,1.0,11.4509801069,11.4825690175,11.4193911962,11.4509801069,144400.0
2000-03-07,21.63,21.75,21.5,21.56,189700.0,0.0,1.0,11.3896630995,11.4528512443,11.321209276,11.3528033484,189700.0
2000-03-08,21.5,21.63,21.19,21.25,206200.0,0.0,1.0,11.3147926675,11.3832076929,11.1516491453,11.1832253109,206200.0
2000-03-09,21.19,21.31,21.0,21.19,175300.0,0.0,1.0,11.1564498313,11.219629349,11.056415595,11.1564498313,175300.0
2000-03-10,21.06,21.13,20.88,21.0,235700.0,0.0,1.0,11.0898681387,11.126729049,10.995082941,11.0582730728,235700.0
2000-03-13,20.94,21.19,20.94,21.13,172300.0,0.22,1.0,11.3431173601,11.4785413973,11.3431173601,11.4460396284,172300.0
2000-03-14,21.06,21.31,21.0,21.13,336200.0,0.0,1.0,11.408120898,11.5435449352,11.375619129,11.4460396284,336200.0
2000-03-15,21.06,21.31,21.0,21.19,175200.0,0.0,1.0,11.408120898,11.5435449352,11.375619129,11.4785413973,175200.0
2000-03-16,21.25,21.44,21.06,21.38,613100.0,0.0,1.0,11.5110431663,11.6139654346,11.408120898,11.5814636656,613100.0
2000-03-17,21.44,21.69,21.44,21.56,440300.0,0.0,1.0,11.6139654346,11.7493894718,11.6139654346,11.6789689725,440300.0
2000-03-20,21.38,21.63,21.38,21.5,138900.0,0.0,1.0,11.5814636656,11.7168877029,11.5814636656,11.6464672035,138900.0
2000-03-21,21.5,21.88,21.44,21.63,217500.0,0.0,1.0,11.6464672035,11.8523117401,11.6139654346,11.7168877029,217500.0
2000-03-22,21.69,21.75,21.5,21.75,175500.0,0.0,1.0,11.7493894718,11.7818912408,11.6464672035,11.7818912408,175500.0
2000-03-23,21.56,21.94,21.56,21.56,209600.0,0.0,1.0,11.6789689725,11.8848135091,11.6789689725,11.6789689725,209600.0
2000-03-24,21.94,21.94,21.63,21.75,99800.0,0.0,1.0,11.8848135091,11.8848135091,11.7168877029,11.7818912408,99800.0
2000-03-27,21.75,21.94,21.44,21.5,108300.0,0.0,1.0,11.7818912408,11.8848135091,11.6139654346,11.6464672035,108300.0
2000-03-28,21.5,21.75,21.5,21.69,134100.0,0.0,1.0,11.6464672035,11.7818912408,11.6464672035,11.7493894718,134100.0
2000-03-29,21.69,21.75,21.56,21.75,196100.0,0.0,1.0,11.7493894718,11.7818912408,11.6789689725,11.7818912408,196100.0
2000-03-30,21.88,22.0,21.5,21.81,216800.0,0.0,1.0,11.8523117401,11.917315278,11.6464672035,11.8143930097,216800.0
2000-03-31,21.56,21.75,21.0,21.0,223000.0,0.0,1.0,11.6789689725,11.7818912408,11.375619129,11.375619129,223000.0
2000-04-03,21.25,21.75,21.25,21.69,227400.0,0.0,1.0,11.5110431663,11.7818912408,11.5110431663,11.7493894718,227400.0
2000-04-04,21.69,21.81,21.56,21.75,96700.0,0.0,1.0,11.7493894718,11.8143930097,11.6789689725,11.7818912408,96700.0
2000-04-05,21.69,22.0,21.69,22.0,170500.0,0.0,1.0,11.7493894718,11.917315278,11.7493894718,11.917315278,170500.0
2000-04-06,22.06,22.31,22.0,22.25,260300.0,0.0,1.0,11.949817047,12.0852410842,11.917315278,12.0527393153,260300.0
2000-04-07,22.19,22.31,22.13,22.25,473900.0,0.0,1.0,12.0202375463,12.0852410842,11.9877357774,12.0527393153,473900.0
2000-04-10,22.19,22.44,22.19,22.31,139500.0,0.0,1.0,12.0202375463,12.1556615836,12.0202375463,12.0852410842,139500.0
2000-04-11,22.44,22.63,22.38,22.5,263000.0,0.0,1.0,12.1556615836,12.2585838519,12.1231598146,12.1881633525,263000.0
2000-04-12,22.63,22.88,22.5,22.56,382000.0,0.0,1.0,12.2585838519,12.3940078891,12.1881633525,12.2206651215,382000.0
2000-04-13,22.69,22.69,22.5,22.63,195300.0,0.0,1.0,12.2910856208,12.2910856208,12.1881633525,12.2585838519,195300.0
2000-04-14,22.63,22.69,22.38,22.5,187900.0,0.0,1.0,12.2585838519,12.2910856208,12.1231598146,12.1881633525,187900.0
2000-04-17,22.38,22.81,22.25,22.81,185800.0,0.0,1.0,12.1231598146,12.3560891587,12.0527393153,12.3560891587,185800.0
2000-04-18,22.69,22.75,22.5,22.63,185000.0,0.0,1.0,12.2910856208,12.3235873898,12.1881633525,12.2585838519,185000.0
2000-04-19,22.63,22.63,22.5,22.56,236800.0,0.0,1.0,12.2585838519,12.2585838519,12.1881633525,12.2206651215,236800.0
2000-04-20,22.5,22.56,22.38,22.38,69500.0,0.0,1.0,12.1881633525,12.2206651215,12.1231598146,12.1231598146,69500.0
2000-04-24,22.38,22.44,22.06,22.25,476000.0,0.0,1.0,12.1231598146,12.1556615836,11.949817047,12.0527393153,476000.0
2000-04-25,22.25,22.25,22.0,22.06,212700.0,0.0,1.0,12.0527393153,12.0527393153,11.917315278,11.949817047,212700.0
2000-04-26,22.06,23.0,22.06,22.88,390100.0,0.0,1.0,11.949817047,12.459011427,11.949817047,12.3940078891,390100.0
2000-04-27,22.63,22.69,22.44,22.5,81200.0,0.0,1.0,12.2585838519,12.2910856208,12.1556615836,12.1881633525,81200.0
2000-04-28,22.5,22.5,22.38,22.38,205300.0,0.0,1.0,12.1881633525,12.1881633525,12.1231598146,12.1231598146,205300.0
2000-05-01,22.5,22.94,22.38,22.94,323700.0,0.0,1.0,12.1881633525,12.4265096581,12.1231598146,12.4265096581,323700.0
2000-05-02,22.88,23.38,22.69,22.94,1118700.0,0.0,1.0,12.3940078891,12.6648559636,12.2910856208,12.4265096581,1118700.0
2000-05-03,23.0,23.0,22.69,22.94,354900.0,0.0,1.0,12.459011427,12.459011427,12.2910856208,12.4265096581,354900.0
2000-05-04,22.94,22.94,22.75,22.88,338300.0,0.0,1.0,12.4265096581,12.4265096581,12.3235873898,12.3940078891,338300.0
2000-05-05,22.75,22.81,22.63,22.81,178300.0,0.0,1.0,12.3235873898,12.3560891587,12.2585838519,12.3560891587,178300.0
2000-05-08,22.63,22.69,22.31,22.44,214200.0,0.0,1.0,12.2585838519,12.2910856208,12.0852410842,12.1556615836,214200.0
2000-05-09,22.44,22.44,22.19,22.38,350400.0,0.0,1.0,12.1556615836,12.1556615836,12.0202375463,12.1231598146,350400.0
2000-05-10,22.31,22.38,22.06,22.19,183500.0,0.0,1.0,12.0852410842,12.1231598146,11.949817047,12.0202375463,183500.0
2000-05-11,22.13,22.31,22.13,22.31,124800.0,0.0,1.0,11.9877357774,12.0852410842,11.9877357774,12.0852410842,124800.0
2000-05-12,22.25,22.31,22.13,22.19,174000.0,0.0,1.0,12.0527393153,12.0852410842,11.9877357774,12.0202375463,174000.0
2000-05-15,22.06,22.5,22.06,22.38,97400.0,0.0,1.0,11.949817047,12.1881633525,11.949817047,12.1231598146,97400.0
2000-05-16,22.38,22.5,22.38,22.44,143600.0,0.0,1.0,12.1231598146,12.1881633525,12.1231598146,12.1556615836,143600.0
2000-05-17,22.38,22.44,22.19,22.31,174100.0,0.0,1.0,12.1231598146,12.1556615836,12.0202375463,12.0852410842,174100.0
2000-05-18,22.25,22.44,22.13,22.38,219200.0,0.0,1.0,12.0527393153,12.1556615836,11.9877357774,12.1231598146,219200.0
2000-05-19,22.44,22.5,22.31,22.44,152400.0,0.0,1.0,12.1556615836,12.1881633525,12.0852410842,12.1556615836,152400.0
2000-05-22,22.44,22.56,22.31,22.31,152600.0,0.0,1.0,12.1556615836,12.2206651215,12.0852410842,12.0852410842,152600.0
2000-05-23,22.31,22.69,22.31,22.44,246000.0,0.0,1.0,12.0852410842,12.2910856208,12.0852410842,12.1556615836,246000.0
2000-05-24,22.38,22.75,22.25,22.38,114200.0,0.0,1.0,12.1231598146,12.3235873898,12.0527393153,12.1231598146,114200.0
2000-05-25,22.38,22.44,22.13,22.19,103500.0,0.0,1.0,12.1231598146,12.1556615836,11.9877357774,12.0202375463,103500.0
2000-05-26,22.13,22.44,22.06,22.38,297400.0,0.0,1.0,11.9877357774,12.1556615836,11.949817047,12.1231598146,297400.0
2000-05-30,22.31,22.63,22.25,22.38,112300.0,0.0,1.0,12.0852410842,12.2585838519,12.0527393153,12.1231598146,112300.0
2000-05-31,22.38,22.5,22.13,22.31,86800.0,0.0,1.0,12.1231598146,12.1881633525,11.9877357774,12.0852410842,86800.0
2000-06-01,22.25,22.44,22.25,22.38,130000.0,0.0,1.0,12.0527393153,12.1556615836,12.0527393153,12.1231598146,130000.0
2000-06-02,22.31,23.06,22.31,23.0,184900.0,0.0,1.0,12.0852410842,12.491513196,12.0852410842,12.459011427,184900.0
2000-06-05,23.75,23.75,22.69,22.88,150100.0,0.0,1.0,12.8652835388,12.8652835388,12.2910856208,12.3940078891,150100.0
2000-06-06,22.63,23.06,22.5,22.56,158000.0,0.0,1.0,12.2585838519,12.491513196,12.1881633525,12.2206651215,158000.0
2000-06-07,22.63,22.63,22.13,22.25,307300.0,0.0,1.0,12.2585838519,12.2585838519,11.9877357774,12.0527393153,307300.0
2000-06-08,22.19,22.81,22.19,22.81,118500.0,0.0,1.0,12.0202375463,12.3560891587,12.0202375463,12.3560891587,118500.0
2000-06-09,22.75,22.75,22.38,22.56,55500.0,0.0,1.0,12.3235873898,12.3235873898,12.1231598146,12.2206651215,55500.0
2000-06-12,22.63,22.94,22.63,22.94,108300.0,0.0,1.0,12.2585838519,12.4265096581,12.2585838519,12.4265096581,108300.0
2000-06-13,22.63,23.0,22.63,23.0,83800.0,0.22,1.0,12.3758398713,12.5781845798,12.3758398713,12.5781845798,83800.0
2000-06-14,23.0,24.19,23.0,23.63,175300.0,0.0,1.0,12.5781845798,13.2289689124,12.5781845798,12.9227174618,175300.0
