Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,17.31,17.5,17.31,17.44,217000.0,0.0,1.0,15.4241073169,15.5934071661,15.4241073169,15.5399440558,217000.0
2000-01-04,17.19,17.25,16.63,16.75,92700.0,0.0,1.0,15.3171810963,15.3706442066,14.818192067,14.9251182875,92700.0
2000-01-05,16.69,17.13,16.5,17.0,237600.0,0.0,1.0,14.8716551773,15.263717986,14.702355328,15.1478812471,237600.0
2000-01-06,17.06,17.13,17.0,17.06,238100.0,0.0,1.0,15.2013443573,15.263717986,15.1478812471,15.2013443573,238100.0
2000-01-07,17.06,17.5,16.81,17.5,368400.0,0.0,1.0,15.2013443573,15.5934071661,14.9785813978,15.5934071661,368400.0
2000-01-10,18.31,18.44,17.63,18.25,241100.0,0.0,1.0,16.3151591549,16.4309958939,15.709243905,16.2616960446,241100.0
2000-01-11,18.13,18.19,17.44,17.63,196500.0,0.0,1.0,16.1547698241,16.2082329343,15.5399440558,15.709243905,196500.0
2000-01-12,17.0,17.5,16.63,16.75,135600.0,0.0,1.0,15.1478812471,15.5934071661,14.818192067,14.9251182875,135600.0
2000-01-13,16.0,16.44,15.31,16.44,909000.0,0.0,1.0,14.256829409,14.6488922177,13.6420036407,14.6488922177,909000.0
2000-01-14,16.63,16.81,16.25,16.31,266300.0,0.0,1.0,14.818192067,14.9785813978,14.4795923685,14.5330554788,266300.0
2000-01-18,16.13,16.13,15.88,16.0,137200.0,0.0,1.0,14.3726661479,14.3726661479,14.1499031884,14.256829409,137200.0
2000-01-19,15.75,16.25,15.75,16.25,165200.0,0.0,1.0,14.0340664495,14.4795923685,14.0340664495,14.4795923685,165200.0
2000-01-20,16.38,16.44,15.75,15.75,301600.0,0.0,1.0,14.5954291075,14.6488922177,14.0340664495,14.0340664495,301600.0
2000-01-21,15.88,15.88,15.5,15.5,285000.0,0.0,1.0,14.1499031884,14.1499031884,13.81130349,13.81130349,285000.0
2000-01-24,15.63,15.75,14.94,15.06,268600.0,0.0,1.0,13.9271402289,14.0340664495,13.3123144606,13.4192406812,268600.0
2000-01-25,14.94,15.13,14.56,14.75,80200.0,0.0,1.0,13.3123144606,13.4816143099,12.9737147622,13.1430146114,80200.0
2000-01-26,14.81,15.5,14.75,15.13,211200.0,0.0,1.0,13.1964777217,13.81130349,13.1430146114,13.4816143099,211200.0
2000-01-27,15.25,15.69,15.13,15.5,170200.0,0.0,1.0,13.5885405304,13.9806033392,13.4816143099,13.81130349,170200.0
2000-01-28,15.88,16.13,15.38,15.38,283000.0,0.0,1.0,14.1499031884,14.3726661479,13.7043772694,13.7043772694,283000.0
2000-01-31,15.25,15.5,14.75,14.88,131800.0,0.0,1.0,13.5885405304,13.81130349,13.1430146114,13.2588513504,131800.0
2000-02-01,14.81,15.19,14.25,14.63,237500.0,0.0,1.0,13.1964777217,13.5350774202,12.6974886924,13.0360883908,237500.0
2000-02-02,15.13,15.13,14.44,14.56,389800.0,0.0,1.0,13.4816143099,13.4816143099,12.8667885416,12.9737147622,389800.0
2000-02-03,14.63,14.75,14.31,14.38,377500.0,0.0,1.0,13.0360883908,13.1430146114,12.7509518027,12.8133254313,377500.0
2000-02-04,14.13,14.75,14.13,14.13,298300.0,0.0,1.0,12.5905624718,13.1430146114,12.5905624718,12.5905624718,298300.0
2000-02-07,14.88,16.44,14.75,16.25,723000.0,0.0,1.0,13.2588513504,14.6488922177,13.1430146114,14.4795923685,723000.0
2000-02-08,16.75,17.44,16.38,16.44,612000.0,0.0,1.0,14.9251182875,15.5399440558,14.5954291075,14.6488922177,612000.0
2000-02-09,16.44,16.44,15.38,16.0,255300.0,0.0,1.0,14.6488922177,14.6488922177,13.7043772694,14.256829409,255300.0
2000-02-10,16.0,16.0,15.0,15.06,263400.0,0.0,1.0,14.256829409,14.256829409,13.3657775709,13.4192406812,263400.0
2000-02-11,15.06,15.38,14.44,15.13,398800.0,0.0,1.0,13.4192406812,13.7043772694,12.8667885416,13.4816143099,398800.0
2000-02-14,15.5,15.75,15.44,15.5,240100.0,0.0,1.0,13.81130349,14.0340664495,13.7578403797,13.81130349,240100.0
2000-02-15,15.63,15.69,15.5,15.56,285500.0,0.0,1.0,13.9271402289,13.9806033392,13.81130349,13.8647666002,285500.0
2000-02-16,15.56,15.63,15.44,15.56,178300.0,0.0,1.0,13.8647666002,13.9271402289,13.7578403797,13.8647666002,178300.0
2000-02-17,15.5,15.5,15.0,15.19,206000.0,0.0,1.0,13.81130349,13.81130349,13.3657775709,13.5350774202,206000.0
2000-02-18,15.06,15.38,15.0,15.0,133600.0,0.0,1.0,13.4192406812,13.7043772694,13.3657775709,13.3657775709,133600.0
2000-02-22,15.0,15.06,14.5,14.94,118800.0,0.0,1.0,13.3657775709,13.4192406812,12.9202516519,13.3123144606,118800.0
2000-02-23,14.94,14.94,14.5,14.88,101000.0,0.0,1.0,13.3123144606,13.3123144606,12.9202516519,13.2588513504,101000.0
2000-02-24,14.81,15.0,14.63,14.69,74000.0,0.0,1.0,13.1964777217,13.3657775709,13.0360883908,13.0895515011,74000.0
2000-02-25,15.0,15.06,14.81,14.88,149400.0,0.0,1.0,13.3657775709,13.4192406812,13.1964777217,13.2588513504,149400.0
2000-02-28,14.75,15.69,14.75,15.69,173200.0,0.0,1.0,13.1430146114,13.9806033392,13.1430146114,13.9806033392,173200.0
2000-02-29,15.63,16.75,15.63,16.75,336500.0,0.0,1.0,13.9271402289,14.9251182875,13.9271402289,14.9251182875,336500.0
2000-03-01,16.56,17.06,16.44,17.0,249600.0,0.0,1.0,14.7558184383,15.2013443573,14.6488922177,15.1478812471,249600.0
2000-03-02,17.5,17.5,17.0,17.25,308200.0,0.0,1.0,15.5934071661,15.5934071661,15.1478812471,15.3706442066,308200.0
2000-03-03,16.88,16.94,16.31,16.44,211500.0,0.0,1.0,15.0409550265,15.0944181368,14.5330554788,14.6488922177,211500.0
2000-03-06,16.38,16.44,15.81,15.94,156700.0,0.0,1.0,14.5954291075,14.6488922177,14.0875295598,14.2033662987,156700.0
2000-03-07,16.13,16.63,15.81,15.88,297500.0,0.0,1.0,14.3726661479,14.818192067,14.0875295598,14.1499031884,297500.0
2000-03-08,15.69,15.75,15.5,15.56,114800.0,0.0,1.0,13.9806033392,14.0340664495,13.81130349,13.8647666002,114800.0
