Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,14.63,14.63,14.13,14.13,511400.0,0.0,1.0,6.94313491757,6.94313491757,6.70584390877,6.70584390877,767100.0
2000-01-04,13.94,13.94,13.06,13.25,449267.0,0.0,1.0,6.61567332543,6.61567332543,6.19804114993,6.28821173328,673900.5
2000-01-05,13.38,13.44,12.88,12.94,521800.0,0.0,1.0,6.34990739557,6.37838231662,6.11261638676,6.14109130782,782700.0
2000-01-06,13.0,13.06,12.75,12.94,743667.0,0.0,1.0,6.16956622888,6.19804114993,6.05092072448,6.14109130782,1115500.5
2000-01-07,13.06,13.63,13.0,13.63,595067.0,0.0,1.0,6.19804114993,6.46855289997,6.16956622888,6.46855289997,892600.5
2000-01-10,13.5,13.75,13.13,13.69,267667.0,0.0,1.0,6.40685723768,6.52550274208,6.23126189117,6.49702782103,401500.5
2000-01-11,13.69,14.0,13.25,13.38,522267.0,0.0,1.0,6.49702782103,6.64414824648,6.28821173328,6.34990739557,783400.5
2000-01-12,13.38,13.44,13.25,13.44,307667.0,0.0,1.0,6.34990739557,6.37838231662,6.28821173328,6.37838231662,461500.5
2000-01-13,13.38,13.81,13.25,13.5,613200.0,0.0,1.0,6.34990739557,6.55397766314,6.28821173328,6.40685723768,919800.0
2000-01-14,13.38,13.44,13.25,13.44,854867.0,0.0,1.0,6.34990739557,6.37838231662,6.28821173328,6.37838231662,1282300.5
2000-01-18,13.5,13.69,13.13,13.25,865200.0,0.0,1.0,6.40685723768,6.49702782103,6.23126189117,6.28821173328,1297800.0
2000-01-19,13.13,13.25,12.81,13.0,527200.0,0.0,1.0,6.23126189117,6.28821173328,6.07939564553,6.16956622888,790800.0
2000-01-20,13.0,13.13,12.88,13.0,720200.0,0.0,1.0,6.16956622888,6.23126189117,6.11261638676,6.16956622888,1080300.0
2000-01-21,13.06,13.13,12.75,13.0,411000.0,0.0,1.0,6.19804114993,6.23126189117,6.05092072448,6.16956622888,616500.0
2000-01-24,13.0,13.0,12.56,12.69,350867.0,0.0,1.0,6.16956622888,6.16956622888,5.96075014113,6.02244580342,526300.5
2000-01-25,12.75,12.75,12.25,12.5,352667.0,0.0,1.0,6.05092072448,6.05092072448,5.81362971567,5.93227522007,529000.5
2000-01-26,12.38,12.38,11.56,11.88,1676467.0,0.0,1.0,5.87532537796,5.87532537796,5.48616812352,5.63803436916,2514700.5
2000-01-27,12.38,12.88,11.94,12.0,2576867.0,0.0,1.0,5.87532537796,6.11261638676,5.66650929021,5.69498421127,3865300.5
2000-01-28,12.0,12.25,11.5,11.75,2272467.0,0.0,1.0,5.69498421127,5.81362971567,5.45769320247,5.57633870687,3408700.5
2000-01-31,11.75,12.0,11.63,11.75,1141467.0,0.0,1.0,5.57633870687,5.69498421127,5.51938886476,5.57633870687,1712200.5
2000-02-01,11.88,11.88,11.13,11.13,1891600.0,0.0,1.0,5.63803436916,5.63803436916,5.28209785595,5.28209785595,2837400.0
2000-02-02,11.13,11.5,11.13,11.19,1068400.0,0.0,1.0,5.28209785595,5.45769320247,5.28209785595,5.31057277701,1602600.0
2000-02-03,11.06,11.13,10.63,10.81,3113267.0,0.0,1.0,5.24887711472,5.28209785595,5.04480684715,5.13023161032,4669900.5
2000-02-04,10.94,11.56,10.88,11.5,853667.0,0.0,1.0,5.19192727261,5.48616812352,5.16345235155,5.45769320247,1280500.5
2000-02-07,11.5,11.56,11.38,11.38,493200.0,0.0,1.0,5.45769320247,5.48616812352,5.40074336036,5.40074336036,739800.0
2000-02-08,11.5,11.56,11.31,11.31,653867.0,0.0,1.0,5.45769320247,5.48616812352,5.36752261912,5.36752261912,980800.5
2000-02-09,11.25,11.25,10.88,11.0,612000.0,0.0,1.0,5.33904769807,5.33904769807,5.16345235155,5.22040219367,918000.0
2000-02-10,10.94,11.0,9.813,10.38,3370200.0,0.0,1.0,5.19192727261,5.22040219367,4.65707333877,4.92616134275,5055300.0
2000-02-11,10.38,10.56,10.0,10.06,1788800.0,0.0,1.0,4.92616134275,5.01158610592,4.74582017606,4.77429509712,2683200.0
2000-02-14,10.31,10.44,10.06,10.44,1015800.0,0.0,1.0,4.89294060152,4.95463626381,4.77429509712,4.95463626381,1523700.0
2000-02-15,10.31,10.94,10.06,10.94,1005000.0,0.0,1.0,4.89294060152,5.19192727261,4.77429509712,5.19192727261,1507500.0
2000-02-16,10.94,11.13,10.56,10.75,406000.0,0.0,1.0,5.19192727261,5.28209785595,5.01158610592,5.10175668926,609000.0
2000-02-17,10.94,11.5,10.63,11.5,1314667.0,0.0,1.0,5.19192727261,5.45769320247,5.04480684715,5.45769320247,1972000.5
2000-02-18,11.63,11.63,10.25,10.88,942267.0,0.0,1.0,5.51938886476,5.51938886476,4.86446568046,5.16345235155,1413400.5
2000-02-22,11.06,11.31,10.56,11.31,314600.0,0.0,1.0,5.24887711472,5.36752261912,5.01158610592,5.36752261912,471900.0
2000-02-23,11.19,11.94,11.13,11.56,875000.0,0.0,1.0,5.31057277701,5.66650929021,5.28209785595,5.48616812352,1312500.0
2000-02-24,11.69,11.69,11.06,11.31,599800.0,0.0,1.0,5.54786378581,5.54786378581,5.24887711472,5.36752261912,899700.0
2000-02-25,11.06,11.63,11.0,11.31,497800.0,0.0,1.0,5.24887711472,5.51938886476,5.22040219367,5.36752261912,746700.0
2000-02-28,11.25,11.31,10.63,10.69,600467.0,0.0,1.0,5.33904769807,5.36752261912,5.04480684715,5.07328176821,900700.5
