Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-01-03,28.25,30.0,28.0,28.62,5806500.0,0.0,1.0,18.1793301627,19.3054833586,18.0184511347,18.4174311241,5806500.0
2007-01-04,28.8,29.6,28.75,29.05,6470700.0,0.0,1.0,18.5332640243,19.0480769138,18.5010882187,18.6941430523,6470700.0
2007-01-05,29.01,29.39,28.31,28.86,3876800.0,0.0,1.0,18.6684024078,18.9129385303,18.2179411294,18.571874991,3876800.0
2007-01-08,28.4,28.68,27.55,27.78,4953300.0,0.0,1.0,18.2758575795,18.4560420908,17.7288688843,17.8768775901,4953300.0
2007-01-09,27.34,28.24,27.34,27.76,3590900.0,0.0,1.0,17.5937305008,18.1728950016,17.5937305008,17.8640072678,3590900.0
2007-01-10,27.76,27.76,26.55,26.72,3981300.0,0.0,1.0,17.8640072678,17.8640072678,17.0853527724,17.1947505114,3981300.0
2007-01-11,26.6,27.07,26.27,26.42,3416000.0,0.0,1.0,17.117528578,17.4199811506,16.905168261,17.0016956778,3416000.0
2007-01-12,26.31,26.345,25.11,26.05,4642000.0,0.0,1.0,16.9309089055,16.9534319694,16.1586895712,16.7635947164,4642000.0
2007-01-16,25.41,26.05,25.25,25.85,3851300.0,0.0,1.0,16.3517444048,16.7635947164,16.2487818268,16.634891494,3851300.0
2007-01-17,25.95,27.02,25.5,26.8,4508900.0,0.0,1.0,16.6992431052,17.387805345,16.4096608548,17.2462318004,4508900.0
2007-01-18,26.75,27.0,26.19,26.85,2667000.0,0.0,1.0,17.2140559948,17.3749350228,16.8536869721,17.278407606,2667000.0
2007-01-19,27.2,27.35,26.68,26.8,3000600.0,0.0,1.0,17.5036382451,17.6001656619,17.1690098669,17.2462318004,3000600.0
2007-01-22,26.35,26.9,26.3,26.69,2277000.0,0.0,1.0,16.95664955,17.3105834116,16.9244737444,17.1754450281,2277000.0
2007-01-23,26.55,27.09,26.5,26.92,3080500.0,0.0,1.0,17.0853527724,17.4328514728,17.0531769668,17.3234537338,3080500.0
2007-01-24,26.8,26.95,26.71,26.85,3021100.0,0.0,1.0,17.2462318004,17.3427592172,17.1883153503,17.278407606,3021100.0
2007-01-25,26.69,26.84,26.07,26.21,2263500.0,0.0,1.0,17.1754450281,17.2719724448,16.7764650386,16.8665572943,2263500.0
2007-01-26,26.18,26.2,25.5,25.75,4014900.0,0.0,1.0,16.847251811,16.8601221332,16.4096608548,16.5705398828,4014900.0
2007-01-29,25.9,26.04,25.68,25.82,2768900.0,0.0,1.0,16.6670672996,16.7571595553,16.525493755,16.6155860107,2768900.0
2007-01-30,26.0,26.59,25.92,26.14,2099100.0,0.0,1.0,16.7314189108,17.1110934169,16.6799376218,16.8215111665,2099100.0
2007-01-31,25.75,26.35,25.6,26.12,2450200.0,0.0,1.0,16.5705398828,16.95664955,16.474012466,16.8086408442,2450200.0
2007-02-01,26.13,26.18,25.74,25.95,2418700.0,0.0,1.0,16.8150760054,16.847251811,16.5641047217,16.6992431052,2418700.0
2007-02-02,25.86,26.4,25.8,25.99,2512300.0,0.0,1.0,16.6413266551,16.9888253556,16.6027156884,16.7249837497,2512300.0
2007-02-05,25.95,26.77,25.95,26.5,2672300.0,0.0,1.0,16.6992431052,17.226926317,16.6992431052,17.0531769668,2672300.0
2007-02-06,26.7,26.97,26.6,26.82,2774300.0,0.0,1.0,17.1818801892,17.3556295394,17.117528578,17.2591021226,2774300.0
2007-02-07,26.88,27.11,26.8,26.9,1748400.0,0.0,1.0,17.2977130893,17.4457217951,17.2462318004,17.3105834116,1748400.0
2007-02-08,26.78,26.89,26.39,26.82,1676400.0,0.0,1.0,17.2333614781,17.3041482504,16.9823901945,17.2591021226,1676400.0
2007-02-09,26.8,27.13,25.94,25.95,2816000.0,0.0,1.0,17.2462318004,17.4585921173,16.6928079441,16.6992431052,2816000.0
2007-02-12,25.8,26.01,25.56,25.77,2636200.0,0.0,1.0,16.6027156884,16.7378540719,16.4482718215,16.5834102051,2636200.0
2007-02-13,25.77,26.2,25.65,25.66,2353800.0,0.0,1.0,16.5834102051,16.8601221332,16.5061882716,16.5126234327,2353800.0
2007-02-14,25.76,26.26,25.75,26.16,2036300.0,0.22,1.0,16.7163838555,17.0408478278,16.709894576,16.9759550333,2036300.0
2007-02-15,26.16,26.35,25.85,26.12,1868100.0,0.0,1.0,16.9759550333,17.0992513428,16.7747873705,16.9499979156,1868100.0
2007-02-16,25.97,26.08,25.81,25.93,2262700.0,0.0,1.0,16.8526587239,16.9240407978,16.7488302527,16.8267016061,2262700.0
2007-02-20,25.78,25.9,25.54,25.65,1998700.0,0.0,1.0,16.7293624144,16.8072337677,16.5736197076,16.6450017815,1998700.0
2007-02-21,25.5,25.75,25.05,25.52,1882500.0,0.0,1.0,16.5476625898,16.709894576,16.2556450147,16.5606411487,1882500.0
2007-02-22,25.4,25.68,25.3,25.38,2399500.0,0.0,1.0,16.4827697954,16.6644696199,16.4178770009,16.4697912365,2399500.0
2007-02-23,25.3,25.5,25.1605,25.32,1395100.0,0.0,1.0,16.4178770009,16.5476625898,16.3273515526,16.4308555598,1395100.0
2007-02-26,25.35,26.1,25.32,26.06,3002000.0,0.0,1.0,16.4503233981,16.9370193567,16.4308555598,16.9110622389,3002000.0
2007-02-27,26.08,26.36,25.42,25.64,3429900.0,0.0,1.0,16.9240407978,17.1057406223,16.4957483543,16.6385125021,3429900.0
2007-02-28,25.55,25.85,25.27,25.73,2833700.0,0.0,1.0,16.5801089871,16.7747873705,16.3984091626,16.6969160171,2833700.0
2007-03-01,25.43,26.13,25.3,25.99,2340500.0,0.0,1.0,16.5022376337,16.956487195,16.4178770009,16.8656372827,2340500.0
2007-03-02,25.55,25.74,25.27,25.31,2372700.0,0.0,1.0,16.5801089871,16.7034052966,16.3984091626,16.4243662804,2372700.0
2007-03-05,24.88,25.27,24.56,24.68,2567200.0,0.0,1.0,16.1453272641,16.3984091626,15.9376703218,16.0155416752,2567200.0
2007-03-06,24.78,25.19,24.75,25.14,1629500.0,0.0,1.0,16.0804344697,16.346494927,16.0609666313,16.3140485298,1629500.0
2007-03-07,25.02,25.4,25.0,25.02,2893900.0,0.0,1.0,16.2361771764,16.4827697954,16.2231986175,16.2361771764,2893900.0
2007-03-08,25.08,25.15,24.612,24.77,2915100.0,0.0,1.0,16.2751128531,16.3205378092,15.971414575,16.0739451902,2915100.0
2007-03-09,24.87,25.16,24.7223,24.98,1840200.0,0.0,1.0,16.1388379847,16.3270270886,16.0429913273,16.2102200586,1840200.0
2007-03-12,24.83,24.95,24.39,24.59,3809400.0,0.0,1.0,16.1128808669,16.1907522203,15.8273525712,15.9571381602,3809400.0
2007-03-13,24.41,24.77,23.93,24.02,3473000.0,0.0,1.0,15.8403311301,16.0739451902,15.5288457167,15.5872492317,3473000.0
2007-03-14,24.25,24.34,24.0,24.32,1930000.0,0.0,1.0,15.736502659,15.794906174,15.5742706728,15.7819276151,1930000.0
2007-03-15,24.42,24.42,24.09,24.17,2251400.0,0.0,1.0,15.8468204096,15.8468204096,15.6326741878,15.6845884234,2251400.0
2007-03-16,24.17,24.32,23.9,23.98,3654300.0,0.0,1.0,15.6845884234,15.7819276151,15.5093778783,15.5612921139,3654300.0
2007-03-19,24.5,24.51,23.55,23.83,3536900.0,0.0,1.0,15.8987346451,15.9052239246,15.2822530977,15.4639529222,3536900.0
2007-03-20,23.88,24.14,23.7,24.1,2057300.0,0.0,1.0,15.4963993194,15.6651205851,15.3795922894,15.6391634673,2057300.0
2007-03-21,24.07,25.25,24.02,24.9,4999300.0,0.0,1.0,15.6196956289,16.3854306037,15.5872492317,16.158305823,4999300.0
2007-03-22,25.0,25.42,24.95,25.21,2131000.0,0.0,1.0,16.2231986175,16.4957483543,16.1907522203,16.3594734859,2131000.0
2007-03-23,25.45,25.78,25.35,25.58,2417200.0,0.0,1.0,16.5152161926,16.7293624144,16.4503233981,16.5995768254,2417200.0
2007-03-26,25.05,25.55,25.01,25.52,1930700.0,0.0,1.0,16.2556450147,16.5801089871,16.2296878969,16.5606411487,1930700.0
2007-03-27,25.53,25.73,25.3901,25.56,1889500.0,0.0,1.0,16.5671304282,16.6969160171,16.4763454087,16.5865982665,1889500.0
2007-03-28,25.56,26.0,25.49,25.76,2449200.0,0.0,1.0,16.5865982665,16.8721265622,16.5411733104,16.7163838555,2449200.0
2007-03-29,26.1,26.2,25.7,25.96,2183200.0,0.0,1.0,16.9370193567,17.0019121511,16.6774481788,16.8461694444,2183200.0
2007-03-30,26.15,26.62,25.79,26.27,2827200.0,0.0,1.0,16.9694657539,17.2744618879,16.7358516938,17.0473371073,2827200.0
2007-04-02,26.27,26.4,26.0,26.32,1531800.0,0.0,1.0,17.0473371073,17.1316977401,16.8721265622,17.0797835045,1531800.0
2007-04-03,26.5,26.6,26.06,26.2,1570400.0,0.0,1.0,17.1965905345,17.261483329,16.9110622389,17.0019121511,1570400.0
2007-04-04,26.22,26.36,25.93,25.97,1302800.0,0.0,1.0,17.01489071,17.1057406223,16.8267016061,16.8526587239,1302800.0
2007-04-05,25.98,26.13,25.55,25.86,1314300.0,0.0,1.0,16.8591480033,16.956487195,16.5801089871,16.7812766499,1314300.0
2007-04-09,25.86,26.28,25.77,26.03,1489000.0,0.0,1.0,16.7812766499,17.0538263867,16.7228731349,16.8915944005,1489000.0
2007-04-10,26.12,26.5,26.06,26.25,1597100.0,0.0,1.0,16.9499979156,17.1965905345,16.9110622389,17.0343585484,1597100.0
2007-04-11,26.26,26.61,26.0,26.04,2111800.0,0.0,1.0,17.0408478278,17.2679726085,16.8721265622,16.89808368,2111800.0
2007-04-12,26.06,26.18,25.71,25.79,2374000.0,0.0,1.0,16.9110622389,16.9889335922,16.6839374582,16.7358516938,2374000.0
2007-04-13,26.59,26.85,25.49,25.72,2704100.0,0.0,1.0,17.2549940496,17.4237153152,16.5411733104,16.6904267377,2704100.0
2007-04-16,26.52,26.52,25.9,26.13,1875100.0,0.0,1.0,17.2095690934,17.2095690934,16.8072337677,16.956487195,1875100.0
2007-04-17,26.08,26.61,26.06,26.5,1814800.0,0.0,1.0,16.9240407978,17.2679726085,16.9110622389,17.1965905345,1814800.0
2007-04-18,26.5,26.75,25.91,25.97,1884900.0,0.0,1.0,17.1965905345,17.3588225207,16.8137230472,16.8526587239,1884900.0
2007-04-19,26.03,26.21,25.87,26.14,2284200.0,0.0,1.0,16.8915944005,17.0084014306,16.7877659294,16.9629764745,2284200.0
2007-04-20,27.0,27.01,26.362,27.01,3798700.0,0.0,1.0,17.5210545069,17.5275437863,17.1070384782,17.5275437863,3798700.0
2007-04-23,27.34,27.34,26.54,26.71,1746600.0,0.0,1.0,17.7416900081,17.7416900081,17.2225476523,17.3328654029,1746600.0
2007-04-24,26.68,27.05,26.59,26.62,2307400.0,0.0,1.0,17.3133975646,17.5535009041,17.2549940496,17.2744618879,2307400.0
2007-04-25,26.7,27.16,26.66,27.12,1511200.0,0.0,1.0,17.3263761235,17.624882978,17.3004190057,17.5989258603,1511200.0
2007-04-26,26.9,27.0,26.39,26.6,1645100.0,0.0,1.0,17.4561617124,17.5210545069,17.1252084606,17.261483329,1645100.0
2007-04-27,26.45,26.83,26.13,26.42,1283900.0,0.0,1.0,17.1641441373,17.4107367563,16.956487195,17.144676299,1283900.0
2007-04-30,26.4,26.65,26.02,26.1,1428000.0,0.0,1.0,17.1316977401,17.2939297262,16.8851051211,16.9370193567,1428000.0
2007-05-01,26.07,26.42,25.86,26.42,1743600.0,0.0,1.0,16.9175515183,17.144676299,16.7812766499,17.144676299,1743600.0
2007-05-02,26.37,26.75,26.0,26.63,1417900.0,0.0,1.0,17.1122299017,17.3588225207,16.8721265622,17.2809511674,1417900.0
2007-05-03,26.73,26.91,26.36,26.47,1538300.0,0.0,1.0,17.3458439618,17.4626509919,17.1057406223,17.1771226962,1538300.0
2007-05-04,26.5,26.99,26.32,26.64,1437300.0,0.0,1.0,17.1965905345,17.5145652274,17.0797835045,17.2874404468,1437300.0
2007-05-07,26.5,26.77,26.34,26.53,1232400.0,0.0,1.0,17.1965905345,17.3718010796,17.0927620634,17.2160583729,1232400.0
2007-05-08,26.5,26.72,25.38,25.92,3056100.0,0.0,1.0,17.1965905345,17.3393546824,16.4697912365,16.8202123266,3056100.0
2007-05-09,26.05,26.25,25.52,26.13,2233300.0,0.22,1.0,17.0469000184,17.1777783295,16.700072494,17.0992513428,2233300.0
2007-05-10,26.1,26.29,25.9,25.91,1960500.0,0.0,1.0,17.0796195962,17.2039539917,16.9487412851,16.9552852006,1960500.0
2007-05-11,25.91,26.17,25.76,26.17,1552700.0,0.0,1.0,16.9552852006,17.1254270051,16.8571264673,17.1254270051,1552700.0
2007-05-14,26.13,26.49,25.94,26.02,1281900.0,0.0,1.0,17.0992513428,17.3348323028,16.9749169473,17.0272682717,1281900.0
2007-05-15,25.952,26.3395,25.85,25.88,1841500.0,0.0,1.0,16.982769646,17.2363463737,16.9160217073,16.935653454,1841500.0
2007-05-16,26.05,26.35,25.96,26.32,1836400.0,0.0,1.0,17.0469000184,17.243217485,16.9880047784,17.2235857384,1836400.0
2007-05-17,26.25,26.5,26.21,26.4,1459100.0,0.0,1.0,17.1777783295,17.3413762183,17.1516026673,17.2759370628,1459100.0
2007-05-18,26.59,27.0,26.39,26.8,3229100.0,0.0,1.0,17.4002714583,17.668571996,17.2693931472,17.537693685,3229100.0
2007-05-21,26.6,27.07,26.5,26.84,2389000.0,0.0,1.0,17.4068153739,17.7143794049,17.3413762183,17.5638693472,2389000.0
2007-05-22,26.79,26.96,26.35,26.51,2476000.0,0.0,1.0,17.5311497694,17.6423963338,17.243217485,17.3479201339,2476000.0
2007-05-23,26.75,26.8,26.2,26.25,2512600.0,0.0,1.0,17.5049741072,17.537693685,17.1450587517,17.1777783295,2512600.0
2007-05-24,26.11,26.37,26.0,26.01,2514400.0,0.0,1.0,17.0861635117,17.2563053161,17.0141804406,17.0207243562,2514400.0
2007-05-25,26.08,26.44,25.95,26.08,1622100.0,0.0,1.0,17.0665317651,17.302112725,16.9814608629,17.0665317651,1622100.0
