Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.13,30.19,29.25,29.69,654500.0,0.0,1.0,12.8161481378,12.84166984,12.4418298384,12.6289889881,1309000.0
2000-01-04,29.38,29.88,29.0,29.06,1718000.0,0.0,1.0,12.4971268599,12.7098077118,12.3354894124,12.3610111146,3436000.0
2000-01-05,29.09,30.38,29.0,30.06,570600.0,0.0,1.0,12.3737719657,12.9224885637,12.3354894124,12.7863728185,1141200.0
2000-01-06,30.25,30.63,29.75,30.06,1225900.0,0.0,1.0,12.8671915422,13.0288289897,12.6545106903,12.7863728185,2451800.0
2000-01-07,30.13,31.13,30.13,30.88,1251900.0,0.0,1.0,12.8161481378,13.2415098417,12.8161481378,13.1351694157,2503800.0
2000-01-10,30.88,33.19,30.81,33.0,1336900.0,0.0,1.0,13.1351694157,14.1177549516,13.1053940964,14.0369362279,2673800.0
2000-01-11,32.81,32.88,31.88,32.0,1143100.0,0.0,1.0,13.9561175042,13.9858928234,13.5605311196,13.611574524,2286200.0
2000-01-12,32.0,32.63,32.0,32.31,622400.0,0.0,1.0,13.611574524,13.8795523975,13.611574524,13.7434366522,1244800.0
2000-01-13,32.38,33.06,32.38,32.94,702400.0,0.0,1.0,13.7732119715,14.0624579301,13.7732119715,14.0114145257,1404800.0
2000-01-14,33.0,35.0,32.88,35.0,1161000.0,0.0,1.0,14.0369362279,14.8876596357,13.9858928234,14.8876596357,2322000.0
2000-01-18,34.63,34.75,34.0,34.13,1041100.0,0.0,1.0,14.7302758052,14.7813192097,14.4622979318,14.5175949533,2082200.0
2000-01-19,34.16,34.69,34.0,34.63,1087300.0,0.0,1.0,14.5303558044,14.7557975075,14.4622979318,14.7302758052,2174600.0
2000-01-20,34.69,34.69,34.0,34.0,653200.0,0.0,1.0,14.7557975075,14.7557975075,14.4622979318,14.4622979318,1306400.0
2000-01-21,34.13,34.75,33.75,34.0,1762300.0,0.0,1.0,14.5175949533,14.7813192097,14.3559575058,14.4622979318,3524600.0
