Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,98.0,100.0,88.25,95.38,657600.0,0.0,1.0,23.7102088307,24.1940906436,21.351284993,23.0763236559,2630400.0
2000-01-04,92.5,94.31,89.38,89.63,662500.0,0.0,1.0,22.3795338453,22.817446886,21.6246782172,21.6851634439,2650000.0
2000-01-05,88.0,88.81,74.94,85.75,1893700.0,0.0,1.0,21.2907997664,21.4867719006,18.1310515283,20.7464327269,7574800.0
2000-01-06,84.0,85.88,78.5,78.63,579600.0,0.0,1.0,20.3230361406,20.7778850447,18.9923611552,19.0238134731,2318400.0
2000-01-07,81.0,84.0,79.0,82.06,1101000.0,0.0,1.0,19.5972134213,20.3230361406,19.1133316084,19.8536707821,4404000.0
2000-01-10,84.0,89.75,82.75,86.25,720100.0,0.0,1.0,20.3230361406,21.7141963526,20.0206100076,20.8674031801,2880400.0
2000-01-11,87.0,87.88,82.31,84.88,528500.0,0.0,1.0,21.0488588599,21.2617668576,19.9141560087,20.5359441383,2114000.0
2000-01-12,85.5,87.0,80.75,82.13,361400.0,0.0,1.0,20.6859475003,21.0488588599,19.5367281947,19.8706066456,1445600.0
2000-01-13,85.88,87.25,84.0,85.63,282000.0,0.0,1.0,20.7778850447,21.1093440865,20.3230361406,20.7173998181,1128000.0
2000-01-14,88.0,89.0,86.75,88.38,311200.0,0.0,1.0,21.2907997664,21.5327406728,20.9883736333,21.3827373108,1244800.0
2000-01-18,89.13,98.05,88.88,95.5,707700.0,0.0,1.0,21.5641929906,23.722305876,21.503707764,23.1053565646,2830800.0
2000-01-19,98.25,98.88,93.19,97.5,635100.0,0.0,1.0,23.7706940573,23.9231168284,22.5464730708,23.5892383775,2540400.0
2000-01-20,99.75,107.0,95.44,106.0,754900.0,0.0,1.0,24.133605417,25.8876769887,23.0908401103,25.6457360822,3019600.0
2000-01-21,110.0,110.8,102.5,105.5,550500.0,0.0,1.0,26.613499708,26.8070524331,24.7989429097,25.524765629,2202000.0
2000-01-24,106.9,108.5,100.0,100.9,693100.0,0.0,1.0,25.863482898,26.2505883483,24.1940906436,24.4118374594,2772400.0
2000-01-25,100.9,102.9,93.88,102.6,534100.0,0.0,1.0,24.4118374594,24.8957192723,22.7134122962,24.8231370003,2136400.0
