Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,73.0,73.0,68.44,69.75,647700.0,0.0,1.0,28.9793291044,28.9793291044,27.1691134781,27.6891534936,1295400.0
2000-01-04,69.5,69.5,65.13,65.88,658000.0,0.0,1.0,27.5899092158,27.5899092158,25.8551192407,26.1528520739,1316000.0
2000-01-05,65.88,68.13,65.25,67.5,519700.0,0.0,1.0,26.1528520739,27.0460505737,25.902756494,26.7959549938,1039400.0
2000-01-06,67.0,70.38,66.81,69.88,678100.0,0.0,1.0,26.5974664383,27.9392490735,26.5220407872,27.740760518,1356200.0
2000-01-07,70.63,72.69,70.13,72.38,581200.0,0.0,1.0,28.0384933513,28.8562662,27.8400047958,28.7332032956,1162400.0
2000-01-10,71.75,72.81,71.63,71.94,518300.0,0.0,1.0,28.4831077156,28.9039034533,28.4354704623,28.5585333667,1036600.0
2000-01-11,72.0,74.19,71.81,73.38,690500.0,0.0,1.0,28.5823519934,29.4517318665,28.5069263423,29.1301804066,1381000.0
2000-01-12,72.38,75.0,72.38,74.56,643900.0,0.0,1.0,28.7332032956,29.7732833264,28.7332032956,29.5986133976,1287800.0
2000-01-13,75.75,76.81,75.19,76.38,708000.0,0.0,1.0,30.0710161597,30.4918118974,29.8487089775,30.3211117396,1416000.0
2000-01-14,77.25,79.38,76.38,79.06,610900.0,0.0,1.0,30.6664818262,31.5120430727,30.3211117396,31.3850103972,1221800.0
2000-01-18,78.88,78.88,75.0,76.5,987500.0,0.0,1.0,31.3135545172,31.3135545172,29.7732833264,30.368748993,1975000.0
2000-01-19,76.5,77.5,75.88,76.38,541000.0,0.0,1.0,30.368748993,30.765726104,30.1226231841,30.3211117396,1082000.0
2000-01-20,76.38,76.38,74.5,75.94,533600.0,0.0,1.0,30.3211117396,30.3211117396,29.5747947709,30.1464418108,1067200.0
2000-01-21,76.44,77.25,75.19,76.94,659100.0,0.0,1.0,30.3449303663,30.6664818262,29.8487089775,30.5434189218,1318200.0
2000-01-24,77.0,77.38,74.75,75.19,476400.0,0.0,1.0,30.5672375485,30.7180888507,29.6740390487,29.8487089775,952800.0
2000-01-25,75.19,78.0,75.06,77.94,583600.0,0.0,1.0,29.8487089775,30.9642146595,29.7971019531,30.9403960328,1167200.0
2000-01-26,77.5,80.81,77.06,80.81,404400.0,0.0,1.0,30.765726104,32.0797203415,30.5910561751,32.0797203415,808800.0
2000-01-27,81.44,82.75,80.75,82.75,631500.0,0.0,1.0,32.3298159214,32.8498559368,32.0559017148,32.8498559368,1263000.0
2000-01-28,80.88,81.13,78.38,78.75,638000.0,0.0,1.0,32.1075087392,32.206753017,31.1150659617,31.2619474928,1276000.0
2000-01-31,77.88,80.5,77.5,80.19,742800.0,0.0,1.0,30.9165774062,31.956657437,30.765726104,31.8335945326,1485600.0
2000-02-01,80.0,82.44,79.06,82.13,527500.0,0.0,1.0,31.7581688815,32.7267930324,31.3850103972,32.603730128,1055000.0
2000-02-02,81.88,82.5,80.31,82.25,604000.0,0.0,1.0,32.5044858502,32.7506116591,31.8812317859,32.6513673813,1208000.0
2000-02-03,82.25,83.69,80.56,83.69,509400.0,0.0,1.0,32.6513673813,33.2230144212,31.9804760637,33.2230144212,1018800.0
2000-02-04,80.81,84.44,80.06,80.81,570000.0,0.0,1.0,32.0797203415,33.5207472545,31.7819875082,32.0797203415,1140000.0
2000-02-07,81.06,81.25,79.69,80.06,238700.0,0.0,1.0,32.1789646192,32.2543902703,31.6351059771,31.7819875082,477400.0
2000-02-08,81.0,84.19,80.63,84.19,613500.0,0.0,1.0,32.1551459925,33.4215029767,32.0082644615,33.4215029767,1227000.0
2000-02-09,82.75,82.75,80.38,80.5,322200.0,0.0,1.0,32.8498559368,32.8498559368,31.9090201837,31.956657437,644400.0
