Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,69.5,69.5,68.13,68.38,269500.0,0.0,1.0,15.1146853655,15.1146853655,14.8167412079,14.8711105798,1078000.0
2000-01-04,68.13,68.25,67.31,67.63,285200.0,0.0,1.0,14.8167412079,14.8428385064,14.6384096684,14.7080024643,1140800.0
2000-01-05,67.63,70.0,67.38,69.63,309800.0,0.0,1.0,14.7080024643,15.2234241092,14.6536330925,15.1429574389,1239200.0
2000-01-06,69.5,71.75,69.0,71.19,359600.0,0.0,1.0,15.1146853655,15.6040097119,15.0059466219,15.482222319,1438400.0
2000-01-07,71.13,78.5,71.13,77.75,778800.0,0.0,1.0,15.4691736698,17.071982751,15.4691736698,16.9088746355,3115200.0
2000-01-10,77.75,81.31,76.5,76.88,556400.0,0.0,1.0,16.9088746355,17.6830944902,16.6370277764,16.7196692216,2225600.0
2000-01-11,76.25,80.0,75.75,77.63,180500.0,0.0,1.0,16.5826584046,17.3981989819,16.473919661,16.882777337,722000.0
2000-01-12,77.63,77.63,75.56,76.0,203900.0,0.0,1.0,16.882777337,16.882777337,16.4325989384,16.5282890328,815600.0
2000-01-13,76.0,76.19,75.38,75.94,228600.0,0.0,1.0,16.5282890328,16.5696097554,16.3934529907,16.5152403836,914400.0
2000-01-14,76.44,77.5,75.75,77.19,223800.0,0.0,1.0,16.6239791272,16.8545052637,16.473919661,16.7870872426,895200.0
2000-01-18,76.94,80.75,76.0,78.63,301600.0,0.0,1.0,16.7327178708,17.5613070973,16.5282890328,17.1002548243,1206400.0
2000-01-19,78.69,80.0,78.63,79.63,176600.0,0.0,1.0,17.1133034736,17.3981989819,17.1002548243,17.3177323116,706400.0
2000-01-20,79.5,80.0,78.0,78.5,286900.0,0.0,1.0,17.2894602383,17.3981989819,16.9632440073,17.071982751,1147600.0
2000-01-21,78.44,78.63,77.69,78.38,166700.0,0.0,1.0,17.0589341017,17.1002548243,16.8958259863,17.0458854525,666800.0
2000-01-24,78.38,80.25,78.06,78.63,603100.0,0.0,1.0,17.0458854525,17.4525683537,16.9762926566,17.1002548243,2412400.0
2000-01-25,78.63,79.0,76.5,77.0,343300.0,0.0,1.0,17.1002548243,17.1807214946,16.6370277764,16.7457665201,1373200.0
2000-01-26,76.94,76.94,76.0,76.69,236800.0,0.0,1.0,16.7327178708,16.7327178708,16.5282890328,16.678348499,947200.0
2000-01-27,76.5,76.5,75.94,76.38,147100.0,0.0,1.0,16.6370277764,16.6370277764,16.5152403836,16.610930478,588400.0
2000-01-28,73.5,73.5,60.81,63.0,2051000.0,0.0,1.0,15.9845953146,15.9845953146,13.2248060011,13.7010816982,8204000.0
2000-01-31,63.38,64.25,58.31,63.25,1508700.0,0.0,1.0,13.7837231434,13.9729285573,12.6811122829,13.7554510701,6034800.0
2000-02-01,63.06,65.44,62.06,64.5,620200.0,0.0,1.0,13.7141303475,14.2317267672,13.4966528602,14.0272979291,2480800.0
2000-02-02,67.0,67.0,63.94,65.25,641300.0,0.0,1.0,14.5709916473,14.5709916473,13.9055105363,14.1904060446,2565200.0
2000-02-03,65.0,65.75,63.0,64.81,459000.0,0.0,1.0,14.1360366728,14.2991447882,13.7010816982,14.0947159502,1836000.0
2000-02-04,65.0,67.19,65.0,65.81,364500.0,0.0,1.0,14.1360366728,14.6123123699,14.1360366728,14.3121934375,1458000.0
2000-02-07,65.75,66.63,63.19,66.63,396000.0,0.0,1.0,14.2991447882,14.490524977,13.7424024208,14.490524977,1584000.0
2000-02-08,68.5,69.63,68.0,68.75,408800.0,0.0,1.0,14.8972078782,15.1429574389,14.7884691346,14.9515772501,1635200.0
2000-02-09,68.5,69.88,68.5,69.69,438100.0,0.0,1.0,14.8972078782,15.1973268107,14.8972078782,15.1560060881,1752400.0
