Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2007-01-10,41.0,41.0,40.0,40.75,494100.0,0.0,1.0,45.5082668031,45.5082668031,44.3983090762,45.2307773714,164700.0
2007-01-11,40.75,41.25,40.75,41.0,549900.0,0.0,1.0,45.2342632428,45.7892848777,45.2342632428,45.5117740603,183300.0
2007-01-12,41.5,42.5,41.48,42.5,1830900.0,0.0,1.0,46.0682956973,47.1783751117,46.046094109,47.1783751117,610300.0
2007-01-16,44.0,44.0,42.45,42.9,779100.0,0.0,1.0,48.8452246128,48.8452246128,47.1245405639,47.6240939975,259700.0
2007-01-17,43.5,43.75,42.75,42.75,1092000.0,0.0,1.0,48.2821328255,48.5596163475,47.4496822596,47.4496822596,364000.0
2007-01-18,43.25,43.25,42.7,42.8,415500.0,0.0,1.0,48.0073176078,48.0073176078,47.3968199272,47.5078195055,138500.0
2007-01-19,43.03,43.05,42.9,42.9,326100.0,0.0,1.0,47.7684094338,47.7906118087,47.6240939975,47.6240939975,108700.0
2007-01-22,43.0,43.0,42.75,42.75,94200.0,0.0,1.0,47.7271657815,47.7271657815,47.4496822596,47.4496822596,31400.0
2007-01-23,42.75,42.75,42.5,42.75,187500.0,0.0,1.0,47.4496822596,47.4496822596,47.1721987376,47.4496822596,62500.0
2007-01-24,42.75,42.85,42.75,42.85,8400.0,0.0,1.0,47.4549510181,47.5659567515,47.4549510181,47.5659567515,2800.0
2007-01-25,43.0,43.0,42.25,42.52,345000.0,0.0,1.0,47.7305604498,47.7305604498,46.8980506745,47.1977541936,115000.0
2007-01-26,42.5,42.5,42.0,42.0,231600.0,0.0,1.0,47.1811435519,47.1811435519,46.6260712749,46.6260712749,77200.0
2007-01-29,42.05,42.05,41.4,42.03,373500.0,0.0,1.0,46.6773407734,46.6773407734,45.9558123191,46.6551398978,124500.0
2007-01-30,42.0,42.0,41.5,41.5,152400.0,0.0,1.0,46.6190667874,46.6190667874,46.0640778971,46.0640778971,50800.0
2007-01-31,41.75,42.25,41.5,42.25,232500.0,0.0,1.0,46.3423798615,46.8973784228,46.0648805809,46.8973784228,77500.0
2007-02-01,42.95,43.25,42.25,42.55,327000.0,0.0,1.0,47.680568878,48.0136112683,46.9034699673,47.2365123576,109000.0
2007-02-02,42.75,42.75,42.0,42.25,1635000.0,0.0,1.0,47.452376984,47.452376984,46.6198791421,46.8973784228,545000.0
2007-02-05,42.25,43.35,42.25,42.5,152400.0,0.0,1.0,46.9008552581,48.1219426139,46.9008552581,47.1783751117,50800.0
2007-02-06,42.38,42.38,41.95,42.1,444900.0,0.0,1.0,47.0434672411,47.0434672411,46.5661503248,46.7326562258,148300.0
2007-02-07,42.4,42.4,42.0,42.25,122700.0,0.0,1.0,47.0638779911,47.0638779911,46.6198791421,46.8973784228,40900.0
2007-02-08,42.25,42.25,41.2,41.75,169500.0,0.0,1.0,46.9001054193,46.9001054193,45.7345406693,46.345074586,56500.0
2007-02-09,41.25,41.75,41.0,41.25,296700.0,0.0,1.0,45.7927707492,46.347834637,45.5152388052,45.7927707492,98900.0
2007-02-12,41.53,41.53,40.75,41.0,384000.0,0.0,1.0,46.1000969932,46.1000969932,45.2342632428,45.5117740603,128000.0
2007-02-13,41.0,41.0,40.6,40.65,237600.0,0.0,1.0,45.5127156024,45.5127156024,45.0686891087,45.1241924204,79200.0
2007-02-14,41.0,41.75,40.97,41.6,1531200.0,0.0,1.0,45.5142896142,46.3468680827,45.4809864754,46.180352389,510400.0
2007-02-15,41.6,41.7,41.45,41.5,519000.0,0.0,1.0,46.1750756751,46.2860734532,46.008579008,46.0640778971,173000.0
2007-02-16,41.55,41.65,41.45,41.65,1360200.0,0.0,1.0,46.1178065764,46.228800094,46.0068130587,46.228800094,453400.0
2007-02-20,41.65,41.67,41.46,41.49,1668000.0,0.0,1.0,46.2319902393,46.2541904747,46.021088003,46.0543883561,556000.0
2007-02-21,41.48,41.48,40.55,41.0,472500.0,0.0,1.0,46.0445948298,46.0445948298,45.0122545889,45.5117740603,157500.0
2007-02-22,41.0,41.04,40.5,40.5,712500.0,0.0,1.0,45.5145254114,45.5589298264,44.9594702235,44.9594702235,237500.0
2007-02-23,40.52,41.05,40.45,41.0,1224300.0,0.0,1.0,44.9789532908,45.5672762238,44.9012502619,45.5117740603,408100.0
2007-02-26,41.0,41.0,39.85,39.85,1321800.0,0.0,1.0,45.5092331392,45.5092331392,44.2327546487,44.2327546487,440600.0
2007-02-27,39.75,39.75,37.8,37.8,977400.0,0.0,1.0,44.1200945094,44.1200945094,41.9557125146,41.9557125146,325800.0
2007-02-28,38.5,39.6,36.75,38.75,2659500.0,0.0,1.0,42.7343765317,43.9553587183,40.7919048711,43.0118724832,886500.0
2007-03-01,38.3,38.96,38.0,38.93,1959900.0,0.0,1.0,42.5160034403,43.2486551967,42.1829799146,43.2153528441,653300.0
2007-03-02,38.9,39.01,37.6,37.6,1372500.0,0.0,1.0,43.1757442683,43.2978350618,41.7328530717,41.7328530717,457500.0
2007-03-05,37.67,37.67,35.93,36.0,1017900.0,0.0,1.0,41.813351625,41.813351625,39.8819677167,39.9596670693,339300.0
2007-03-06,36.85,37.18,36.26,36.39,2245200.0,0.0,1.0,40.9063317632,41.2726571222,40.2513864242,40.3956964141,748400.0
2007-03-07,36.55,37.3,36.45,36.9,2392800.0,0.0,1.0,40.5692022194,41.4016755891,40.4582057701,40.9576897919,797600.0
