Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.5,30.5,30.5,30.5,599800.0,0.0,1.0,21.6760293816,21.6760293816,21.6760293816,21.6760293816,599800.0
2000-01-04,30.13,30.63,29.63,29.94,450500.0,0.0,1.0,21.4130742711,21.7684190151,21.0577295272,21.2780432684,450500.0
2000-01-05,29.94,30.0,29.06,29.19,680300.0,0.0,1.0,21.2780432684,21.3206846377,20.652636519,20.7450261525,680300.0
2000-01-06,29.19,30.0,28.69,29.56,890400.0,0.0,1.0,20.7450261525,21.3206846377,20.3896814085,21.007981263,890400.0
2000-01-07,30.88,30.88,29.75,30.0,852000.0,0.0,1.0,21.9460913871,21.9460913871,21.1430122657,21.3206846377,852000.0
2000-01-10,30.25,30.25,29.25,29.88,913000.0,0.0,1.0,21.4983570097,21.4983570097,20.7876675217,21.2354018991,913000.0
2000-01-11,29.63,29.63,29.06,29.5,936900.0,0.0,1.0,21.0577295272,21.0577295272,20.652636519,20.9653398937,936900.0
2000-01-12,29.44,29.5,28.75,29.13,805200.0,0.0,1.0,20.9226985244,20.9653398937,20.4323227778,20.7023847832,805200.0
2000-01-13,29.63,29.63,29.13,29.38,668600.0,0.0,1.0,21.0577295272,21.0577295272,20.7023847832,20.8800571552,668600.0
2000-01-14,29.31,30.13,29.31,29.44,961500.0,0.0,1.0,20.830308891,21.4130742711,20.830308891,20.9226985244,961500.0
2000-01-18,29.69,29.69,29.13,29.38,510600.0,0.0,1.0,21.1003708964,21.1003708964,20.7023847832,20.8800571552,510600.0
2000-01-19,29.13,29.31,28.88,29.06,653400.0,0.0,1.0,20.7023847832,20.830308891,20.5247124112,20.652636519,653400.0
2000-01-20,29.19,29.19,27.56,27.63,915100.0,0.0,1.0,20.7450261525,20.7450261525,19.5866022872,19.6363505513,915100.0
2000-01-21,27.69,27.69,26.56,26.75,1120600.0,0.0,1.0,19.6789919206,19.6789919206,18.8759127992,19.0109438019,1120600.0
2000-01-24,27.0,27.31,26.63,26.69,772200.0,0.0,1.0,19.1886161739,19.4089299152,18.9256610634,18.9683024327,772200.0
2000-01-25,26.69,27.13,26.44,26.63,524800.0,0.0,1.0,18.9683024327,19.2810058073,18.7906300607,18.9256610634,524800.0
2000-01-26,26.38,27.75,26.06,27.5,842500.0,0.0,1.0,18.7479886914,19.7216332899,18.5205680553,19.5439609179,842500.0
2000-01-27,27.44,27.44,25.69,26.44,809400.0,0.1475,1.0,19.6101109493,19.6101109493,18.3594661183,18.8954567601,809400.0
2000-01-28,26.69,26.69,25.63,25.94,513700.0,0.0,1.0,19.0741203074,19.0741203074,18.316586867,18.5381296656,513700.0
2000-01-31,25.88,26.75,25.63,26.75,590200.0,0.0,1.0,18.4952504142,19.1169995588,18.316586867,19.1169995588,590200.0
2000-02-01,26.5,26.75,26.19,26.31,672200.0,0.0,1.0,18.9383360115,19.1169995588,18.7167932129,18.8025517156,672200.0
2000-02-02,26.5,26.81,25.75,25.94,574700.0,0.0,1.0,18.9383360115,19.1598788101,18.4023453697,18.5381296656,574700.0
2000-02-03,26.06,26.94,25.97,26.44,814800.0,0.0,1.0,18.6238881683,19.2527838547,18.5595692913,18.8954567601,814800.0
2000-02-04,26.5,26.75,26.19,26.5,549000.0,0.0,1.0,18.9383360115,19.1169995588,18.7167932129,18.9383360115,549000.0
2000-02-07,26.5,26.56,26.19,26.31,367000.0,0.0,1.0,18.9383360115,18.9812152628,18.7167932129,18.8025517156,367000.0
2000-02-08,26.44,26.63,25.75,25.81,719400.0,0.0,1.0,18.8954567601,19.0312410561,18.4023453697,18.445224621,719400.0
2000-02-09,26.06,26.13,25.69,25.69,767300.0,0.0,1.0,18.6238881683,18.6739139615,18.3594661183,18.3594661183,767300.0
2000-02-10,17.0,17.44,15.13,16.25,18414900.0,0.0,1.0,12.1491212149,12.4635690581,10.8127178813,11.6131305731,18414900.0
2000-02-11,15.69,15.75,13.75,15.0,11680000.0,0.0,1.0,11.2129242272,11.2558034785,9.8264951003,10.7198128367,11680000.0
2000-02-14,14.94,14.94,13.5,14.19,7098500.0,0.0,1.0,10.6769335853,10.6769335853,9.64783155302,10.1409429435,7098500.0
2000-02-15,13.81,14.13,13.0,13.44,6253900.0,0.0,1.0,9.86937435165,10.0980636922,9.29050445847,9.60495230168,6253900.0
2000-02-16,13.44,13.75,13.13,13.25,4333100.0,0.0,1.0,9.60495230168,9.8264951003,9.38340950305,9.46916800575,4333100.0
2000-02-17,13.56,15.25,13.44,15.06,8587100.0,0.0,1.0,9.69071080437,10.898476384,9.60495230168,10.762692088,8587100.0
2000-02-18,14.94,15.19,14.13,14.25,3060100.0,0.0,1.0,10.6769335853,10.8555971326,10.0980636922,10.1838221949,3060100.0
2000-02-22,14.13,14.63,14.06,14.38,2121600.0,0.0,1.0,10.0980636922,10.4553907867,10.0480378989,10.2767272394,2121600.0
2000-02-23,14.56,14.69,13.88,13.88,2048800.0,0.0,1.0,10.4053649935,10.4982700381,9.91940014489,9.91940014489,2048800.0
2000-02-24,14.06,14.25,13.44,13.5,2369200.0,0.0,1.0,10.0480378989,10.1838221949,9.60495230168,9.64783155302,2369200.0
2000-02-25,13.5,14.06,13.38,13.94,2141600.0,0.0,1.0,9.64783155302,10.0480378989,9.56207305033,9.96227939623,2141600.0
2000-02-28,13.94,14.63,13.75,13.94,1312700.0,0.0,1.0,9.96227939623,10.4553907867,9.8264951003,9.96227939623,1312700.0
2000-02-29,14.13,14.13,13.38,13.38,2367700.0,0.0,1.0,10.0980636922,10.0980636922,9.56207305033,9.56207305033,2367700.0
2000-03-01,13.31,15.13,13.13,15.13,3220400.0,0.0,1.0,9.51204725709,10.8127178813,9.38340950305,10.8127178813,3220400.0
2000-03-02,14.44,14.63,14.0,14.0,2084400.0,0.0,1.0,10.3196064908,10.4553907867,10.0051586476,10.0051586476,2084400.0
2000-03-03,14.25,14.38,13.69,13.94,1360600.0,0.0,1.0,10.1838221949,10.2767272394,9.78361584896,9.96227939623,1360600.0
2000-03-06,14.06,14.06,13.44,13.56,1560600.0,0.0,1.0,10.0480378989,10.0480378989,9.60495230168,9.69071080437,1560600.0
2000-03-07,13.69,13.81,13.25,13.38,1465300.0,0.0,1.0,9.78361584896,9.86937435165,9.46916800575,9.56207305033,1465300.0
