Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,23.44,23.62,22.0,22.25,3457700.0,0.0,1.0,10.7158154256,10.7981041106,10.0575059455,10.1717957858,3457700.0
2000-01-04,21.94,22.0,21.19,21.5,3548100.0,0.0,1.0,10.0240233602,10.0514363685,9.6813607567,9.82299463281,3548100.0
2000-01-05,21.25,21.81,21.25,21.44,2739800.0,0.0,1.0,9.70791329233,9.96374536027,9.70791329233,9.79471345824,2739800.0
2000-01-06,21.5,22.44,21.25,22.12,2451000.0,0.0,1.0,9.82727152681,10.2569289796,9.71300092766,10.1106626127,2451000.0
2000-01-07,22.12,22.69,22.06,22.62,2678000.0,0.0,1.0,10.10842246,10.3689017006,10.0810035926,10.336913022,2678000.0
2000-01-10,22.81,22.94,22.0,22.0,1875800.0,0.0,1.0,10.4290130685,10.4884506704,10.0586710875,10.0586710875,1875800.0
2000-01-11,22.0,22.5,22.0,22.12,2145900.0,0.0,1.0,10.0558127251,10.2843539234,10.0558127251,10.1106626127,2145900.0
2000-01-12,22.06,22.81,22.06,22.31,1786500.0,0.0,1.0,10.0857775771,10.4286757268,10.0857775771,10.2000769604,1786500.0
2000-01-13,22.62,23.19,22.62,22.94,2169600.0,0.0,1.0,10.3366583492,10.5971311723,10.3366583492,10.482888706,2169600.0
2000-01-14,24.0,24.0,22.81,23.06,3185900.0,0.0,1.0,10.9690730843,10.9690730843,10.4251898772,10.5394510552,3185900.0
2000-01-18,22.62,22.87,21.87,22.12,2529300.0,0.0,1.0,10.339203811,10.4534744101,9.99639201355,10.1106626127,2529300.0
2000-01-19,22.06,22.94,21.62,21.81,4464000.0,0.0,1.0,10.088153877,10.4905824995,9.88693956579,9.97382756383,4464000.0
2000-01-20,21.87,21.87,21.0,21.36,3345400.0,0.0,1.0,9.99961957134,9.99961957134,9.60182949237,9.76643228367,3345400.0
2000-01-21,21.37,21.37,20.5,20.87,7066900.0,0.0,1.0,9.76406648938,9.76406648938,9.36655886908,9.53561383403,7066900.0
2000-01-24,20.87,21.12,20.5,20.62,2732400.0,0.0,1.0,9.53672827929,9.65096795681,9.36765355656,9.42248860177,2732400.0
2000-01-25,20.25,21.12,20.19,20.81,2321400.0,0.0,1.0,9.25593511195,9.65359750935,9.22851011902,9.51190171257,2321400.0
2000-01-26,20.94,21.75,20.87,21.56,1641400.0,0.0,1.0,9.56798308935,9.93809131773,9.53599842764,9.85127580737,1641400.0
2000-01-27,21.81,22.56,21.81,22.12,2945600.0,0.0,1.0,9.96896706975,10.3117788672,9.96896706975,10.1106626127,2945600.0
2000-01-28,22.12,22.12,21.0,21.0,2103000.0,0.0,1.0,10.1085716489,10.1085716489,9.59674523627,9.59674523627,2103000.0
2000-01-31,21.0,22.25,20.94,22.19,3286500.0,0.0,1.0,9.59954064154,10.1709418702,9.57211338256,10.1435146112,3286500.0
2000-02-01,22.19,22.69,21.87,22.25,2368900.0,0.0,1.0,10.1443662241,10.3729459047,9.99807522855,10.1717957858,2368900.0
2000-02-02,22.0,22.56,21.75,22.0,1557000.0,0.0,1.0,10.0586710875,10.3147099879,9.94436800699,10.0586710875,1557000.0
2000-02-03,22.19,22.44,21.75,21.94,1863700.0,0.0,1.0,10.1446833258,10.2589767387,9.94352691918,10.030389913,1863700.0
2000-02-04,22.06,22.37,21.19,21.31,1811400.0,0.0,1.0,10.0808828469,10.2225452985,9.68331403106,9.73815110911,1811400.0
2000-02-07,21.25,21.44,20.87,21.31,1581200.0,0.0,1.0,9.71073257008,9.79755794365,9.53708182295,9.73815110911,1581200.0
