Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2005-12-05,40.5,43.1,40.5,42.8,905200.0,0.0,1.0,34.7995737231,37.0336204312,34.7995737231,36.775845811,905200.0
2005-12-06,42.95,44.39,42.95,44.39,850400.0,0.0,1.0,36.9047331211,38.1420512979,36.9047331211,38.1420512979,850400.0
2005-12-07,44.28,44.95,44.28,44.9,870900.0,0.0,1.0,38.0475339372,38.6232305889,38.0475339372,38.5802681522,870900.0
2005-12-08,44.9,44.9,43.5,43.9,965300.0,0.0,1.0,38.5802681522,38.5802681522,37.3773199248,37.7210194183,965300.0
2005-12-09,44.1,44.25,42.83,43.65,908500.0,0.0,1.0,37.8928691651,38.0217564752,36.8016232731,37.5062072349,908500.0
2005-12-12,43.5,44.2,43.45,43.52,752200.0,0.0,1.0,37.3773199248,37.9787940385,37.3343574881,37.3945048995,752200.0
2005-12-13,43.45,44.24,43.3,43.9,143700.0,0.0,1.0,37.3343574881,38.0131639879,37.205470178,37.7210194183,143700.0
2005-12-14,43.91,44.18,43.67,43.9,164300.0,0.0,1.0,37.7296119057,37.9616090638,37.5233922095,37.7210194183,164300.0
2005-12-15,43.8,43.8,42.88,42.91,180400.0,0.0,1.0,37.6350945449,37.6350945449,36.8445857098,36.8703631718,180400.0
2005-12-16,43.0,43.19,42.79,43.19,147000.0,0.0,1.0,36.9476955578,37.1109528173,36.7672533237,37.1109528173,147000.0
2005-12-19,43.1,43.1,42.41,42.58,276300.0,0.0,1.0,37.0336204312,37.0336204312,36.4407388048,36.5868110896,276300.0
2005-12-20,42.58,42.58,41.85,42.0,760000.0,0.0,1.0,36.5868110896,36.5868110896,35.9595595138,36.0884468239,760000.0
2005-12-21,42.1,42.44,41.8,41.83,401500.0,0.0,1.0,36.1743716973,36.4665162668,35.9165970771,35.9423745392,401500.0
2005-12-22,41.98,41.98,41.38,41.55,388000.0,0.0,1.0,36.0712618492,36.0712618492,35.5557126089,35.7017848937,388000.0
2005-12-23,41.59,41.59,41.25,41.45,625900.0,0.0,1.0,35.736154843,35.736154843,35.4440102735,35.6158600203,625900.0
2005-12-27,41.45,41.45,40.2,40.34,491600.0,0.0,1.0,35.6158600203,35.6158600203,34.5417991029,34.6620939256,491600.0
2005-12-28,40.24,40.4,39.94,40.26,908400.0,0.0,1.0,34.5761690523,34.7136488497,34.3183944321,34.5933540269,908400.0
2005-12-29,40.25,40.6,39.82,39.95,660100.0,0.0,1.0,34.5847615396,34.8854985965,34.215284584,34.3269869194,660100.0
2005-12-30,39.95,41.15,39.78,41.15,3564700.0,0.0,1.0,34.3269869194,35.3580854001,34.1809146347,35.3580854001,3564700.0
2006-01-03,41.12,42.1,38.65,41.59,6392100.0,0.0,1.0,35.3323079381,36.1743716973,33.2099635653,35.736154843,6392100.0
2006-01-04,41.78,42.2,41.68,41.98,6084400.0,0.0,1.0,35.8994121025,36.2602965707,35.8134872291,36.0712618492,6084400.0
2006-01-05,41.87,42.42,41.75,42.25,5540600.0,0.0,1.0,35.9767444885,36.4493312922,35.8736346404,36.3032590074,5540600.0
2006-01-06,42.4,42.95,42.34,42.65,5627600.0,0.0,1.0,36.4321463175,36.9047331211,36.3805913934,36.646958501,5627600.0
2006-01-09,42.67,42.84,42.39,42.5,5130600.0,0.0,1.0,36.6641434756,36.8102157604,36.4235538301,36.5180711909,5130600.0
2006-01-10,42.25,42.51,41.53,42.4,4909000.0,0.0,1.0,36.3032590074,36.5266636782,35.684599919,36.4321463175,4909000.0
2006-01-11,42.35,42.4,41.64,41.81,5048000.0,0.0,1.0,36.3891838808,36.4321463175,35.7791172797,35.9251895645,5048000.0
2006-01-12,42.58,42.58,41.13,41.65,6165400.0,0.0,1.0,36.5868110896,36.5868110896,35.3409004254,35.7877097671,6165400.0
2006-01-13,41.58,42.26,41.46,42.18,4719200.0,0.0,1.0,35.7275623557,36.3118514947,35.6244525076,36.243111596,4719200.0
2006-01-17,41.86,42.15,41.61,41.7,4465500.0,0.0,1.0,35.9681520012,36.217334134,35.7533398177,35.8306722037,4465500.0
2006-01-18,41.7,41.88,41.12,41.81,3201100.0,0.0,1.0,35.8306722037,35.9853369759,35.3323079381,35.9251895645,3201100.0
2006-01-19,41.95,42.9,41.83,42.77,3559200.0,0.0,1.0,36.0454843872,36.8617706844,35.9423745392,36.750068349,3559200.0
2006-01-20,42.7,42.72,42.41,42.45,3967100.0,0.0,1.0,36.6899209377,36.7071059123,36.4407388048,36.4751087542,3967100.0
2006-01-23,42.45,43.23,42.27,43.15,3843000.0,0.0,1.0,36.4751087542,37.1453227666,36.3204439821,37.0765828679,3843000.0
2006-01-24,43.22,43.55,43.03,43.46,3727800.0,0.0,1.0,37.1367302793,37.4202823615,36.9734730198,37.3429499754,3727800.0
2006-01-25,43.48,43.8,43.09,43.28,3816900.0,0.0,1.0,37.3601349501,37.6350945449,37.0250279439,37.1882852033,3816900.0
2006-01-26,43.5,43.85,42.83,43.1,2461200.0,0.0,1.0,37.3773199248,37.6780569816,36.8016232731,37.0336204312,2461200.0
2006-01-27,43.1,43.59,42.79,43.29,2552500.0,0.0,1.0,37.0336204312,37.4546523108,36.7672533237,37.1968776907,2552500.0
2006-01-30,43.27,43.34,42.43,42.55,2645800.0,0.0,1.0,37.179692716,37.2398401273,36.4579237795,36.5610336276,2645800.0
2006-01-31,42.55,42.57,41.43,41.48,3835300.0,0.0,1.0,36.5610336276,36.5782186022,35.5986750456,35.6416374823,3835300.0
2006-02-01,41.4,42.15,41.32,42.09,3465900.0,0.0,1.0,35.5728975836,36.217334134,35.5041576849,36.16577921,3465900.0
2006-02-02,42.17,42.33,41.41,41.77,2738300.0,0.0,1.0,36.2345191087,36.3719989061,35.5814900709,35.8908196151,2738300.0
2006-02-03,41.52,42.08,41.52,41.99,2974500.0,0.0,1.0,35.6760074316,36.1571867226,35.6760074316,36.0798543366,2974500.0
2006-02-06,41.99,42.24,41.86,41.88,2461600.0,0.0,1.0,36.0798543366,36.2946665201,35.9681520012,35.9853369759,2461600.0
2006-02-07,41.95,42.36,41.84,41.85,3277500.0,0.0,1.0,36.0454843872,36.3977763681,35.9509670265,35.9595595138,3277500.0
2006-02-08,41.8,42.51,41.41,42.5,2953400.0,0.0,1.0,35.9165970771,36.5266636782,35.5814900709,36.5180711909,2953400.0
2006-02-09,42.38,42.89,42.2,42.85,2518600.0,0.0,1.0,36.4149613428,36.8531781971,36.2602965707,36.8188082477,2518600.0
2006-02-10,42.85,43.1,42.62,42.95,2515300.0,0.0,1.0,36.8188082477,37.0336204312,36.6211810389,36.9047331211,2515300.0
2006-02-13,42.85,42.89,42.51,42.77,1838000.0,0.0,1.0,36.8188082477,36.8531781971,36.5266636782,36.750068349,1838000.0
2006-02-14,42.77,43.44,42.51,43.19,2202300.0,0.0,1.0,36.750068349,37.3257650007,36.5266636782,37.1109528173,2202300.0
2006-02-15,43.0,43.5,42.8,43.4,1790800.0,0.0,1.0,36.9476955578,37.3773199248,36.775845811,37.2913950514,1790800.0
2006-02-16,43.5,43.9,43.01,43.6,2503300.0,0.0,1.0,37.3773199248,37.7210194183,36.9562880452,37.4632447982,2503300.0
2006-02-17,43.61,43.68,42.9,42.92,2299800.0,0.0,1.0,37.4718372855,37.5319846969,36.8617706844,36.8789556591,2299800.0
2006-02-21,42.8,42.8,42.22,42.42,1950200.0,0.0,1.0,36.775845811,36.775845811,36.2774815454,36.4493312922,1950200.0
2006-02-22,42.45,42.47,41.52,41.9,2962000.0,0.0,1.0,36.4751087542,36.4922937289,35.6760074316,36.0025219505,2962000.0
2006-02-23,41.35,41.845,40.47,40.96,5608400.0,0.0,1.0,35.5299351469,35.9552632702,34.773796261,35.1948281407,5608400.0
2006-02-24,40.75,40.76,39.87,40.16,5639000.0,0.0,1.0,35.0143859065,35.0229783939,34.2582470207,34.5074291535,5639000.0
2006-02-27,40.17,40.49,39.97,40.16,3749200.0,0.0,1.0,34.5160216409,34.7909812357,34.3441718941,34.5074291535,3749200.0
2006-02-28,40.15,40.24,39.8,39.96,4406900.0,0.0,1.0,34.4988366662,34.5761690523,34.1980996093,34.3355794068,4406900.0
