Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,40.31,40.38,38.0,39.12,4518500.0,0.0,1.0,12.5672458507,12.5890693984,11.8470687751,12.196245539,9037000.0
2000-01-04,37.25,37.69,36.0,37.19,7618600.0,0.0,1.0,11.6132450493,11.7504216351,11.2235388396,11.5945391512,15237200.0
2000-01-05,37.0,37.75,36.06,37.06,4114100.0,0.0,1.0,11.5353038074,11.7691275332,11.2422447377,11.5540097054,8228200.0
2000-01-06,37.06,39.0,36.94,38.44,4163400.0,0.0,1.0,11.5540097054,12.1588337429,11.5165979093,11.984245361,8326800.0
2000-01-07,39.25,39.69,38.56,39.13,3855600.0,0.0,1.0,12.2367749848,12.3739515707,12.0216571571,12.1993631887,7711200.0
2000-01-10,38.38,38.63,37.75,37.88,4476600.0,0.0,1.0,11.9655394629,12.0434807048,11.7691275332,11.809656979,8953200.0
2000-01-11,37.81,38.0,37.06,37.25,3085400.0,0.0,1.0,11.7878334313,11.8470687751,11.5540097054,11.6132450493,6170800.0
2000-01-12,37.31,38.63,37.31,38.31,3515000.0,0.0,1.0,11.6319509474,12.0434807048,11.6319509474,11.9437159151,7030000.0
2000-01-13,39.88,40.5,39.69,40.44,5538500.0,0.0,1.0,12.4331869145,12.6264811946,12.3739515707,12.6077752965,11077000.0
2000-01-14,43.75,43.75,41.13,41.69,5748700.0,0.0,1.0,13.6397173398,13.6397173398,12.8228931242,12.9974815062,11497400.0
2000-01-18,39.75,40.25,38.5,38.88,6372000.0,0.0,1.0,12.3926574687,12.5485399526,12.002951259,12.1214219468,12744000.0
2000-01-19,38.38,38.94,36.5,36.75,8570300.0,0.0,1.0,11.9655394629,12.1401278448,11.3794213235,11.4573625654,17140600.0
2000-01-20,36.81,37.31,35.81,36.38,7482600.0,0.0,1.0,11.4760684635,11.6319509474,11.1643034957,11.3420095274,14965200.0
2000-01-21,36.5,37.63,36.06,36.63,7008300.0,0.0,1.0,11.3794213235,11.7317157371,11.2422447377,11.4199507693,14016600.0
2000-01-24,37.0,37.44,35.44,35.88,4770000.0,0.0,1.0,11.5353038074,11.6724803932,11.0489504577,11.1861270435,9540000.0
2000-01-25,35.81,38.0,35.81,37.63,5350500.0,0.0,1.0,11.1643034957,11.8470687751,11.1643034957,11.7317157371,10701000.0
