Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,31.0,31.81,30.63,31.0,2366700.0,0.0,1.0,14.1008905693,14.4693331938,13.9325896173,14.1008905693,2366700.0
2000-01-04,29.5,31.38,29.5,30.31,3364600.0,0.0,1.0,13.4185894127,14.2737401956,13.4185894127,13.7870320372,3364600.0
2000-01-05,30.5,32.25,30.5,32.0,2731700.0,0.0,1.0,13.8734568504,14.6694748664,13.8734568504,14.555758007,2731700.0
2000-01-06,32.19,33.13,32.19,32.88,8654600.0,0.0,1.0,14.6421828202,15.0697582116,14.6421828202,14.9560413522,8654600.0
2000-01-07,33.0,33.94,33.0,33.75,2319500.0,0.0,1.0,15.0106254447,15.4382008362,15.0106254447,15.351776023,2319500.0
2000-01-10,33.88,34.38,33.06,33.13,1683300.0,0.0,1.0,15.4109087899,15.6383425088,15.037917491,15.0697582116,1683300.0
2000-01-11,33.0,33.13,32.44,32.75,1411600.0,0.0,1.0,15.0106254447,15.0697582116,14.7558996796,14.8969085853,1411600.0
2000-01-12,33.0,33.31,31.69,32.31,3164000.0,0.0,1.0,15.0106254447,15.1516343504,14.4147491013,14.6967669127,3164000.0
2000-01-13,32.5,33.56,32.5,33.06,2522400.0,0.0,1.0,14.7831917258,15.2653512098,14.7831917258,15.037917491,2522400.0
2000-01-14,33.75,35.0,33.69,34.94,3368000.0,0.0,1.0,15.351776023,15.9203603201,15.3244839767,15.8930682739,3368000.0
2000-01-18,35.81,36.75,35.19,36.56,2556000.0,0.0,1.0,16.2888029447,16.7163783361,16.0067851333,16.629953523,2556000.0
2000-01-19,36.44,36.44,35.69,35.81,2138900.0,0.0,1.0,16.5753694305,16.5753694305,16.2342188522,16.2888029447,2138900.0
2000-01-20,35.81,38.25,35.81,38.0,2515400.0,0.0,1.0,16.2888029447,17.3986794927,16.2888029447,17.2849626333,2515400.0
2000-01-21,40.5,40.75,38.56,39.19,4951000.0,0.0,1.0,18.4221312276,18.535848087,17.5396883984,17.8262548842,4951000.0
2000-01-24,40.0,40.0,37.13,37.56,2783200.0,0.0,1.0,18.1946975087,18.1946975087,16.8892279625,17.0848209607,2783200.0
2000-01-25,37.56,37.56,36.5,37.0,2112800.0,0.0,1.0,17.0848209607,17.0848209607,16.6026614767,16.8300951956,2112800.0
2000-01-26,37.0,41.0,36.94,40.63,5487700.0,0.0,1.0,16.8300951956,18.6495649465,16.8028031493,18.4812639945,5487700.0
2000-01-27,40.5,40.56,38.06,38.81,2717200.0,0.0,1.0,18.4221312276,18.4494232739,17.3122546796,17.6534052578,2717200.0
