Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2006-10-02,19.2,20.08,19.17,19.76,7111800.0,0.0,1.0,15.7155645804,16.4358612904,15.6910090108,16.173935214,7111800.0
2006-10-03,19.89,20.04,19.63,20.0,11416000.0,0.0,1.0,16.2803426825,16.4031205308,16.0675277455,16.3703797713,11416000.0
2006-10-04,20.0,20.05,19.5,19.78,10722800.0,0.0,1.0,16.3703797713,16.4113057207,15.961120277,16.1903055938,10722800.0
2006-10-05,19.95,19.95,19.59,19.64,8782400.0,0.0,1.0,16.3294538219,16.3294538219,16.034786986,16.0757129354,8782400.0
2006-10-06,19.7,19.78,19.32,19.57,6282100.0,0.0,1.0,16.1248240747,16.1903055938,15.8137868591,16.0184166062,6282100.0
2006-10-09,19.9,19.96,19.51,19.73,3518000.0,0.0,1.0,16.2885278724,16.3376390117,15.9693054669,16.1493796444,3518000.0
2006-10-10,19.58,19.82,19.5,19.71,6132200.0,0.0,1.0,16.0266017961,16.2230463533,15.961120277,16.1330092646,6132200.0
2006-10-11,19.68,19.68,19.28,19.31,9504800.0,0.0,1.0,16.1084536949,16.1084536949,15.7810460995,15.8056016692,9504800.0
2006-10-12,19.42,19.42,18.95,19.03,8323700.0,0.0,1.0,15.8956387579,15.8956387579,15.5109348333,15.5764163524,8323700.0
2006-10-13,19.0,19.02,18.57,18.87,10659500.0,0.0,1.0,15.5518607827,15.5682311625,15.1998976176,15.4454533142,10659500.0
2006-10-16,19.06,19.22,18.72,18.74,9966300.0,0.0,1.0,15.600971922,15.7319349602,15.3226754659,15.3390458457,9966300.0
2006-10-17,18.5,18.68,18.36,18.58,4902400.0,0.0,1.0,15.1426012884,15.2899347064,15.02800863,15.2080828075,4902400.0
2006-10-18,18.55,19.12,18.55,19.0,6600200.0,0.0,1.0,15.1835272379,15.6500830614,15.1835272379,15.5518607827,6600200.0
2006-10-19,19.4,19.75,19.2,19.5,8959200.0,0.0,1.0,15.8792683781,16.1657500241,15.7155645804,15.961120277,8959200.0
2006-10-20,19.6,20.0,19.44,19.63,5712600.0,0.0,1.0,16.0429721759,16.3703797713,15.9120091377,16.0675277455,5712600.0
2006-10-23,19.66,19.88,19.14,19.58,6780900.0,0.0,1.0,16.0920833152,16.2721574927,15.6664534411,16.0266017961,6780900.0
2006-10-24,20.0,21.0,19.9,19.95,14763500.0,0.0,1.0,16.3703797713,17.1888987599,16.2885278724,16.3294538219,14763500.0
2006-10-25,20.06,22.2,20.05,21.85,11829500.0,0.0,1.0,16.4194909106,18.1711215461,16.4113057207,17.8846399001,11829500.0
2006-10-26,21.72,23.04,21.65,22.34,13490500.0,0.0,1.0,17.7782324316,18.8586774965,17.7209361024,18.2857142045,13490500.0
2006-10-27,22.1,22.34,21.52,21.95,4564700.0,0.0,1.0,18.0892696473,18.2857142045,17.6145286339,17.966491799,4564700.0
2006-10-30,21.98,22.2,21.45,22.11,5795000.0,0.0,1.0,17.9910473686,18.1711215461,17.5572323047,18.0974548372,5795000.0
2006-10-31,22.36,22.78,21.81,22.05,4165200.0,0.0,1.0,18.3020845843,18.6458625595,17.8518991406,18.0483436978,4165200.0
2006-11-01,22.15,22.58,21.94,21.97,8517800.0,0.0,1.0,18.1301955967,18.4821587618,17.9583066091,17.9828621788,8517800.0
2006-11-02,21.68,22.08,21.44,21.83,7359000.0,0.0,1.0,17.7454916721,18.0728992675,17.5490471148,17.8682695204,7359000.0
2006-11-03,22.08,22.29,21.34,21.54,4821000.0,0.0,1.0,18.0728992675,18.2447882551,17.467195216,17.6308990137,4821000.0
2006-11-06,22.05,22.41,21.79,22.23,5462100.0,0.0,1.0,18.0483436978,18.3430105337,17.8355287608,18.1956771158,5462100.0
2006-11-07,22.13,22.94,22.13,22.5,5057500.0,0.0,1.0,18.1138252169,18.7768255977,18.1138252169,18.4166772427,5057500.0
2006-11-08,22.34,22.88,22.22,22.62,4660200.0,0.0,1.0,18.2857142045,18.7277144584,18.1874919259,18.5148995213,4660200.0
2006-11-09,22.6,23.55,22.5,23.28,8630700.0,0.0,1.0,18.4985291416,19.2761221807,18.4166772427,19.0551220538,8630700.0
2006-11-10,23.28,23.5,22.76,22.83,4421300.0,0.0,1.0,19.0551220538,19.2351962313,18.6294921797,18.6867885089,4421300.0
2006-11-13,23.2,23.44,22.88,23.24,5379500.0,0.0,1.0,18.9896405347,19.1860850919,18.7277144584,19.0223812942,5379500.0
2006-11-14,23.48,23.55,22.9,23.42,4358300.0,0.0,1.0,19.2188258515,19.2761221807,18.7440848381,19.1697147122,4358300.0
2006-11-15,23.63,23.8,23.31,23.35,4149900.0,0.0,1.0,19.3416036998,19.4807519278,19.0796776234,19.112418383,4149900.0
2006-11-16,23.5,23.8,23.1,23.12,4629000.0,0.0,1.0,19.2351962313,19.4807519278,18.9077886358,18.9241590156,4629000.0
2006-11-17,22.98,23.2,22.65,22.68,4082900.0,0.0,1.0,18.8095663572,18.9896405347,18.539455091,18.5640106606,4082900.0
2006-11-20,22.68,22.82,22.21,22.51,3844400.0,0.0,1.0,18.5640106606,18.678603319,18.179306736,18.4248624326,3844400.0
2006-11-21,22.63,22.84,22.54,22.55,4081200.0,0.0,1.0,18.5230847112,18.6949736988,18.4494180022,18.4576031921,4081200.0
2006-11-22,22.45,22.66,22.36,22.54,2753500.0,0.0,1.0,18.3757512933,18.5476402809,18.3020845843,18.4494180022,2753500.0
2006-11-24,22.52,22.55,22.36,22.36,886000.0,0.0,1.0,18.4330476225,18.4576031921,18.3020845843,18.3020845843,886000.0
2006-11-27,22.1675,22.37,21.72,21.85,4876600.0,0.0,1.0,18.144519679,18.3102697742,17.7782324316,17.8846399001,4876600.0
2006-11-28,21.66,22.5,21.49,21.62,4878100.0,0.0,1.0,17.7291212923,18.4166772427,17.5899730642,17.6963805328,4878100.0
2006-11-29,22.5,23.84,21.52,22.16,5716900.0,0.0,1.0,18.4166772427,19.5134926874,17.6145286339,18.1383807866,5716900.0
2006-11-30,22.19,22.94,22.09,22.8,6002400.0,0.0,1.0,18.1629363562,18.7768255977,18.0810844574,18.6622329393,6002400.0
2006-12-01,22.41,22.85,22.41,22.85,4519400.0,0.0,1.0,18.3430105337,18.7031588887,18.3430105337,18.7031588887,4519400.0
2006-12-04,23.05,23.75,22.9,23.5,5347100.0,0.0,1.0,18.8668626864,19.4398259784,18.7440848381,19.2351962313,5347100.0
2006-12-05,23.5,24.14,23.38,24.12,7449100.0,0.0,1.0,19.2351962313,19.7590483839,19.1369739526,19.7426780042,7449100.0
2006-12-06,24.1,24.1,23.35,23.45,5195700.0,0.0,1.0,19.7263076244,19.7263076244,19.112418383,19.1942702818,5195700.0
2006-12-07,23.45,24.06,23.34,23.91,5155300.0,0.0,1.0,19.1942702818,19.6935668649,19.1042331931,19.5707890166,5155300.0
