Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,70.57,70.64,68.28,69.39,973700.0,0.0,1.0,15.8542889148,15.8700151472,15.3398164532,15.5891895677,973700.0
2000-01-04,69.27,69.95,66.1,66.79,1201700.0,0.0,1.0,15.5622303121,15.7149994273,14.8500566426,15.0050723624,1201700.0
2000-01-05,66.79,70.39,66.48,70.33,1184600.0,0.0,1.0,15.0050723624,15.8138500313,14.9354276187,15.8003704035,1184600.0
2000-01-06,70.7,73.99,69.71,73.62,1307700.0,0.0,1.0,15.883494775,16.6226277002,15.6610809161,16.5395033287,1307700.0
2000-01-07,71.57,72.75,70.2,71.19,1728000.0,0.0,1.0,16.0789493783,16.3440487254,15.7711645432,15.9935784022,1728000.0
2000-01-10,71.69,71.88,69.64,70.88,821900.0,0.0,1.0,16.105908634,16.1485941221,15.6453546836,15.9239336585,821900.0
2000-01-11,70.88,71.5,69.64,70.14,677300.0,0.0,1.0,15.9239336585,16.0632231459,15.6453546836,15.7576849154,677300.0
2000-01-12,69.15,69.39,68.28,68.46,689400.0,0.0,1.0,15.5352710565,15.5891895677,15.3398164532,15.3802553366,689400.0
2000-01-13,68.46,68.9,67.28,68.09,805000.0,0.0,1.0,15.3802553366,15.4791059406,15.1151559896,15.2971309651,805000.0
2000-01-14,68.53,68.96,68.15,68.77,863300.0,0.0,1.0,15.3959815691,15.4925855684,15.3106105929,15.4499000803,863300.0
2000-01-18,68.53,68.71,65.36,66.1,825700.0,0.0,1.0,15.3959815691,15.4364204525,14.6838078995,14.8500566426,825700.0
2000-01-19,61.57,63.62,61.26,63.06,3095500.0,0.0,1.0,13.8323447426,14.2928986929,13.7626999988,14.1670888333,3095500.0
2000-01-20,63.06,64.74,62.38,64.55,2979700.0,0.0,1.0,14.1670888333,14.5445184121,14.0143197181,14.501832924,2979700.0
2000-01-21,64.55,64.55,62.26,63.44,1481300.0,0.0,1.0,14.501832924,14.501832924,13.9873604624,14.2524598094,1481300.0
2000-01-24,63.44,63.93,58.66,60.58,1534700.0,0.0,1.0,14.2524598094,14.3625434366,13.1785827935,13.6099308836,1534700.0
2000-01-25,59.09,59.65,55.74,57.79,1838000.0,0.0,1.0,13.2751867929,13.4009966525,12.5225742399,12.9831281902,1838000.0
2000-01-26,58.0,60.0,57.5,57.88,2560000.0,0.163706,1.0,13.0671614042,13.5177531767,12.954513461,13.0401258978,2560000.0
2000-01-27,58.0,58.81,56.5,57.06,1335000.0,0.0,1.0,13.0671614042,13.249651072,12.7292175747,12.855383271,1335000.0
