Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,52.0,53.44,51.0,51.38,451500.0,0.0,1.0,32.091006296,32.9796803165,31.4738715595,31.7083827594,451500.0
2000-01-04,51.13,51.13,48.0,49.06,454200.0,0.0,1.0,31.5604911213,31.5604911213,29.6284680975,30.2827634346,454200.0
2000-01-05,49.63,50.0,49.06,49.13,610200.0,0.0,1.0,30.6332190087,30.8615948103,30.2813968279,30.3246030606,610200.0
2000-01-06,49.38,50.56,49.0,49.88,601300.0,0.0,1.0,30.4773233246,31.2056190218,30.2427874222,30.7859231963,601300.0
2000-01-07,50.13,53.5,50.13,53.19,462200.0,0.0,1.0,30.9380188979,33.0178338527,30.9380188979,32.8265155631,462200.0
2000-01-10,54.19,54.88,53.25,54.0,394100.0,0.0,1.0,33.4469464047,33.8728255894,32.8667631675,33.3296753248,394100.0
2000-01-11,54.13,54.13,52.56,53.13,479700.0,0.0,1.0,33.4126845471,33.4126845471,32.4435747238,32.7954171437,479700.0
2000-01-12,53.13,53.13,51.0,51.44,1886800.0,0.0,1.0,32.7886195412,32.7886195412,31.4741124902,31.7456538528,1886800.0
2000-01-13,51.81,51.81,49.13,51.38,670300.0,0.0,1.0,31.9737506961,31.9737506961,30.3198296023,31.7083827594,670300.0
2000-01-14,51.38,51.94,50.56,51.56,350600.0,0.0,1.0,31.7091092421,32.0547126126,31.2030471639,31.8201960398,350600.0
2000-01-18,53.31,53.31,50.63,50.88,550700.0,0.0,1.0,32.9005852686,32.9005852686,31.2466072435,31.4008962384,550700.0
2000-01-19,50.81,51.19,50.63,50.88,584500.0,0.0,1.0,31.3576953198,31.592214592,31.2466072435,31.4008962384,584500.0
2000-01-20,51.75,52.25,50.56,51.13,292300.0,0.0,1.0,31.9388007958,32.2473882431,31.2043626712,31.5561523611,292300.0
2000-01-21,50.88,50.94,49.5,49.81,423400.0,0.0,1.0,31.4091832763,31.4462224075,30.5572832582,30.7486521028,423400.0
2000-01-24,49.94,50.5,48.31,48.38,304600.0,0.0,1.0,30.8167847094,31.1623473733,29.8109505269,29.8541458599,304600.0
2000-01-25,48.63,49.0,47.63,47.88,266600.0,0.0,1.0,30.00948295,30.2378092649,29.3923848018,29.5466593388,266600.0
2000-01-26,48.5,48.56,46.5,46.75,220500.0,0.0,1.0,29.9373580605,29.9743939674,28.7028278312,28.8571441099,220500.0
2000-01-27,47.0,48.13,46.81,47.56,253400.0,0.0,1.0,29.0053899624,29.7027535935,28.8881341307,29.3509860982,253400.0
2000-01-28,47.81,47.81,46.31,46.63,383700.0,0.0,1.0,29.5077373486,29.5077373486,28.5819560053,28.7794560252,383700.0
2000-01-31,46.88,46.88,45.13,45.38,245800.0,0.0,1.0,28.9350495653,28.9350495653,27.8549229284,28.0092267337,245800.0
2000-02-01,45.31,45.63,44.94,45.63,979000.0,0.0,1.0,27.966967915,28.1644834686,27.7385905562,28.1644834686,979000.0
2000-02-02,46.13,46.5,44.75,44.88,691900.0,0.0,1.0,28.4637131712,28.6920152279,27.6122082032,27.6924224393,691900.0
2000-02-03,43.25,46.88,42.63,46.63,995500.0,0.0,1.0,26.693362065,28.9337529157,26.3107057764,28.7794560252,995500.0
2000-02-04,46.5,48.38,46.38,47.13,231200.0,0.0,1.0,28.6981289512,29.8583973906,28.6240692636,29.0869423112,231200.0
2000-02-07,47.0,47.0,45.13,45.38,403500.0,0.0,1.0,29.0091153919,29.0091153919,27.8549229284,28.0092267337,403500.0
2000-02-08,45.25,46.13,45.13,45.25,483500.0,0.0,1.0,27.9253667734,28.4684457294,27.8513105521,27.9253667734,483500.0
2000-02-09,45.13,45.13,44.5,44.63,537700.0,0.0,1.0,27.8581543455,27.8581543455,27.4692636466,27.5495109337,537700.0
2000-02-10,45.75,45.75,44.25,44.5,620500.0,0.0,1.0,28.2403912684,28.2403912684,27.3144768006,27.4687958785,620500.0
2000-02-11,43.75,44.44,43.75,44.0,850600.0,0.45,1.0,27.866260816,28.305751558,27.866260816,28.0254965921,850600.0
2000-02-14,43.75,44.44,42.5,42.56,198600.0,0.0,1.0,27.866260816,28.305751558,27.0700819356,27.1082985218,198600.0
2000-02-15,42.94,44.63,42.94,44.56,2043200.0,0.0,1.0,27.3503369015,28.4267707479,27.3503369015,28.3821847306,2043200.0
2000-02-16,44.88,45.75,44.81,45.19,334900.0,0.0,1.0,28.586006524,29.1401470248,28.5414205067,28.7834588863,334900.0
2000-02-17,45.44,45.5,43.75,44.06,297400.0,0.0,1.0,28.9426946624,28.9809112487,27.866260816,28.0637131784,297400.0
2000-02-18,43.63,43.63,41.5,42.0,1266400.0,0.0,1.0,27.7898276435,27.7898276435,26.4331388312,26.7516103834,1266400.0
2000-02-22,42.75,42.81,41.38,41.63,286400.0,0.0,1.0,27.2293177117,27.2675342979,26.3567056587,26.5159414348,286400.0
2000-02-23,41.88,42.25,41.06,41.31,423900.0,0.0,1.0,26.6751772109,26.9108461595,26.1528838653,26.3121196414,423900.0
2000-02-24,41.19,41.19,39.38,39.81,481000.0,0.0,1.0,26.2356864689,26.2356864689,25.08281945,25.3567049848,481000.0
2000-02-25,39.38,39.94,39.0,39.56,502900.0,0.0,1.0,25.08281945,25.4395075884,24.8407810703,25.1974692087,502900.0
2000-02-28,41.0,41.38,39.63,40.75,410300.0,0.0,1.0,26.114667279,26.3567056587,25.242055226,25.9554315029,410300.0
2000-02-29,41.25,41.56,40.31,40.44,496200.0,0.0,1.0,26.2739030551,26.4713554175,25.675176537,25.7579791406,496200.0
2000-03-01,40.88,42.19,40.63,41.94,462600.0,0.0,1.0,26.0382341065,26.8726295732,25.8789983304,26.7133937971,462600.0
2000-03-02,42.19,43.25,42.0,42.56,333400.0,0.0,1.0,26.8726295732,27.5477892639,26.7516103834,27.1082985218,333400.0
2000-03-03,42.63,44.06,42.63,43.5,216400.0,0.0,1.0,27.1528845391,28.0637131784,27.1528845391,27.7070250399,216400.0
2000-03-06,42.5,42.88,41.06,42.63,361600.0,0.0,1.0,27.0700819356,27.3121203152,26.1528838653,27.1528845391,361600.0
2000-03-07,41.75,43.19,41.63,42.25,441000.0,0.0,1.0,26.5923746073,27.5095726776,26.5159414348,26.9108461595,441000.0
2000-03-08,42.25,42.75,42.19,42.44,555700.0,0.0,1.0,26.9108461595,27.2293177117,26.8726295732,27.0318653493,555700.0
2000-03-09,42.44,42.44,41.69,41.69,351600.0,0.0,1.0,27.0318653493,27.0318653493,26.554158021,26.554158021,351600.0
2000-03-10,41.38,43.0,41.06,41.94,222900.0,0.0,1.0,26.3567056587,27.3885534878,26.1528838653,26.7133937971,222900.0
2000-03-13,41.94,42.31,41.06,41.94,331600.0,0.0,1.0,26.7133937971,26.9490627457,26.1528838653,26.7133937971,331600.0
2000-03-14,42.06,44.5,42.06,43.75,665000.0,0.0,1.0,26.7898269697,28.3439681443,26.7898269697,27.866260816,665000.0
2000-03-15,44.06,47.5,44.06,46.63,353100.0,0.0,1.0,28.0637131784,30.2547974574,28.0637131784,29.7006569566,353100.0
2000-03-16,51.0,52.88,50.88,52.0,1248100.0,0.0,1.0,32.4840983227,33.6815513589,32.4076651502,33.1210414271,1248100.0
2000-03-17,52.13,52.38,51.38,51.88,463200.0,0.0,1.0,33.2038440306,33.3630798067,32.7261367024,33.0446082545,463200.0
2000-03-20,49.88,50.38,47.25,49.06,690500.0,0.0,1.0,31.7707220458,32.089193598,30.0955616813,31.2484287002,690500.0
2000-03-21,48.75,49.88,47.44,49.63,713400.0,0.0,1.0,31.0509763379,31.7707220458,30.2165808711,31.6114862697,713400.0
2000-03-22,50.0,50.0,48.63,48.94,349600.0,0.0,1.0,31.8471552183,31.8471552183,30.9745431653,31.1719955277,349600.0
2000-03-23,49.25,50.56,49.25,50.31,535200.0,0.0,1.0,31.36944789,32.2038433568,31.36944789,32.0446075807,535200.0
2000-03-24,48.44,50.88,48.44,49.88,435700.0,0.0,1.0,30.8535239755,32.4076651502,30.8535239755,31.7707220458,435700.0
2000-03-27,49.94,50.25,47.69,48.13,252500.0,0.0,1.0,31.8089386321,32.0063909944,30.3758166472,30.6560716132,252500.0
2000-03-28,48.63,49.38,48.25,48.56,254400.0,0.0,1.0,30.9745431653,31.4522504936,30.7325047857,30.929957148,254400.0
2000-03-29,48.88,49.88,48.75,49.0,667000.0,0.0,1.0,31.1337789414,31.7707220458,31.0509763379,31.210212114,667000.0
2000-03-30,49.25,52.0,48.25,51.5,1449200.0,0.0,1.0,31.36944789,33.1210414271,30.7325047857,32.8025698749,1449200.0
2000-03-31,51.5,56.0,51.38,55.38,726000.0,0.0,1.0,32.8025698749,35.6688138445,32.7261367024,35.2739091198,726000.0
2000-04-03,55.25,57.38,54.63,56.81,568300.0,0.0,1.0,35.1911065162,36.5477953285,34.7962017915,36.1847377591,568300.0
2000-04-04,56.19,56.38,53.25,54.0,375700.0,0.0,1.0,35.7898330344,35.9108522242,33.9172203075,34.3949276358,375700.0
2000-04-05,53.75,54.63,53.5,54.38,391100.0,0.0,1.0,34.2356918597,34.7962017915,34.0764560836,34.6369660154,391100.0
2000-04-06,55.13,55.13,54.0,54.63,458800.0,0.0,1.0,35.1146733437,35.1146733437,34.3949276358,34.7962017915,458800.0
2000-04-07,54.38,55.63,54.0,54.25,214500.0,0.0,1.0,34.6369660154,35.4331448959,34.3949276358,34.5541634119,214500.0
2000-04-10,54.0,54.69,53.75,54.69,294300.0,0.0,1.0,34.3949276358,34.8344183778,34.2356918597,34.8344183778,294300.0
2000-04-11,54.56,54.56,53.31,53.75,108400.0,0.0,1.0,34.7516157742,34.7516157742,33.9554368938,34.2356918597,108400.0
2000-04-12,53.38,54.88,53.38,54.56,126800.0,0.0,1.0,34.0000229111,34.9554375676,34.0000229111,34.7516157742,126800.0
2000-04-13,54.44,54.44,51.0,51.56,859100.0,0.0,1.0,34.6751826017,34.6751826017,32.4840983227,32.8407864611,859100.0
2000-04-14,51.0,51.0,48.19,48.31,669000.0,0.0,1.0,32.4840983227,32.4840983227,30.6942881994,30.7707213719,669000.0
2000-04-17,48.31,49.13,46.56,47.75,234700.0,0.0,1.0,30.7707213719,31.2930147175,29.6560709393,30.4140332335,234700.0
2000-04-18,47.81,48.13,47.75,47.88,268600.0,0.0,1.0,30.4522498198,30.6560716132,30.4140332335,30.4968358371,268600.0
2000-04-19,47.25,48.44,46.5,47.5,280500.0,0.0,1.0,30.0955616813,30.8535239755,29.617854353,30.2547974574,280500.0
2000-04-20,47.5,47.5,45.88,45.88,378500.0,0.0,1.0,30.2547974574,30.2547974574,29.2229496283,29.2229496283,378500.0
